Jogador,Gleison Bremer,Wojciech Szczęsny,Manuel Locatelli,Adrien Rabiot,Federico Gatti,Weston McKennie,Andrea Cambiaso,Danilo,Dušan Vlahović,Filip Kostić,Federico Chiesa,Fabio Miretti,Daniele Rugani,Timothy Weah,Kenan Yıldız,Alex Sandro,Moise Kean,Arkadiusz Milik,Samuel Iling-Junior,Nicolò Fagioli,Carlos Alcaraz,Hans Nicolussi Caviglia,Mattia Perin,Mattia De Sciglio,Paul Pogba,Carlo Pinsoglio,Joseph Nonge,Tiago Djaló,Dean Huijsen,Nikola Sekulov,Leonardo Cerri,Gian Crespi,Giovanni Daffara,Giovanni Garofani,Luis Hasa,Tommaso Mancini,Simone Scaglia,Matìas Soulé
Pos.,ZG,G,LT,LT,ZG,"LT,ZG","ZG,AT",ZG,AT,ZG,AT,LT,ZG,"ZG,AT","AT,ZG",ZG,AT,AT,"ZG,LT",LT,LT,LT,G,ZG,LT,G,LT,ZG,ZG,AT,ZG,G,G,G,LT,AT,G,"AT,LT"
Idade,26.0,33.0,25.0,28.0,25.0,24.0,23.0,32.0,23.0,30.0,25.0,19.0,29.0,23.0,18.0,32.0,23.0,29.0,19.0,22.0,20.0,23.0,30.0,30.0,30.0,33.0,18.0,23.0,18.0,21.0,20.0,22.0,18.0,20.0,19.0,19.0,19.0,20.0
MP,36,35,36,31,32,34,34,29,33,29,33,25,17,30,27,16,19,32,24,8,10,8,3,1,2,1,2,1,1,1,1,0,0,0,0,0,0,0
Inícios,36,35,34,30,30,29,28,27,27,26,25,16,13,12,9,8,8,7,4,4,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.233,3.15,3.008,2.651,2.637,2.594,2.372,2.452,2.307,1.815,2.197,1.103,1.187,1.258,952.0,721.0,654.0,919.0,810.0,437.0,380.0,268.0,225.0,45.0,54.0,45.0,24.0,17.0,13.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,35.9,35.0,33.4,29.5,29.3,28.8,26.4,27.2,25.6,20.2,24.4,12.3,13.2,14.0,10.6,8.0,7.3,10.2,9.0,4.9,4.2,3.0,2.5,0.5,0.6,0.5,0.3,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,3.0,0.0,1.0,5.0,4.0,0.0,2.0,1.0,16.0,0.0,9.0,1.0,2.0,0.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,0.0,4.0,3.0,0.0,7.0,3.0,1.0,4.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,3.0,0.0,5.0,8.0,4.0,7.0,5.0,2.0,20.0,4.0,11.0,2.0,2.0,1.0,2.0,1.0,0.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,3.0,0.0,1.0,5.0,4.0,0.0,2.0,1.0,14.0,0.0,8.0,1.0,2.0,0.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,9.0,1.0,6.0,8.0,7.0,6.0,10.0,7.0,8.0,2.0,1.0,3.0,2.0,5.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,1.4,0.0,1.3,3.5,5.5,3.0,2.2,1.3,16.6,0.7,6.4,1.2,1.6,1.5,1.6,0.4,2.1,5.1,0.7,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,1.4,0.0,1.3,3.4,5.5,3.0,2.2,1.3,13.3,0.7,5.6,1.2,1.6,1.5,1.6,0.4,2.1,5.1,0.7,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.4,0.0,1.4,4.1,1.5,3.9,3.9,0.9,2.3,5.4,6.2,1.1,0.4,1.1,1.1,0.9,0.7,2.6,1.3,0.7,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,19.0,0.0,27.0,74.0,70.0,69.0,60.0,22.0,156.0,61.0,119.0,23.0,20.0,27.0,27.0,13.0,28.0,77.0,20.0,11.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,7.0,0.0,21.0,72.0,52.0,64.0,87.0,18.0,36.0,64.0,111.0,22.0,2.0,35.0,32.0,16.0,12.0,12.0,29.0,8.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,120.0,0.0,232.0,120.0,122.0,92.0,71.0,161.0,46.0,88.0,70.0,43.0,46.0,48.0,40.0,43.0,6.0,22.0,25.0,23.0,27.0,14.0,0.0,3.0,5.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,4.0,0.0,26.0,106.0,43.0,176.0,172.0,21.0,174.0,95.0,216.0,62.0,2.0,84.0,73.0,9.0,38.0,49.0,64.0,15.0,9.0,2.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,8.0,0.0,3.0,17.0,14.0,0.0,8.0,4.0,62.0,0.0,37.0,8.0,15.0,0.0,19.0,12.0,0.0,39.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,0.0,0.0,12.0,10.0,0.0,24.0,11.0,4.0,16.0,20.0,8.0,8.0,0.0,7.0,0.0,0.0,0.0,10.0,22.0,41.0,24.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,8.0,0.0,15.0,27.0,14.0,24.0,19.0,7.0,78.0,20.0,45.0,16.0,15.0,7.0,19.0,12.0,0.0,49.0,33.0,41.0,24.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,8.0,0.0,3.0,17.0,14.0,0.0,8.0,4.0,55.0,0.0,33.0,8.0,15.0,0.0,19.0,12.0,0.0,39.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,8.0,0.0,15.0,27.0,14.0,24.0,19.0,7.0,70.0,20.0,41.0,16.0,15.0,7.0,19.0,12.0,0.0,49.0,33.0,41.0,24.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,4.0,0.0,4.0,12.0,19.0,10.0,8.0,5.0,65.0,3.0,26.0,10.0,12.0,11.0,15.0,5.0,28.0,50.0,8.0,8.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,1.0,0.0,4.0,14.0,5.0,13.0,15.0,3.0,9.0,27.0,25.0,9.0,3.0,8.0,10.0,11.0,10.0,26.0,14.0,15.0,3.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,5.0,0.0,8.0,26.0,24.0,24.0,23.0,8.0,74.0,30.0,52.0,19.0,15.0,19.0,26.0,16.0,38.0,75.0,23.0,23.0,12.0,23.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,4.0,0.0,4.0,11.0,19.0,10.0,8.0,5.0,52.0,3.0,23.0,10.0,12.0,11.0,15.0,5.0,28.0,50.0,8.0,8.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,5.0,0.0,8.0,25.0,24.0,24.0,23.0,8.0,61.0,30.0,49.0,19.0,15.0,19.0,26.0,16.0,38.0,75.0,23.0,23.0,12.0,23.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,58.0,0.0,69.0,58.0,33.0,48.0,47.0,60.0,9.0,37.0,20.0,18.0,11.0,27.0,13.0,13.0,7.0,9.0,23.0,5.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,577.0,576.0,0.0,0.0,0.0,0.0,0.0
TklW,42.0,0.0,43.0,39.0,19.0,29.0,30.0,36.0,5.0,23.0,10.0,14.0,9.0,20.0,9.0,7.0,4.0,5.0,13.0,3.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,319.0,0.0,0.0,0.0,0.0,0.0
Terço Def,32.0,0.0,24.0,22.0,16.0,31.0,23.0,38.0,0.0,20.0,7.0,6.0,7.0,16.0,5.0,7.0,3.0,2.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,271.0,0.0,0.0,0.0,0.0,0.0
Terço Central,21.0,0.0,35.0,30.0,16.0,11.0,15.0,18.0,6.0,13.0,6.0,8.0,3.0,8.0,6.0,6.0,2.0,5.0,11.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,227.0,0.0,0.0,0.0,0.0,0.0
