Jogador,Ciro Immobile,Adam Marušić,Luis Alberto,Francesco Acerbi,Sergej Milinković-Savić,Manuel Lazzari,Ștefan Radu,Lucas Leiva,Pepe Reina,Joaquín Correa,Patric,Mohamed Fares,Wesley Hoedt,Luiz Felipe,Felipe Caicedo,Thomas Strakosha,Senad Lulić,Vedat Muriqi,Marco Parolo,Jean-Daniel Akpa-Akpro,Gonzalo Escalante,Danilo Cataldi,Andreas Pereira,Mateo Musacchio,Djavan Anderson,Bastos,Denis Vavro,Raúl Moro,Nicolò Armini,Marco Bertini,Enzo Adeagbo,Bobby Adekanye,Marco Alia,Szymon Czyż,Damiano Franco,Alessio Furlanetto,Sofian Kiyine,Jordan Lukaku,Angelo Ndrecka,Mattia Novella,Gabriel Pereira,Florent Shehu
Pos.,AT,ZG,LT,ZG,LT,ZG,ZG,LT,G,AT,ZG,ZG,ZG,ZG,AT,G,ZG,AT,"ZG,LT",LT,LT,LT,"AT,LT",ZG,ZG,ZG,ZG,AT,ZG,LT,ZG,"AT,LT",G,LT,ZG,G,LT,"ZG,LT",ZG,ZG,G,AT
Idade,30.0,27.0,27.0,32.0,25.0,26.0,33.0,33.0,37.0,25.0,27.0,24.0,26.0,23.0,31.0,25.0,34.0,26.0,35.0,27.0,27.0,25.0,24.0,29.0,25.0,29.0,24.0,17.0,19.0,17.0,18.0,21.0,20.0,19.0,18.0,18.0,22.0,26.0,18.0,19.0,18.0,18.0
MP,35,36,34,32,32,32,31,32,29,28,25,21,17,14,25,9,16,27,18,32,24,19,26,4,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Inícios,34,33,33,32,32,30,30,30,29,25,18,12,10,10,9,9,8,7,7,6,4,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,2.849,2.966,2.618,2.813,2.746,2.613,2.458,2.131,2.61,1.933,1.595,1.139,952.0,909.0,929.0,810.0,718.0,832.0,653.0,1.056,733.0,568.0,543.0,229.0,72.0,63.0,32.0,11.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,31.7,33.0,29.1,31.3,30.5,29.0,27.3,23.7,29.0,21.5,17.7,12.7,10.6,10.1,10.3,9.0,8.0,9.2,7.3,11.7,8.1,6.3,6.0,2.5,0.8,0.7,0.4,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,20.0,2.0,9.0,0.0,8.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,6.0,3.0,2.0,1.0,9.0,5.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,26.0,5.0,11.0,1.0,17.0,7.0,3.0,0.0,0.0,11.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,16.0,2.0,9.0,0.0,8.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,4.0,3.0,5.0,9.0,4.0,2.0,2.0,10.0,1.0,3.0,8.0,5.0,6.0,5.0,5.0,1.0,1.0,1.0,5.0,9.0,5.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,19.8,2.2,5.1,1.1,6.9,2.1,0.4,0.4,0.0,6.9,0.5,0.7,0.1,0.3,5.5,0.0,0.4,3.2,0.5,1.2,0.7,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,13.6,2.2,5.0,1.1,6.9,2.1,0.4,0.4,0.0,6.3,0.5,0.5,0.1,0.3,4.7,0.0,0.4,3.2,0.5,1.2,0.7,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,6.2,2.2,7.9,1.0,6.4,3.4,1.5,0.4,0.0,2.2,0.8,1.9,0.1,0.3,0.7,0.0,0.3,0.6,0.9,0.8,0.3,0.3,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,198.0,44.0,129.0,21.0,134.0,56.0,19.0,8.0,0.0,85.0,13.0,25.0,2.0,5.0,53.0,0.0,7.0,38.0,14.0,19.0,10.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,74.0,53.0,143.0,41.0,59.0,130.0,46.0,23.0,0.0,66.0,15.0,26.0,2.0,9.0,6.0,0.0,16.0,9.0,8.0,11.0,11.0,12.0,17.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,84.0,92.0,301.0,141.0,203.0,37.0,165.0,163.0,2.0,69.0,77.0,24.0,48.0,29.0,18.0,0.0,24.0,20.0,31.0,26.0,45.0,43.0,32.0,8.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,250.0,201.0,132.0,46.0,132.0,202.0,50.0,18.0,0.0,187.0,38.0,114.0,1.0,2.0,57.0,0.0,44.0,79.0,12.0,31.0,7.0,14.0,53.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,63.0,6.0,31.0,0.0,26.0,7.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,19.0,9.0,7.0,3.0,29.0,17.0,11.0,0.0,0.0,14.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,9.0,12.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,82.0,15.0,38.0,3.0,56.0,24.0,11.0,0.0,0.0,51.0,6.0,8.0,0.0,0.0,78.0,0.0,0.0,11.0,28.0,9.0,12.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,51.0,6.0,31.0,0.0,26.0,7.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,69.0,15.0,38.0,3.0,56.0,24.0,11.0,0.0,0.0,47.0,6.0,8.0,0.0,0.0,68.0,0.0,0.0,11.0,28.0,9.0,12.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,63.0,7.0,18.0,3.0,23.0,7.0,2.0,2.0,0.0,32.0,3.0,5.0,1.0,3.0,53.0,0.0,5.0,34.0,7.0,10.0,8.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,20.0,7.0,27.0,3.0,21.0,12.0,5.0,1.0,0.0,10.0,4.0,15.0,1.0,3.0,7.0,0.0,4.0,7.0,12.0,6.0,4.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,82.0,13.0,45.0,7.0,44.0,19.0,7.0,3.0,0.0,42.0,8.0,21.0,2.0,5.0,59.0,0.0,9.0,41.0,20.0,16.0,13.0,10.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,43.0,7.0,17.0,3.0,23.0,7.0,2.0,2.0,0.0,30.0,3.0,4.0,1.0,3.0,45.0,0.0,5.0,34.0,7.0,10.0,8.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,62.0,13.0,44.0,7.0,44.0,19.0,7.0,3.0,0.0,40.0,8.0,20.0,2.0,5.0,52.0,0.0,9.0,41.0,20.0,16.0,13.0,10.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,14.0,38.0,43.0,51.0,59.0,24.0,43.0,68.0,0.0,21.0,30.0,20.0,22.0,32.0,10.0,1.0,14.0,3.0,21.0,38.0,26.0,7.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,595.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,13.0,22.0,24.0,32.0,40.0,14.0,24.0,32.0,0.0,12.0,16.0,15.0,16.0,20.0,7.0,1.0,7.0,1.0,8.0,25.0,13.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,346.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,4.0,22.0,15.0,34.0,20.0,15.0,20.0,38.0,0.0,6.0,15.0,9.0,18.0,19.0,4.0,1.0,6.0,0.0,8.0,13.0,11.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,284.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,6.0,15.0,19.0,13.0,30.0,4.0,19.0,28.0,0.0,11.0,11.0,7.0,4.0,11.0,4.0,0.0,5.0,2.0,11.0,22.0,14.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,4.0,1.0,9.0,4.0,9.0,5.0,4.0,2.0,0.0,4.0,4.0,4.0,0.0,2.0,2.0,0.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,67.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,7.0,20.0,15.0,18.0,27.0,14.0,25.0,30.0,0.0,7.0,13.0,11.0,10.0,16.0,1.0,0.0,7.0,0.0,8.0,8.0,8.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,254.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,22.0,40.0,73.0,40.0,84.0,39.0,40.0,86.0,1.0,25.0,24.0,19.0,17.0,24.0,8.0,0.0,15.0,8.0,20.0,27.0,28.0,18.0,12.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,678.0,553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,318.0,500.0,205.0,450.0,321.0,359.0,625.0,349.0,0.0,280.0,542.0,579.0,588.0,667.0,125.0,0.0,467.0,0.0,400.0,296.0,286.0,222.0,167.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,375.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,15.0,20.0,58.0,22.0,57.0,25.0,15.0,56.0,1.0,18.0,11.0,8.0,7.0,8.0,7.0,0.0,8.0,8.0,12.0,19.0,20.0,14.0,10.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,424.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,13.0,38.0,41.0,24.0,52.0,22.0,27.0,21.0,0.0,14.0,13.0,14.0,9.0,20.0,7.0,0.0,10.0,9.0,20.0,24.0,10.0,3.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,404.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,1.0,6.0,2.0,15.0,12.0,3.0,14.0,0.0,0.0,0.0,3.0,1.0,5.0,9.0,0.0,0.0,1.0,2.0,6.0,6.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,12.0,32.0,39.0,9.0,40.0,19.0,13.0,21.0,0.0,14.0,10.0,13.0,4.0,11.0,7.0,0.0,9.0,7.0,14.0,18.0,7.0,2.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,312.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,6.0,40.0,13.0,76.0,33.0,18.0,45.0,57.0,1.0,7.0,18.0,16.0,17.0,21.0,4.0,1.0,4.0,3.0,14.0,18.0,19.0,9.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,445.0,453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,20.0,78.0,56.0,127.0,92.0,42.0,88.0,125.0,1.0,28.0,48.0,36.0,39.0,53.0,14.0,2.0,18.0,6.0,35.0,56.0,45.0,16.0,6.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,1040.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,9.0,54.0,11.0,121.0,47.0,28.0,73.0,21.0,6.0,12.0,51.0,21.0,48.0,29.0,2.0,4.0,13.0,20.0,31.0,13.0,13.0,7.0,4.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,649.0,781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
