Jogador,Sergej Milinković-Savić,Felipe Anderson,Ciro Immobile,Adam Marušić,Francesco Acerbi,Luiz Felipe,Luis Alberto,Pedro,Elseid Hysaj,Thomas Strakosha,Mattia Zaccagni,Danilo Cataldi,Lucas Leiva,Patric,Manuel Lazzari,Pepe Reina,Toma Bašić,Ștefan Radu,Jean-Daniel Akpa-Akpro,Jovane Cabral,Vedat Muriqi,Raúl Moro,Luka Romero,Anderson Lima,Dimitrije Kamenović,Gonzalo Escalante,Denis Vavro,Marius Adamonis,Marco Bertini,Felipe Caicedo,Romano Floriani,Alessio Furlanetto,Jony
Pos.,LT,AT,AT,ZG,ZG,ZG,LT,AT,ZG,G,AT,LT,LT,ZG,ZG,G,LT,ZG,LT,AT,AT,AT,AT,LT,ZG,LT,ZG,G,LT,"AT,LT",ZG,G,"AT,LT"
Idade,26.0,28.0,31.0,28.0,33.0,24.0,28.0,34.0,27.0,26.0,26.0,26.0,34.0,28.0,27.0,38.0,24.0,34.0,28.0,23.0,27.0,18.0,16.0,21.0,21.0,28.0,25.0,24.0,18.0,32.0,18.0,19.0,30.0
MP,37,38,31,33,30,31,34,32,29,23,29,32,35,24,31,15,29,10,10,3,11,11,8,4,1,1,1,0,0,0,0,0,0
Inícios,36,33,31,30,29,28,27,25,24,23,21,19,19,19,16,15,9,6,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Min.,3.1,2.888,2.711,2.721,2.536,2.491,2.353,2.033,2.027,2.07,1.876,1.707,1.697,1.649,1.665,1.35,982.0,556.0,315.0,190.0,215.0,201.0,84.0,65.0,45.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,34.4,32.1,30.1,30.2,28.2,27.7,26.1,22.6,22.5,23.0,20.8,19.0,18.9,18.3,18.5,15.0,10.9,6.2,3.5,2.1,2.4,2.2,0.9,0.7,0.5,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Gols,11.0,6.0,27.0,1.0,4.0,0.0,5.0,9.0,1.0,0.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,10.0,8.0,2.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,5.0,2.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,21.0,14.0,29.0,1.0,4.0,0.0,14.0,13.0,1.0,0.0,9.0,3.0,0.0,2.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,11.0,6.0,20.0,1.0,4.0,0.0,5.0,9.0,1.0,0.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,6.0,2.0,4.0,6.0,2.0,9.0,5.0,5.0,3.0,2.0,6.0,8.0,9.0,7.0,3.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,7.3,6.2,21.5,0.2,2.4,0.3,3.3,4.7,0.8,0.0,3.2,0.4,0.1,0.9,0.8,0.0,1.6,0.1,0.1,1.0,0.4,0.5,0.0,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,7.3,6.2,14.3,0.2,2.4,0.3,3.3,4.7,0.8,0.0,3.2,0.4,0.1,0.9,0.8,0.0,1.6,0.1,0.1,1.0,0.4,0.5,0.0,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,6.1,6.5,2.8,0.5,0.5,0.2,7.8,3.3,0.7,0.0,2.9,3.2,0.3,0.7,2.1,0.4,0.9,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,135.0,127.0,172.0,7.0,29.0,5.0,111.0,80.0,15.0,0.0,61.0,36.0,4.0,16.0,28.0,4.0,25.0,1.0,2.0,11.0,4.0,7.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,67.0,142.0,52.0,52.0,31.0,12.0,84.0,84.0,26.0,0.0,85.0,9.0,10.0,5.0,80.0,0.0,18.0,6.0,5.0,0.0,1.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,215.0,123.0,54.0,111.0,119.0,78.0,223.0,102.0,96.0,1.0,55.0,97.0,84.0,52.0,50.0,0.0,26.0,21.0,3.0,5.0,4.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,191.0,264.0,204.0,73.0,10.0,1.0,89.0,147.0,69.0,0.0,211.0,16.0,4.0,6.0,107.0,0.0,44.0,7.0,8.0,13.0,23.0,17.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,32.0,19.0,90.0,3.0,14.0,0.0,19.0,40.0,4.0,0.0,19.0,5.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,29.0,25.0,7.0,0.0,0.0,0.0,34.0,18.0,0.0,0.0,24.0,11.0,0.0,5.0,16.0,7.0,18.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
