Jogador,Adam Marušić,Felipe Anderson,Ivan Provedel,Luis Alberto,Mattéo Guendouzi,Alessio Romagnoli,Mattia Zaccagni,Mario Gila,Ciro Immobile,Manuel Lazzari,Patric,Daichi Kamada,Valentín Castellanos,Nicolò Casale,Nicolò Rovella,Danilo Cataldi,Gustav Isaksen,Elseid Hysaj,Matías Vecino,Luca Pellegrini,Christos Mandas,Pedro,Marius Adamonis,Toma Bašić,Larsson Coulibaly,Saná Fernandes,Alessio Furlanetto,Diego González,Dimitrije Kamenović,Anderson Lima,Luca Napolitano,Davide Renzetti,Fabio Ruggeri,Luigi Sepe
Pos.,ZG,"AT,LT",G,LT,LT,ZG,"AT,LT",ZG,AT,ZG,ZG,LT,AT,ZG,LT,LT,AT,ZG,LT,ZG,G,"AT,LT",G,LT,LT,LT,G,AT,ZG,LT,LT,G,ZG,G
Idade,30.0,30.0,29.0,30.0,24.0,28.0,28.0,22.0,33.0,29.0,30.0,26.0,24.0,25.0,21.0,28.0,22.0,29.0,31.0,24.0,21.0,36.0,26.0,26.0,20.0,17.0,21.0,20.0,23.0,23.0,19.0,17.0,18.0,32.0
MP,37,38,30,33,33,29,28,21,31,24,20,29,35,20,23,28,28,22,31,19,9,33,0,0,0,0,0,0,0,0,0,0,0,0
Inícios,37,33,30,29,27,26,24,21,21,19,19,17,16,16,16,15,12,11,8,8,8,5,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.1,2.77,2.699,2.311,2.367,2.411,1.956,1.809,1.652,1.671,1.608,1.544,1.682,1.559,1.318,1.361,1.074,1.199,1.153,786.0,721.0,816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,34.4,30.8,30.0,25.7,26.3,26.8,21.7,20.1,18.4,18.6,17.9,17.2,18.7,17.3,14.6,15.1,11.9,13.3,12.8,8.7,8.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,1.0,5.0,0.0,5.0,2.0,0.0,6.0,0.0,7.0,0.0,2.0,2.0,4.0,0.0,0.0,1.0,3.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,6.0,0.0,7.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,1.0,11.0,0.0,12.0,5.0,0.0,7.0,0.0,8.0,2.0,2.0,4.0,7.0,0.0,2.0,1.0,4.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,1.0,5.0,0.0,5.0,2.0,0.0,6.0,0.0,3.0,0.0,2.0,2.0,4.0,0.0,0.0,1.0,3.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,3.0,3.0,0.0,7.0,3.0,9.0,8.0,4.0,8.0,4.0,4.0,3.0,2.0,5.0,6.0,8.0,3.0,2.0,8.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.4,4.4,0.0,4.7,1.6,0.6,4.7,0.5,9.7,1.0,1.4,1.8,7.3,0.9,0.6,0.4,1.6,0.2,3.7,0.2,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.4,4.4,0.0,4.7,1.6,0.6,4.7,0.5,6.6,1.0,1.4,1.8,7.3,0.9,0.6,0.4,1.6,0.2,3.7,0.2,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.8,6.3,0.0,4.7,2.3,0.6,2.9,0.5,2.1,1.3,0.2,2.8,1.7,0.0,0.5,0.8,2.6,0.4,0.4,0.3,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,12.0,107.0,0.0,94.0,39.0,11.0,76.0,10.0,86.0,23.0,15.0,46.0,89.0,9.0,11.0,11.0,42.0,7.0,41.0,5.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,35.0,108.0,0.0,83.0,46.0,7.0,88.0,21.0,19.0,73.0,3.0,40.0,15.0,20.0,21.0,9.0,36.0,27.0,16.0,18.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,118.0,126.0,3.0,212.0,119.0,87.0,55.0,93.0,39.0,62.0,72.0,96.0,47.0,49.0,56.0,69.0,21.0,51.0,74.0,46.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
