Jogador,Gabriel,Fabio Lucioni,Massimo Coda,Liam Henderson,Biagio Meccariello,Žan Majer,Marco Mancosu,Panagiotis Tachtsidis,Mariusz Stępiński,John Björkengren,Claud Adjapong,Morten Hjulmand,Leonard Zuta,Christian Maggio,Antonino Gallo,Luca Paganini,Stefano Pettinari,Marco Calderoni,Marcin Listkowski,Fabio Pisacane,Kastriot Dermaku,Pablo Rodríguez,Filippo Falco,Boban Nikolov,Jacopo Petriccione,Güven Yalçın,Sergio Maselli,Edgaras Dubickas,Simone Lo Faso,Roberto Pierno,Marco Bleve,Alexandru Borbei,Mattia Felici,Luigi Gianfreda,Gianmarco Mancarella,Joakim Milli,Ilario Monterisi,Samuele Oltremarini,Luca Rossettini,Massimo Schirone,Mauro Vigorito
Pos.,G,ZG,AT,LT,ZG,LT,LT,LT,AT,LT,ZG,LT,ZG,ZG,ZG,"LT,ZG",AT,ZG,"LT,AT",ZG,ZG,AT,AT,LT,LT,"AT,LT",LT,AT,AT,LT,G,G,LT,ZG,LT,G,ZG,AT,ZG,LT,G
Idade,27.0,32.0,31.0,24.0,29.0,28.0,31.0,29.0,25.0,21.0,22.0,21.0,27.0,38.0,20.0,27.0,28.0,31.0,22.0,34.0,28.0,18.0,28.0,26.0,25.0,21.0,19.0,22.0,22.0,19.0,24.0,17.0,19.0,19.0,18.0,20.0,18.0,19.0,35.0,17.0,30.0
MP,38,37,36,38,32,36,30,26,31,25,19,19,23,17,19,20,23,15,16,10,11,19,10,13,1,10,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0
Inícios,38,36,33,31,26,22,21,21,21,20,18,17,17,17,15,11,10,10,7,7,7,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.42,3.212,2.756,2.54,2.596,1.933,2.005,1.786,1.715,1.705,1.598,1.54,1.532,1.514,1.354,1.0,925.0,922.0,645.0,570.0,436.0,727.0,411.0,399.0,90.0,145.0,76.0,32.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,38.0,35.7,30.6,28.2,28.8,21.5,22.3,19.8,19.1,18.9,17.8,17.1,17.0,16.8,15.0,11.1,10.3,10.2,7.2,6.3,4.8,8.1,4.6,4.4,1.0,1.6,0.8,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,0.0,22.0,3.0,1.0,3.0,8.0,1.0,9.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,0.0,8.0,7.0,2.0,2.0,10.0,4.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,0.0,30.0,10.0,3.0,5.0,18.0,5.0,12.0,1.0,2.0,1.0,0.0,5.0,0.0,2.0,5.0,2.0,2.0,0.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,0.0,18.0,3.0,1.0,3.0,5.0,1.0,8.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,1.0,8.0,6.0,4.0,6.0,5.0,3.0,7.0,2.0,2.0,1.0,8.0,1.0,3.0,1.0,2.0,1.0,4.0,3.0,3.0,1.0,4.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,1.4,20.0,3.7,3.2,1.2,9.2,1.0,6.5,1.5,0.8,1.2,0.2,1.7,0.1,2.2,4.3,0.4,0.4,0.1,0.5,3.1,0.7,0.7,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,1.4,15.3,3.7,3.2,1.2,6.0,1.0,5.7,1.5,0.8,1.2,0.2,1.7,0.1,2.2,4.3,0.4,0.4,0.1,0.5,3.1,0.7,0.7,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
