Jogador,Fabio Lucioni,Morten Hjulmand,Massimo Coda,Gabriel Strefezza,Gabriel,Mario Gargiulo,Francesco Di Mariano,Valentin Gendrey,Žan Majer,Antonino Gallo,Alessandro Tuia,Antonio Barreca,Arturo Calabresi,Kastriot Dermaku,Alexis Blin,Þórir Jóhann Helgason,Marco Olivieri,John Björkengren,Marcin Listkowski,Pablo Rodríguez,Marco Bleve,Antonino Ragusa,Biagio Meccariello,Alessandro Plizzari,Paolo Faragò,Lorenco Šimić,Brayan Vera,Brynjar Ingi Bjarnason,Luca Paganini,Raúl Asencio,Alexandru Borbei,Catalin Burnete,Alberto Dima,Mattia Felici,Orlando Gill,Joan Gonzàlez,Emin Hasic,Ilario Monterisi,Jasper Samooja
Pos.,ZG,LT,AT,"AT,LT",G,LT,"AT,LT",ZG,LT,ZG,ZG,ZG,ZG,ZG,LT,LT,AT,LT,"AT,LT","AT,LT",G,"AT,LT",ZG,G,LT,ZG,ZG,ZG,"AT,LT","AT,LT",G,0,G,LT,LT,LT,ZG,ZG,G
Idade,33.0,22.0,32.0,24.0,28.0,25.0,25.0,21.0,29.0,21.0,31.0,26.0,25.0,29.0,24.0,20.0,22.0,22.0,23.0,19.0,25.0,31.0,30.0,21.0,28.0,25.0,22.0,21.0,28.0,23.0,18.0,17.0,17.0,20.0,21.0,19.0,18.0,19.0,18.0
MP,37,37,36,35,31,32,29,29,24,26,19,22,31,15,26,25,18,22,23,25,5,15,8,3,8,7,2,1,7,5,0,0,0,0,0,0,0,0,0
Inícios,37,36,33,33,31,27,24,24,21,19,18,18,17,13,10,9,9,8,8,5,4,3,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Min.,3.315,3.206,2.917,2.726,2.761,2.293,2.041,2.014,1.561,1.858,1.503,1.456,1.695,1.167,925.0,933.0,759.0,921.0,758.0,737.0,389.0,384.0,365.0,270.0,222.0,161.0,84.0,45.0,100.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,36.8,35.6,32.4,30.3,30.7,25.5,22.7,22.4,17.3,20.6,16.7,16.2,18.8,13.0,10.3,10.4,8.4,10.2,8.4,8.2,4.3,4.3,4.1,3.0,2.5,1.8,0.9,0.5,1.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,1.0,0.0,20.0,14.0,0.0,3.0,5.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,1.0,3.0,8.0,6.0,1.0,2.0,3.0,1.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,2.0,3.0,28.0,20.0,1.0,5.0,8.0,1.0,7.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,1.0,0.0,14.0,14.0,0.0,3.0,5.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
