Jogador,Wladimiro Falcone,Federico Baschirotto,Valentin Gendrey,Morten Hjulmand,Gabriel Strefezza,Antonino Gallo,Alexis Blin,Joan Gonzàlez,Samuel Umtiti,Federico Di Francesco,Assan Ceesay,Lameck Banda,Lorenzo Colombo,Remi Oudin,Giuseppe Pezzella,Marin Pongračić,Kristoffer Askildsen,Youssef Maleh,Alessandro Tuia,Kristijan Bistrović,Þórir Jóhann Helgason,Simone Romagnoli,Yıldırım Mert Çetin,Joel Voelkerling Persson,Marcin Listkowski,Pablo Rodríguez,Pietro Ceccaroni,Kastriot Dermaku,Tommaso Cassandro,Medon Berisha,Marco Bleve,Federico Brancolini,Mattia Ciucci,Francesco Di Mariano,Gianluca Frabotta,Mats Lemmens,Jasper Samooja
Pos.,G,ZG,ZG,LT,"AT,LT",ZG,LT,LT,ZG,"AT,LT",AT,"AT,LT",AT,"AT,LT",ZG,ZG,LT,LT,ZG,LT,LT,ZG,ZG,"AT,LT","LT,AT","AT,LT",ZG,ZG,ZG,AT,G,G,ZG,"AT,LT",ZG,ZG,G
Idade,27.0,25.0,22.0,23.0,25.0,22.0,25.0,20.0,28.0,28.0,28.0,21.0,20.0,25.0,24.0,24.0,21.0,23.0,32.0,24.0,21.0,32.0,25.0,19.0,24.0,20.0,26.0,30.0,22.0,18.0,26.0,21.0,19.0,26.0,23.0,20.0,19.0
MP,38,37,37,35,35,32,35,35,25,36,34,36,33,31,16,9,21,17,7,11,12,7,1,9,5,4,2,1,1,0,0,0,0,0,0,0,0
Inícios,38,37,35,34,30,28,26,26,24,23,20,19,18,12,10,9,7,7,6,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.42,3.33,3.101,2.962,2.442,2.486,2.376,2.197,2.113,2.031,1.812,1.636,1.515,1.321,918.0,790.0,728.0,674.0,509.0,461.0,222.0,167.0,20.0,99.0,77.0,54.0,43.0,34.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,38.0,37.0,34.5,32.9,27.1,27.6,26.4,24.4,23.5,22.6,20.1,18.2,16.8,14.7,10.2,8.8,8.1,7.5,5.7,5.1,2.5,1.9,0.2,1.1,0.9,0.6,0.5,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,3.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,2.0,6.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,0.0,2.0,4.0,4.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,3.0,2.0,4.0,12.0,1.0,1.0,4.0,0.0,4.0,6.0,3.0,7.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,3.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,2.0,5.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,2.0,6.0,4.0,9.0,5.0,5.0,8.0,8.0,8.0,5.0,2.0,6.0,4.0,3.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,1.9,0.6,0.6,6.2,0.6,2.8,1.5,0.8,3.3,5.1,3.1,6.2,2.0,0.1,0.0,0.5,0.3,0.1,0.3,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,1.9,0.6,0.6,3.9,0.6,2.8,1.5,0.8,3.3,4.3,3.1,4.6,2.0,0.1,0.0,0.5,0.3,0.1,0.3,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.2,0.7,2.9,2.1,4.3,1.9,1.1,1.3,0.1,2.7,0.8,1.3,1.4,2.3,0.6,0.1,0.3,0.3,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
