Jogador,Wladimiro Falcone,Federico Baschirotto,Marin Pongračić,Valentin Gendrey,Ylber Ramadani,Antonino Gallo,Nikola Krstović,Pontus Almqvist,Remi Oudin,Patrick Dorgu,Lameck Banda,Hamza Rafia,Alexis Blin,Mohamed Kaba,Joan Gonzàlez,Gabriel Strefezza,Roberto Piccoli,Nicola Sansone,Lorenzo Venuti,Ahmed Touba,Medon Berisha,Santiago Pierotti,Federico Di Francesco,Jeppe Corfitzen,Rareș-Cătălin Burnete,Marcin Listkowski,Alexandru Borbei,Federico Brancolini,Kastriot Dermaku,Sebastian Esposito,Giacomo Faticanti,Þórir Jóhann Helgason,Mats Lemmens,Youssef Maleh,Daniel Samek,Jasper Samooja,Zinedin Smajlovic,Joel Voelkerling Persson
Pos.,G,ZG,ZG,ZG,LT,ZG,AT,"AT,LT","LT,AT","ZG,LT",AT,LT,LT,LT,LT,AT,AT,"AT,LT",ZG,ZG,"AT,LT","LT,AT","AT,LT",AT,AT,AT,G,G,ZG,ZG,LT,LT,ZG,LT,ZG,G,ZG,AT
Idade,28.0,26.0,25.0,23.0,27.0,23.0,23.0,24.0,26.0,18.0,22.0,24.0,26.0,21.0,21.0,26.0,22.0,31.0,28.0,25.0,19.0,22.0,29.0,18.0,19.0,25.0,20.0,22.0,31.0,18.0,19.0,22.0,21.0,24.0,19.0,20.0,19.0,20.0
MP,38,37,36,37,34,35,35,30,31,32,21,28,31,23,29,19,35,25,14,6,6,11,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Inícios,38,37,36,35,34,30,30,25,21,17,17,17,16,15,13,13,12,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.42,3.294,3.219,3.044,2.97,2.49,2.373,2.107,1.819,1.564,1.35,1.204,1.642,1.378,1.291,1.112,1.378,767.0,364.0,277.0,205.0,200.0,15.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,38.0,36.6,35.8,33.8,33.0,27.7,26.4,23.4,20.2,17.4,15.0,13.4,18.2,15.3,14.3,12.4,15.3,8.5,4.0,3.1,2.3,2.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,0.0,0.0,2.0,1.0,0.0,7.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,1.0,0.0,3.0,0.0,3.0,1.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,1.0,0.0,5.0,1.0,3.0,8.0,3.0,5.0,2.0,6.0,1.0,2.0,0.0,2.0,1.0,5.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,0.0,0.0,2.0,1.0,0.0,6.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,0.0,3.0,10.0,5.0,13.0,2.0,4.0,5.0,3.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,1.7,1.2,1.6,1.0,0.5,11.6,2.3,1.8,2.0,3.6,0.8,1.1,1.2,1.2,2.5,6.4,2.8,0.1,0.0,0.2,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,1.5,1.2,1.6,1.0,0.5,9.2,2.3,1.8,2.0,3.6,0.8,1.1,1.2,1.2,1.7,5.6,2.8,0.1,0.0,0.2,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.2,0.7,0.4,1.6,0.5,4.5,3.0,2.7,5.7,1.6,1.9,0.8,0.7,0.9,1.0,1.2,0.9,1.3,0.3,0.0,0.2,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,2.0,21.0,15.0,32.0,16.0,50.0,123.0,50.0,74.0,36.0,55.0,16.0,18.0,20.0,22.0,28.0,65.0,41.0,4.0,0.0,4.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,28.0,45.0,76.0,36.0,69.0,32.0,72.0,19.0,37.0,70.0,15.0,7.0,14.0,25.0,34.0,25.0,15.0,7.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
