Jogador,Gianluigi Donnarumma,Franck Kessié,Theo Hernández,Davide Calabria,Hakan Çalhanoğlu,Simon Kjær,Alexis Saelemaekers,Rafael Leão,Alessio Romagnoli,Ante Rebić,Zlatan Ibrahimović,Sandro Tonali,Ismaël Bennacer,Fikayo Tomori,Brahim Díaz,Samu Castillejo,Diogo Dalot,Pierre Kalulu,Matteo Gabbia,Rade Krunić,Soualiho Meïté,Jens Petter Hauge,Mario Mandžukić,Lorenzo Colombo,Ciprian Tătărușanu,Mateo Musacchio,Daniel Maldini,Andrea Conti,Léo Duarte,Enrico Di Gesù,Antonio Donnarumma,Marco Frigerio,Andreas Jungdal,Diego Laxalt,Nikolaos Michelis,Antonio Mionić,Leonardo Moleri,Lucas Paquetá,Emil Roback,Luca Stanga,Riccardo Tonin
Pos.,G,LT,ZG,ZG,"LT,AT",ZG,AT,AT,ZG,AT,AT,LT,LT,ZG,"LT,AT",AT,ZG,ZG,ZG,"LT,AT",LT,AT,AT,AT,G,ZG,"AT,ZG",ZG,ZG,LT,G,LT,G,"ZG,LT",ZG,LT,G,"AT,LT",AT,ZG,LT
Idade,21.0,23.0,22.0,23.0,26.0,31.0,21.0,21.0,25.0,26.0,38.0,20.0,22.0,22.0,20.0,25.0,21.0,20.0,20.0,26.0,26.0,20.0,34.0,18.0,34.0,29.0,18.0,26.0,24.0,18.0,30.0,19.0,18.0,27.0,19.0,19.0,18.0,22.0,17.0,18.0,19.0
MP,37,37,33,32,33,28,32,30,22,27,19,25,21,17,27,28,21,13,8,25,16,18,10,4,1,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Inícios,37,36,33,30,30,28,27,22,21,20,18,17,17,16,15,12,10,7,7,5,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.33,3.226,2.933,2.647,2.614,2.393,2.016,1.924,1.907,1.776,1.493,1.33,1.326,1.466,1.228,1.181,1.09,727.0,557.0,723.0,588.0,532.0,212.0,94.0,90.0,34.0,29.0,28.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,37.0,35.8,32.6,29.4,29.0,26.6,22.4,21.4,21.2,19.7,16.6,14.8,14.7,16.3,13.6,13.1,12.1,8.1,6.2,8.0,6.5,5.9,2.4,1.0,1.0,0.4,0.3,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,13.0,7.0,2.0,4.0,0.0,2.0,6.0,1.0,11.0,15.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,4.0,5.0,1.0,9.0,2.0,4.0,6.0,1.0,4.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,17.0,12.0,3.0,13.0,2.0,6.0,12.0,2.0,15.0,17.0,0.0,2.0,1.0,7.0,1.0,2.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,2.0,7.0,2.0,3.0,0.0,2.0,6.0,1.0,11.0,12.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
