Jogador,Mike Maignan,Rafael Leão,Sandro Tonali,Fikayo Tomori,Theo Hernández,Franck Kessié,Brahim Díaz,Davide Calabria,Olivier Giroud,Alexis Saelemaekers,Pierre Kalulu,Alessio Romagnoli,Ismaël Bennacer,Rade Krunić,Junior Messias,Alessandro Florenzi,Zlatan Ibrahimović,Simon Kjær,Ante Rebić,Ciprian Tătărușanu,Matteo Gabbia,Tiemoué Bakayoko,Fodé Ballo-Touré,Daniel Maldini,Pietro Pellegri,Samu Castillejo,Andrea Conti,Luca Stanga,Sebastiano Desplanches,Enrico Di Gesù,Andreas Jungdal,Marko Lazetić,Antonio Mirante,Lapo Nava,Alessandro Plizzari,Tommaso Pobega
Pos.,G,AT,LT,ZG,ZG,LT,LT,ZG,AT,AT,ZG,ZG,LT,"LT,AT","AT,LT","ZG,AT",AT,ZG,AT,G,ZG,LT,ZG,LT,AT,"AT,LT",ZG,ZG,G,LT,G,AT,G,G,G,LT
Idade,26.0,22.0,21.0,23.0,23.0,24.0,21.0,24.0,34.0,22.0,21.0,26.0,23.0,27.0,30.0,30.0,39.0,32.0,27.0,35.0,21.0,26.0,24.0,19.0,20.0,26.0,27.0,19.0,18.0,19.0,19.0,17.0,38.0,17.0,21.0,22.0
MP,32,34,36,31,32,31,31,26,29,36,28,19,31,28,26,24,23,11,24,6,8,14,10,8,6,5,1,1,0,0,0,0,0,0,0,0
Inícios,32,31,31,30,30,25,25,24,22,22,21,16,15,15,14,12,11,10,6,6,6,5,5,2,1,1,0,0,0,0,0,0,0,0,0,0
Min.,2.88,2.605,2.6,2.718,2.711,2.308,1.855,2.119,1.892,1.865,1.944,1.409,1.525,1.416,1.428,1.152,1.016,802.0,891.0,540.0,537.0,501.0,446.0,148.0,131.0,125.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,32.0,28.9,28.9,30.2,30.1,25.6,20.6,23.5,21.0,20.7,21.6,15.7,16.9,15.7,15.9,12.8,11.3,8.9,9.9,6.0,6.0,5.6,5.0,1.6,1.5,1.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,11.0,5.0,0.0,5.0,6.0,3.0,2.0,11.0,1.0,1.0,1.0,2.0,0.0,5.0,2.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,1.0,10.0,2.0,0.0,5.0,0.0,3.0,2.0,3.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,1.0,21.0,7.0,0.0,10.0,6.0,6.0,4.0,14.0,4.0,3.0,1.0,3.0,1.0,7.0,2.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,11.0,5.0,0.0,4.0,4.0,3.0,2.0,9.0,1.0,1.0,1.0,2.0,0.0,5.0,2.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
