Jogador,Theo Hernández,Fikayo Tomori,Sandro Tonali,Rafael Leão,Brahim Díaz,Pierre Kalulu,Olivier Giroud,Ismaël Bennacer,Mike Maignan,Davide Calabria,Junior Messias,Rade Krunić,Ciprian Tătărușanu,Malick Thiaw,Alexis Saelemaekers,Simon Kjær,Divock Origi,Ante Rebić,Charles De Ketelaere,Tommaso Pobega,Matteo Gabbia,Fodé Ballo-Touré,Sergiño Dest,Aster Vranckx,Alessandro Florenzi,Zlatan Ibrahimović,Yacine Adli,Tiemoué Bakayoko,Marko Lazetić,Antonio Mirante,Andrea Bozzolan,Andreas Jungdal,Lapo Nava,Devis Vásquez
Pos.,ZG,ZG,LT,"AT,LT","LT,AT",ZG,AT,LT,G,ZG,"AT,ZG",LT,G,ZG,"AT,ZG",ZG,AT,"AT,LT","LT,AT",LT,ZG,ZG,ZG,LT,ZG,AT,"LT,AT",LT,AT,G,ZG,G,G,G
Idade,24.0,24.0,22.0,23.0,22.0,22.0,35.0,24.0,27.0,25.0,31.0,28.0,36.0,20.0,23.0,33.0,27.0,28.0,21.0,23.0,22.0,25.0,21.0,19.0,31.0,40.0,22.0,27.0,18.0,39.0,18.0,20.0,18.0,24.0
MP,32,33,34,35,33,34,33,28,22,25,25,23,16,20,30,17,27,23,32,19,12,10,8,9,6,4,6,3,1,1,0,0,0,0
Inícios,32,32,30,28,27,26,25,24,22,21,19,18,16,15,14,12,10,10,9,9,6,5,2,2,2,1,1,0,0,0,0,0,0,0
Min.,2.771,2.76,2.713,2.421,1.925,2.548,2.139,2.007,1.978,1.69,1.498,1.657,1.44,1.362,1.403,1.007,1.027,980.0,1.116,883.0,613.0,523.0,329.0,240.0,203.0,146.0,144.0,41.0,9.0,2.0,0.0,0.0,0.0,0.0
90s,30.8,30.7,30.1,26.9,21.4,28.3,23.8,22.3,22.0,18.8,16.6,18.4,16.0,15.1,15.6,11.2,11.4,10.9,12.4,9.8,6.8,5.8,3.7,2.7,2.3,1.6,1.6,0.5,0.1,0.0,0.0,0.0,0.0,0.0
Gols,4.0,1.0,2.0,15.0,6.0,1.0,13.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,3.0,1.0,7.0,8.0,7.0,0.0,5.0,2.0,1.0,4.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,7.0,2.0,9.0,23.0,13.0,1.0,18.0,4.0,1.0,5.0,7.0,1.0,1.0,0.0,5.0,0.0,3.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,3.0,1.0,2.0,15.0,6.0,1.0,10.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,7.0,5.0,7.0,7.0,3.0,4.0,8.0,5.0,0.0,6.0,3.0,8.0,0.0,5.0,1.0,4.0,1.0,4.0,2.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
