Jogador,Giuseppe Bellusci,Dany Mota,Davide Frattesi,Carlos Augusto,Michele Di Gregorio,Giulio Donati,Kevin-Prince Boateng,Andrea Barberis,Mario Sampirisi,Christian Gytkjær,Antonino Barillà,Gabriel Paletta,Davide Bettella,Marco Armellino,Lorenzo Pirola,Andrea Colpani,Matteo Scozzarella,Andrea D'Errico,Davide Diaw,Filippo Scaglia,Eugenio Lamanna,Marco Fossati,Mirko Marić,Pepín,Marco D'Alessandro,Mario Balotelli,Federico Ricci,Daniele Sommariva,Franco Lepore,Mattia Finotto,Antonio Marin,Armando Anastasio,Nicola Rigoni,Luigi Caccavo,Edoardo Colferai,Luca Lombardi,Danilo Magli,Andrea Mazza,Nicola Mosti,Gianluca Ravarelli,Andrea Robbiati,Stefano Rubbi,Pietro Saio,Sabino Signorile
Pos.,ZG,AT,LT,ZG,G,ZG,"AT,LT",LT,ZG,AT,LT,ZG,ZG,LT,ZG,LT,LT,"LT,AT",AT,ZG,G,LT,AT,"LT,AT","AT,LT",AT,"AT,LT",G,ZG,AT,"AT,LT",ZG,LT,AT,AT,LT,LT,G,LT,G,ZG,G,ZG,AT
Idade,30.0,22.0,20.0,21.0,23.0,30.0,33.0,26.0,27.0,30.0,32.0,34.0,20.0,30.0,18.0,21.0,32.0,28.0,28.0,28.0,30.0,27.0,25.0,23.0,29.0,29.0,26.0,23.0,34.0,27.0,19.0,24.0,29.0,16.0,18.0,17.0,18.0,16.0,22.0,17.0,18.0,18.0,16.0,18.0
MP,30,33,37,30,27,28,24,33,25,22,27,20,17,27,12,23,14,27,18,9,8,10,21,10,16,12,11,3,3,4,6,2,1,0,0,0,0,0,0,0,0,0,0,0
Inícios,29,28,28,28,27,25,23,20,20,19,18,16,16,15,11,11,11,10,10,8,8,7,6,5,4,4,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,2.487,2.507,2.455,2.406,2.43,2.196,1.701,2.017,1.864,1.498,1.609,1.468,1.408,1.452,1.023,924.0,865.0,1.05,940.0,766.0,720.0,472.0,700.0,462.0,560.0,466.0,311.0,270.0,187.0,106.0,91.0,78.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,27.6,27.9,27.3,26.7,27.0,24.4,18.9,22.4,20.7,16.6,17.9,16.3,15.6,16.1,11.4,10.3,9.6,11.7,10.4,8.5,8.0,5.2,7.8,5.1,6.2,5.2,3.5,3.0,2.1,1.2,1.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,6.0,8.0,3.0,0.0,0.0,5.0,1.0,2.0,6.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,2.0,3.0,2.0,1.0,0.0,1.0,4.0,5.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,2.0,9.0,10.0,4.0,0.0,1.0,9.0,6.0,3.0,11.0,4.0,1.0,2.0,3.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,4.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,6.0,8.0,3.0,0.0,0.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
