Jogador,Michele Di Gregorio,Carlos Augusto,Andrea Barberis,Giulio Donati,Pedro Pereira,Dany Mota,Mattia Valoti,Luca Caldirola,Luca Mazzitelli,Andrea Colpani,Marco D'Alessandro,Patrick Ciurria,Mario Sampirisi,Luca Marrone,Pepín,Christian Gytkjær,Salvatore Molina,Gabriel Paletta,Leonardo Mancuso,Samuele Vignato,Lorenzo Pirola,Valentin Antov,Matteo Scozzarella,Marco Brescianini,Davide Bettella,Andrea Favilli,Gastón Ramírez,Eugenio Lamanna,Antonino Barillà,Antonis Siatounis,Mattia Finotto,Giuseppe Bellusci,Andrea Mazza,Stefano Rubbi,Daniele Sommariva
Pos.,G,ZG,LT,ZG,ZG,AT,"LT,AT",ZG,LT,"LT,AT","ZG,AT","LT,AT",ZG,ZG,LT,AT,"ZG,LT",ZG,AT,AT,ZG,ZG,LT,LT,ZG,"AT,LT","LT,AT",G,LT,LT,AT,ZG,G,G,G
Idade,24.0,22.0,27.0,31.0,23.0,23.0,27.0,30.0,25.0,22.0,30.0,26.0,28.0,31.0,24.0,31.0,29.0,35.0,29.0,17.0,19.0,20.0,33.0,21.0,21.0,24.0,30.0,31.0,33.0,18.0,28.0,31.0,17.0,19.0,24.0
MP,37,32,36,29,33,28,31,24,28,33,31,34,27,18,25,33,17,18,16,13,10,6,3,5,7,10,6,1,3,2,2,1,0,0,0
Inícios,37,31,30,25,24,24,23,21,21,21,20,17,17,17,16,15,15,14,8,5,4,3,3,2,2,1,1,1,0,0,0,0,0,0,0
Min.,3.33,2.722,2.625,2.252,2.242,2.058,1.986,1.867,1.741,1.677,1.57,1.671,1.535,1.467,1.419,1.493,1.326,1.337,659.0,416.0,458.0,297.0,133.0,253.0,224.0,214.0,165.0,90.0,73.0,24.0,20.0,15.0,0.0,0.0,0.0
90s,37.0,30.2,29.2,25.0,24.9,22.9,22.1,20.7,19.3,18.6,17.4,18.6,17.1,16.3,15.8,16.6,14.7,14.9,7.3,4.6,5.1,3.3,1.5,2.8,2.5,2.4,1.8,1.0,0.8,0.3,0.2,0.2,0.0,0.0,0.0
Gols,0.0,2.0,2.0,0.0,0.0,11.0,10.0,0.0,2.0,5.0,2.0,5.0,3.0,0.0,4.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,1.0,1.0,1.0,1.0,4.0,1.0,3.0,0.0,6.0,1.0,4.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,1.0,3.0,3.0,1.0,4.0,12.0,13.0,0.0,8.0,6.0,6.0,7.0,3.0,2.0,7.0,9.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,2.0,2.0,0.0,0.0,11.0,6.0,0.0,1.0,5.0,2.0,5.0,3.0,0.0,4.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,0.0,7.0,4.0,7.0,5.0,4.0,8.0,5.0,10.0,4.0,4.0,5.0,6.0,7.0,6.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
CrtV,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,2.1,1.7,0.2,0.9,7.4,9.8,0.5,3.5,4.1,2.0,4.3,2.1,1.2,1.6,11.1,1.0,0.1,2.6,0.4,0.1,0.1,0.0,0.2,0.0,1.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,2.1,1.7,0.2,0.9,7.4,6.7,0.5,2.7,4.1,2.0,4.3,2.1,1.2,1.6,8.7,1.0,0.1,2.6,0.4,0.1,0.1,0.0,0.2,0.0,1.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.0,2.0,3.2,0.8,2.9,4.1,3.1,0.4,3.6,3.7,1.7,3.0,0.4,1.5,2.7,0.7,2.1,0.0,0.8,1.0,0.1,0.0,0.0,0.0,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,0.0,41.0,49.0,10.0,37.0,114.0,97.0,9.0,63.0,78.0,37.0,73.0,25.0,27.0,43.0,95.0,32.0,1.0,33.0,14.0,1.0,2.0,0.0,2.0,1.0,12.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,74.0,18.0,26.0,64.0,74.0,41.0,21.0,30.0,62.0,95.0,79.0,22.0,8.0,29.0,13.0,28.0,3.0,7.0,12.0,0.0,4.0,0.0,6.0,6.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
PrgP,0.0,135.0,119.0,134.0,81.0,60.0,119.0,96.0,181.0,76.0,44.0,53.0,83.0,51.0,83.0,15.0,48.0,31.0,10.0,21.0,9.0,5.0,10.0,13.0,21.0,4.0,11.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0
PrgR,0.0,93.0,31.0,34.0,191.0,233.0,106.0,2.0,54.0,150.0,116.0,140.0,21.0,1.0,51.0,85.0,71.0,2.0,44.0,27.0,2.0,0.0,1.0,9.0,0.0,24.0,9.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0
Gols.1,0.0,7.0,7.0,0.0,0.0,48.0,45.0,0.0,10.0,27.0,11.0,27.0,18.0,0.0,25.0,54.0,0.0,0.0,14.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,3.0,3.0,3.0,4.0,16.0,4.0,14.0,0.0,31.0,5.0,23.0,11.0,0.0,12.0,19.0,0.0,0.0,0.0,14.0,22.0,0.0,30.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,3.0,10.0,10.0,4.0,16.0,52.0,59.0,0.0,41.0,32.0,34.0,38.0,18.0,12.0,44.0,54.0,0.0,0.0,27.0,43.0,0.0,30.0,0.0,0.0,40.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,0.0,7.0,7.0,0.0,0.0,48.0,27.0,0.0,5.0,27.0,11.0,27.0,18.0,0.0,25.0,36.0,0.0,0.0,14.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,3.0,10.0,10.0,4.0,16.0,52.0,41.0,0.0,36.0,32.0,34.0,38.0,18.0,12.0,44.0,36.0,0.0,0.0,27.0,43.0,0.0,30.0,0.0,0.0,40.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,0.0,7.0,6.0,1.0,4.0,32.0,44.0,2.0,18.0,22.0,12.0,23.0,13.0,7.0,10.0,67.0,7.0,1.0,35.0,8.0,2.0,3.0,0.0,6.0,2.0,41.0,13.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,0.0
xAG.1,0.0,7.0,11.0,3.0,11.0,18.0,14.0,2.0,19.0,20.0,9.0,16.0,2.0,9.0,17.0,4.0,14.0,0.0,11.0,21.0,1.0,1.0,0.0,1.0,3.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,0.0,14.0,17.0,4.0,15.0,50.0,58.0,4.0,37.0,42.0,21.0,39.0,15.0,17.0,28.0,71.0,21.0,1.0,46.0,30.0,3.0,5.0,0.0,7.0,5.0,52.0,17.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,0.0
npxG.1,0.0,7.0,6.0,1.0,4.0,32.0,30.0,2.0,14.0,22.0,12.0,23.0,13.0,7.0,10.0,53.0,7.0,1.0,35.0,8.0,2.0,3.0,0.0,6.0,2.0,41.0,13.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,0.0
npxG+xAG.1,0.0,14.0,17.0,4.0,15.0,50.0,44.0,4.0,33.0,42.0,21.0,39.0,15.0,17.0,28.0,57.0,21.0,1.0,46.0,30.0,3.0,5.0,0.0,7.0,5.0,52.0,17.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,0.0
Div,0.0,47.0,71.0,45.0,22.0,15.0,54.0,20.0,41.0,26.0,27.0,15.0,14.0,30.0,33.0,12.0,18.0,28.0,0.0,2.0,7.0,2.0,1.0,5.0,9.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,549.0,595.0,0.0
TklW,0.0,30.0,42.0,27.0,16.0,5.0,31.0,11.0,21.0,15.0,14.0,7.0,10.0,19.0,14.0,5.0,11.0,16.0,0.0,2.0,4.0,1.0,1.0,2.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,312.0,352.0,0.0
Terço Def,0.0,24.0,37.0,27.0,11.0,2.0,23.0,13.0,14.0,7.0,11.0,5.0,11.0,20.0,15.0,0.0,8.0,22.0,0.0,0.0,4.0,1.0,0.0,4.0,7.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,271.0,306.0,0.0
Terço Central,0.0,23.0,27.0,16.0,8.0,9.0,21.0,6.0,19.0,11.0,15.0,4.0,3.0,10.0,11.0,10.0,5.0,6.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,227.0,0.0
