Jogador,Michele Di Gregorio,Carlos Augusto,Matteo Pessina,Gianluca Caprari,Patrick Ciurria,Armando Izzo,Pablo Marí,Luca Caldirola,Dany Mota,Nicolò Rovella,Stefano Sensi,Andrea Petagna,Marlon,Samuele Birindelli,Pepín,Andrea Colpani,Filippo Ranocchia,Mattia Valoti,Giulio Donati,Christian Gytkjær,Andrea Barberis,Marco D'Alessandro,Valentin Antov,Luca Marrone,Salvatore Molina,Andrea Carboni,Alessio Cragno,Andrea Ranocchia,Franco Carboni,Samuele Vignato,Warren Bondo,Leonardo Colombo,Gabriele Ferrarini,Andrea Ferraris,Mirko Marić,Alessandro Sorrentino
Pos.,G,ZG,LT,"LT,AT","ZG,LT",ZG,ZG,ZG,"AT,LT",LT,LT,AT,ZG,ZG,LT,LT,LT,"LT,AT",ZG,"AT,LT",LT,"ZG,AT",ZG,ZG,ZG,ZG,G,ZG,"ZG,AT","LT,AT",LT,LT,ZG,AT,AT,G
Idade,25.0,23.0,25.0,29.0,27.0,30.0,28.0,31.0,24.0,20.0,26.0,27.0,26.0,23.0,25.0,23.0,21.0,28.0,32.0,32.0,28.0,31.0,21.0,32.0,30.0,21.0,28.0,34.0,19.0,18.0,18.0,17.0,22.0,19.0,27.0,20.0
MP,37,35,35,37,36,30,30,31,29,25,28,31,28,31,25,27,14,16,8,22,9,8,9,2,5,4,1,1,3,5,4,0,0,0,0,0
Inícios,37,35,34,32,31,29,28,27,21,21,21,19,18,14,11,10,5,4,4,3,3,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0
Min.,3.33,3.083,2.932,2.441,2.753,2.466,2.487,2.353,1.912,1.74,1.618,1.663,1.592,1.4,1.123,948.0,530.0,453.0,422.0,559.0,338.0,290.0,306.0,135.0,229.0,167.0,90.0,47.0,66.0,62.0,60.0,0.0,0.0,0.0,0.0,0.0
90s,37.0,34.3,32.6,27.1,30.6,27.4,27.6,26.1,21.2,19.3,18.0,18.5,17.7,15.6,12.5,10.5,5.9,5.0,4.7,6.2,3.8,3.2,3.4,1.5,2.5,1.9,1.0,0.5,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0
Gols,0.0,6.0,5.0,5.0,6.0,1.0,1.0,2.0,5.0,1.0,3.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,1.0,5.0,3.0,2.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,1.0,11.0,8.0,7.0,11.0,1.0,1.0,2.0,6.0,3.0,4.0,9.0,0.0,1.0,2.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,6.0,2.0,4.0,6.0,1.0,1.0,2.0,5.0,1.0,3.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
