Jogador,Matteo Pessina,Andrea Colpani,Michele Di Gregorio,Pablo Marí,Roberto Gagliardini,Dany Mota,Luca Caldirola,Samuele Birindelli,Giorgos Kyriakopoulos,Armando Izzo,Patrick Ciurria,Danilo D'Ambrosio,Andrea Carboni,Lorenzo Colombo,Warren Bondo,Milan Đurić,Valentin Carboni,Pedro Pereira,Jean-Daniel Akpa-Akpro,Alessio Zerbin,Alessandro Sorrentino,Gianluca Caprari,Samuele Vignato,Daniel Maldini,Pepín,Mirko Marić,Papu Gómez,Giulio Donati,Giorgio Cittadini,Andrea Ferraris,Davide Bettella,Alessandro Berretta,Franco Carboni,Leonardo Colombo,Stefano Gori,Eugenio Lamanna,Andrea Mazza,Andrea Petagna,Matija Popović
Pos.,LT,"LT,AT",G,ZG,"LT,ZG","AT,LT",ZG,ZG,ZG,ZG,"ZG,LT",ZG,ZG,AT,LT,AT,"LT,AT",ZG,LT,"ZG,AT",G,"LT,AT","LT,AT","LT,AT","LT,AT",AT,"LT,AT",ZG,ZG,LT,LT,LT,LT,LT,G,G,G,AT,LT
Idade,26.0,24.0,26.0,29.0,29.0,25.0,32.0,24.0,27.0,31.0,28.0,34.0,22.0,21.0,19.0,33.0,18.0,25.0,30.0,24.0,21.0,30.0,19.0,21.0,26.0,28.0,35.0,33.0,21.0,20.0,23.0,17.0,20.0,18.0,27.0,33.0,19.0,28.0,17.0
MP,37,38,33,34,33,34,29,35,28,23,22,24,21,25,25,17,31,23,19,13,7,6,10,11,10,10,2,4,1,1,1,0,0,0,0,0,0,0,0
Inícios,37,36,33,30,29,24,23,22,20,20,18,16,16,16,14,13,10,9,8,7,5,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.222,2.657,2.872,2.615,2.36,2.049,2.141,2.013,1.712,1.65,1.598,1.536,1.487,1.359,1.475,1.257,1.169,841.0,705.0,684.0,548.0,285.0,343.0,333.0,241.0,287.0,41.0,36.0,15.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,35.8,29.5,31.9,29.1,26.2,22.8,23.8,22.4,19.0,18.3,17.8,17.1,16.5,15.1,16.4,14.0,13.0,9.3,7.8,7.6,6.1,3.2,3.8,3.7,2.7,3.2,0.5,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,6.0,8.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,3.0,4.0,0.0,0.0,2.0,3.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,9.0,12.0,0.0,0.0,3.0,7.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,5.0,2.0,5.0,5.0,2.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,2.0,8.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
