Jogador,Giovanni Di Lorenzo,Lorenzo Insigne,Piotr Zieliński,Fabián Ruiz Peña,Kostas Manolas,Kalidou Koulibaly,Hirving Lozano,Tiemoué Bakayoko,Alex Meret,Matteo Politano,Elseid Hysaj,Diego Demme,Dries Mertens,Mário Rui,Victor Osimhen,David Ospina,Nikola Maksimović,Amir Rrahmani,Andrea Petagna,Elif Elmas,Faouzi Ghoulam,Stanislav Lobotka,Fernando Llorente,Kévin Malcuit,Antonio Cioffi,Nikita Contini Baranovsky,Davide Costanzo,Giuseppe D'Agostino,Hubert Idasiak,Valerio Labriola,Sebastiano Luperto,Karim Zedadka
Pos.,ZG,AT,LT,LT,ZG,ZG,AT,LT,G,"AT,LT",ZG,LT,"AT,LT",ZG,AT,G,ZG,ZG,AT,"LT,AT","ZG,AT",LT,"AT,LT","AT,LT",AT,G,ZG,AT,G,LT,ZG,ZG
Idade,26.0,29.0,26.0,24.0,29.0,29.0,25.0,25.0,23.0,26.0,26.0,28.0,33.0,29.0,21.0,31.0,28.0,26.0,25.0,20.0,29.0,25.0,35.0,29.0,17.0,24.0,18.0,17.0,18.0,19.0,23.0,20.0
MP,36,35,36,33,30,26,32,32,22,37,24,24,29,27,24,16,17,16,26,33,11,15,3,2,1,0,0,0,0,0,0,0
Inícios,36,33,32,29,27,25,23,23,22,22,20,20,18,17,16,16,12,12,9,3,3,0,0,0,0,0,0,0,0,0,0,0
Min.,3.24,2.865,2.523,2.569,2.298,2.209,1.965,1.964,1.98,1.908,1.768,1.59,1.459,1.669,1.573,1.44,1.207,1.094,964.0,740.0,289.0,154.0,52.0,33.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,36.0,31.8,28.0,28.5,25.5,24.5,21.8,21.8,22.0,21.2,19.6,17.7,16.2,18.5,17.5,16.0,13.4,12.2,10.7,8.2,3.2,1.7,0.6,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,3.0,19.0,8.0,3.0,0.0,0.0,11.0,2.0,0.0,9.0,0.0,2.0,9.0,0.0,10.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,6.0,8.0,10.0,1.0,0.0,0.0,3.0,1.0,0.0,4.0,2.0,3.0,8.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,9.0,27.0,18.0,4.0,0.0,0.0,14.0,3.0,0.0,13.0,2.0,5.0,17.0,2.0,13.0,1.0,0.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,3.0,12.0,8.0,3.0,0.0,0.0,11.0,2.0,0.0,9.0,0.0,2.0,9.0,0.0,10.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
