Jogador,Mário Rui,Amir Rrahmani,Giovanni Di Lorenzo,David Ospina,Fabián Ruiz Peña,Lorenzo Insigne,Kalidou Koulibaly,Piotr Zieliński,Victor Osimhen,Andre-Frank Zambo Anguissa,Matteo Politano,Hirving Lozano,Stanislav Lobotka,Dries Mertens,Juan Jesus,Elif Elmas,Diego Demme,Alex Meret,Alessandro Zanoli,Andrea Petagna,Faouzi Ghoulam,Kostas Manolas,Kévin Malcuit,Adam Ounas,Gianluca Gaetano,Davide Marfella,Axel Tuanzebe,Giuseppe Ambrosino,Benedetto Barba,Antonio Cioffi,Davide Costanzo,Hubert Idasiak,Balla Manè,Luca Palmiero,Jonathan Spedalieri,Antonio Vergara
Pos.,ZG,ZG,ZG,G,LT,AT,ZG,LT,AT,LT,AT,AT,LT,"AT,LT",ZG,"AT,LT",LT,G,ZG,AT,ZG,ZG,"ZG,LT","LT,AT",LT,G,ZG,AT,ZG,AT,ZG,G,ZG,LT,ZG,AT
Idade,30.0,27.0,27.0,32.0,25.0,30.0,30.0,27.0,22.0,25.0,27.0,26.0,26.0,34.0,30.0,21.0,29.0,24.0,20.0,26.0,30.0,30.0,30.0,24.0,21.0,21.0,23.0,17.0,18.0,18.0,19.0,19.0,17.0,25.0,19.0,18.0
MP,34,33,33,31,32,32,27,35,27,25,33,30,23,30,21,37,19,7,12,24,14,4,8,15,2,1,1,0,0,0,0,0,0,0,0,0
Inícios,34,33,33,31,29,28,27,26,23,21,20,20,19,16,14,12,7,7,5,4,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Min.,2.992,2.927,2.869,2.79,2.384,2.29,2.405,2.086,1.983,1.926,1.65,1.613,1.686,1.384,1.278,1.62,692.0,619.0,457.0,586.0,332.0,313.0,288.0,326.0,20.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,33.2,32.5,31.9,31.0,26.5,25.4,26.7,23.2,22.0,21.4,18.3,17.9,18.7,15.4,14.2,18.0,7.7,6.9,5.1,6.5,3.7,3.5,3.2,3.6,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,4.0,1.0,0.0,7.0,11.0,3.0,6.0,14.0,0.0,3.0,5.0,1.0,11.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,5.0,0.0,4.0,0.0,4.0,8.0,1.0,5.0,2.0,1.0,4.0,5.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,5.0,4.0,5.0,0.0,11.0,19.0,4.0,11.0,16.0,1.0,7.0,10.0,1.0,12.0,1.0,7.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,4.0,1.0,0.0,7.0,2.0,3.0,6.0,14.0,0.0,3.0,5.0,1.0,10.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,7.0,5.0,3.0,1.0,2.0,2.0,5.0,1.0,5.0,5.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,1.6,4.0,1.1,0.0,1.6,15.3,1.3,3.4,10.5,1.1,2.6,5.9,0.1,4.3,0.3,2.3,0.7,0.0,0.0,1.6,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,1.6,4.0,1.1,0.0,1.6,4.9,1.3,3.4,10.5,1.1,2.6,5.7,0.1,3.6,0.3,2.3,0.7,0.0,0.0,1.6,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,3.3,0.1,2.8,0.0,2.9,5.6,1.3,3.9,1.8,1.1,3.1,2.2,0.7,3.1,0.3,1.8,0.4,0.0,0.1,1.7,0.4,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,49.0,41.0,39.0,0.0,45.0,106.0,25.0,72.0,124.0,23.0,56.0,79.0,8.0,67.0,6.0,41.0,11.0,0.0,1.0,33.0,5.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,67.0,12.0,66.0,0.0,58.0,104.0,21.0,50.0,49.0,45.0,76.0,82.0,25.0,30.0,1.0,59.0,8.0,0.0,11.0,15.0,10.0,2.0,8.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,150.0,81.0,196.0,0.0,220.0,150.0,80.0,128.0,18.0,126.0,64.0,53.0,93.0,69.0,36.0,53.0,44.0,0.0,17.0,11.0,19.0,13.0,11.0,31.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,155.0,3.0,154.0,0.0,80.0,208.0,10.0,95.0,178.0,60.0,191.0,179.0,13.0,101.0,0.0,96.0,2.0,0.0,13.0,38.0,19.0,0.0,19.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,0.0,12.0,3.0,0.0,26.0,43.0,11.0,26.0,64.0,0.0,16.0,28.0,5.0,72.0,7.0,17.0,13.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,15.0,0.0,13.0,0.0,15.0,31.0,4.0,22.0,9.0,5.0,22.0,28.0,0.0,7.0,0.0,22.0,0.0,0.0,0.0,15.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,15.0,12.0,16.0,0.0,42.0,75.0,15.0,47.0,73.0,5.0,38.0,56.0,5.0,78.0,7.0,39.0,13.0,0.0,0.0,61.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,0.0,12.0,3.0,0.0,26.0,8.0,11.0,26.0,64.0,0.0,16.0,28.0,5.0,65.0,7.0,17.0,13.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,15.0,12.0,16.0,0.0,42.0,39.0,15.0,47.0,73.0,5.0,38.0,56.0,5.0,72.0,7.0,39.0,13.0,0.0,0.0,61.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,5.0,12.0,3.0,0.0,6.0,60.0,5.0,15.0,48.0,5.0,14.0,33.0,1.0,28.0,2.0,13.0,9.0,0.0,0.0,25.0,3.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,10.0,0.0,9.0,0.0,11.0,22.0,5.0,17.0,8.0,5.0,17.0,12.0,4.0,20.0,2.0,10.0,5.0,0.0,1.0,25.0,10.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,15.0,13.0,12.0,0.0,17.0,82.0,10.0,31.0,56.0,11.0,31.0,45.0,4.0,48.0,4.0,23.0,14.0,0.0,1.0,51.0,13.0,0.0,8.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,5.0,12.0,3.0,0.0,6.0,19.0,5.0,15.0,48.0,5.0,14.0,32.0,1.0,23.0,2.0,13.0,9.0,0.0,0.0,25.0,3.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,15.0,13.0,12.0,0.0,17.0,42.0,10.0,31.0,56.0,11.0,31.0,44.0,4.0,43.0,4.0,23.0,14.0,0.0,1.0,51.0,13.0,0.0,8.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,68.0,21.0,58.0,0.0,55.0,23.0,39.0,19.0,10.0,50.0,24.0,28.0,39.0,16.0,25.0,25.0,21.0,0.0,10.0,3.0,3.0,2.0,4.0,6.0,1.0,0.0,0.0,550.0,532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,43.0,11.0,36.0,0.0,33.0,14.0,23.0,12.0,5.0,26.0,12.0,20.0,24.0,7.0,17.0,15.0,12.0,0.0,7.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,327.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,32.0,15.0,30.0,0.0,22.0,8.0,31.0,5.0,1.0,24.0,8.0,12.0,16.0,1.0,14.0,10.0,4.0,0.0,6.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,246.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,28.0,5.0,20.0,0.0,29.0,12.0,6.0,9.0,2.0,17.0,11.0,11.0,20.0,11.0,11.0,10.0,13.0,0.0,3.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,227.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,8.0,1.0,8.0,0.0,4.0,3.0,2.0,5.0,7.0,9.0,5.0,5.0,3.0,4.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,77.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,39.0,15.0,33.0,0.0,29.0,8.0,25.0,6.0,2.0,25.0,15.0,8.0,14.0,3.0,12.0,12.0,10.0,0.0,3.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,268.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,84.0,19.0,58.0,0.0,67.0,44.0,38.0,21.0,6.0,51.0,54.0,30.0,36.0,16.0,18.0,28.0,21.0,0.0,5.0,4.0,3.0,3.0,2.0,7.0,2.0,0.0,0.0,617.0,595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,464.0,789.0,569.0,0.0,433.0,182.0,658.0,286.0,333.0,490.0,278.0,267.0,389.0,188.0,667.0,429.0,476.0,0.0,600.0,250.0,0.0,667.0,1000.0,429.0,500.0,0.0,0.0,434.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,45.0,4.0,25.0,0.0,38.0,36.0,13.0,15.0,4.0,26.0,39.0,22.0,22.0,13.0,6.0,16.0,11.0,0.0,2.0,3.0,3.0,1.0,0.0,4.0,1.0,0.0,0.0,349.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,31.0,36.0,28.0,0.0,34.0,30.0,41.0,13.0,16.0,31.0,11.0,24.0,9.0,8.0,21.0,13.0,11.0,0.0,2.0,1.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,371.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,7.0,25.0,10.0,0.0,1.0,1.0,25.0,2.0,3.0,5.0,2.0,0.0,1.0,2.0,16.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,108.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,24.0,11.0,18.0,0.0,33.0,29.0,16.0,11.0,13.0,26.0,9.0,24.0,8.0,6.0,5.0,11.0,9.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,263.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,40.0,19.0,38.0,1.0,22.0,20.0,29.0,8.0,3.0,24.0,13.0,9.0,12.0,9.0,9.0,8.0,9.0,0.0,4.0,0.0,3.0,4.0,8.0,2.0,2.0,0.0,0.0,296.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
