Jogador,Giovanni Di Lorenzo,Andre-Frank Zambo Anguissa,Kim Min-jae,Stanislav Lobotka,Alex Meret,Victor Osimhen,Khvicha Kvaratskhelia,Amir Rrahmani,Piotr Zieliński,Mário Rui,Hirving Lozano,Mathías Olivera,Elif Elmas,Matteo Politano,Juan Jesus,Giacomo Raspadori,Tanguy Ndombele,Leo Skiri Østigård,Pierluigi Gollini,Alessio Zerbin,Bartosz Bereszyński,Diego Demme,Giovanni Simeone,Gianluca Gaetano,Karim Zedadka,Adam Ounas,Alessandro Zanoli,Hubert Idasiak,Davide Marfella,Salvatore Sirigu
Pos.,ZG,LT,ZG,LT,G,AT,AT,ZG,LT,ZG,AT,ZG,"AT,LT",AT,ZG,"AT,LT",LT,ZG,G,AT,ZG,LT,AT,LT,AT,AT,ZG,G,G,G
Idade,28.0,26.0,25.0,27.0,25.0,23.0,21.0,28.0,28.0,31.0,27.0,24.0,22.0,28.0,31.0,22.0,25.0,22.0,27.0,23.0,30.0,30.0,27.0,22.0,22.0,25.0,21.0,20.0,22.0,35.0
MP,37,36,35,38,34,32,34,29,37,22,32,30,36,27,15,25,30,7,4,10,3,7,25,8,3,2,1,0,0,0
Inícios,36,36,35,34,34,30,30,27,27,21,20,17,14,14,10,10,8,4,4,2,2,2,1,0,0,0,0,0,0,0
Min.,3.257,3.05,3.05,3.101,3.06,2.566,2.518,2.448,2.287,1.749,1.605,1.643,1.627,1.166,933.0,911.0,807.0,419.0,360.0,198.0,166.0,146.0,406.0,76.0,20.0,15.0,12.0,0.0,0.0,0.0
90s,36.2,33.9,33.9,34.5,34.0,28.5,28.0,27.2,25.4,19.4,17.8,18.3,18.1,13.0,10.4,10.1,9.0,4.7,4.0,2.2,1.8,1.6,4.5,0.8,0.2,0.2,0.1,0.0,0.0,0.0
Gols,3.0,3.0,2.0,1.0,0.0,26.0,12.0,2.0,3.0,0.0,3.0,2.0,6.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,4.0,5.0,2.0,1.0,0.0,4.0,10.0,1.0,8.0,6.0,3.0,2.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,7.0,8.0,4.0,2.0,0.0,30.0,22.0,3.0,11.0,6.0,6.0,4.0,9.0,6.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,3.0,3.0,2.0,1.0,0.0,24.0,10.0,2.0,3.0,0.0,2.0,2.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
