Jogador,Stanislav Lobotka,Giovanni Di Lorenzo,Andre-Frank Zambo Anguissa,Khvicha Kvaratskhelia,Alex Meret,Matteo Politano,Amir Rrahmani,Juan Jesus,Piotr Zieliński,Victor Osimhen,Leo Skiri Østigård,Mathías Olivera,Giacomo Raspadori,Mário Rui,Jens Cajuste,Natan,Giovanni Simeone,Pierluigi Gollini,Hamed Junior Traorè,Pasquale Mazzocchi,Elif Elmas,Jesper Lindstrøm,Cyril Ngonge,Gianluca Gaetano,Alessio Zerbin,Diego Demme,Alessandro Zanoli,Leander Dendoncker,Nikita Contini Baranovsky,Luigi D'Avino,Francesco Gioielli,Hubert Idasiak,Hirving Lozano,Lorenzo Russo,Karim Zedadka
Pos.,LT,ZG,LT,AT,G,AT,ZG,ZG,LT,AT,ZG,ZG,"AT,LT",ZG,LT,ZG,AT,G,LT,ZG,"AT,LT","AT,LT",AT,LT,"AT,ZG",LT,"ZG,AT",LT,G,ZG,LT,G,"AT,LT",LT,ZG
Idade,28.0,29.0,27.0,22.0,26.0,29.0,29.0,32.0,29.0,24.0,23.0,25.0,23.0,32.0,23.0,22.0,28.0,28.0,23.0,28.0,23.0,23.0,23.0,23.0,24.0,31.0,22.0,28.0,27.0,17.0,19.0,21.0,28.0,18.0,23.0
MP,38,36,34,34,31,37,30,24,28,25,25,23,37,21,26,14,28,7,9,10,11,22,13,9,7,2,4,3,1,0,0,0,0,0,0
Inícios,38,36,32,32,31,31,30,23,23,22,18,18,14,14,11,11,8,7,5,4,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0
Min.,3.282,3.234,2.786,2.737,2.773,2.36,2.6,2.116,1.924,1.982,1.625,1.569,1.584,1.205,1.016,952.0,800.0,630.0,382.0,428.0,339.0,430.0,315.0,161.0,150.0,73.0,52.0,24.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,36.5,35.9,31.0,30.4,30.8,26.2,28.9,23.5,21.4,22.0,18.1,17.4,17.6,13.4,11.3,10.6,8.9,7.0,4.2,4.8,3.8,4.8,3.5,1.8,1.7,0.8,0.6,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,1.0,0.0,11.0,0.0,8.0,3.0,1.0,3.0,15.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,1.0,6.0,2.0,6.0,0.0,7.0,0.0,0.0,2.0,3.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,1.0,7.0,2.0,17.0,0.0,15.0,3.0,1.0,5.0,18.0,1.0,2.0,8.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,1.0,0.0,11.0,0.0,6.0,3.0,1.0,2.0,12.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,4.0,6.0,2.0,8.0,0.0,2.0,5.0,7.0,1.0,6.0,3.0,3.0,0.0,7.0,7.0,3.0,3.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.6,3.1,3.4,11.1,0.0,7.1,2.2,1.3,2.6,15.4,0.6,0.5,5.9,0.1,1.5,0.4,3.4,0.0,0.9,0.2,0.5,0.7,1.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.6,3.1,3.3,11.1,0.0,4.8,2.2,1.3,1.8,11.4,0.6,0.5,4.5,0.1,1.5,0.4,3.4,0.0,0.9,0.2,0.5,0.7,1.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,1.3,4.9,3.0,6.8,0.1,6.6,0.9,0.3,3.4,3.1,0.1,0.9,4.0,1.9,1.1,0.1,0.6,0.0,0.7,0.2,0.2,1.0,0.8,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,19.0,80.0,63.0,179.0,1.0,114.0,31.0,16.0,52.0,146.0,7.0,14.0,85.0,20.0,25.0,5.0,39.0,0.0,16.0,4.0,7.0,17.0,18.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,29.0,95.0,43.0,184.0,0.0,113.0,19.0,6.0,38.0,34.0,13.0,31.0,29.0,33.0,19.0,15.0,11.0,0.0,12.0,14.0,14.0,16.0,18.0,6.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,188.0,304.0,163.0,89.0,0.0,164.0,113.0,82.0,131.0,23.0,76.0,89.0,54.0,90.0,37.0,34.0,13.0,0.0,21.0,24.0,16.0,16.0,11.0,6.0,3.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,34.0,250.0,139.0,266.0,0.0,216.0,4.0,2.0,88.0,142.0,3.0,93.0,139.0,59.0,53.0,11.0,76.0,0.0,19.0,22.0,26.0,34.0,43.0,5.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,0.0,3.0,0.0,36.0,0.0,31.0,10.0,4.0,14.0,68.0,6.0,6.0,28.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,53.0,0.0,29.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,3.0,17.0,6.0,20.0,0.0,27.0,0.0,0.0,9.0,14.0,0.0,6.0,17.0,15.0,18.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,3.0,19.0,6.0,56.0,0.0,57.0,10.0,4.0,23.0,82.0,6.0,11.0,45.0,15.0,18.0,0.0,11.0,0.0,0.0,21.0,53.0,0.0,29.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,0.0,3.0,0.0,36.0,0.0,23.0,10.0,4.0,9.0,54.0,6.0,6.0,28.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,53.0,0.0,29.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,3.0,19.0,6.0,56.0,0.0,50.0,10.0,4.0,19.0,68.0,6.0,11.0,45.0,15.0,18.0,0.0,11.0,0.0,0.0,21.0,53.0,0.0,29.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,2.0,9.0,11.0,37.0,0.0,27.0,8.0,6.0,12.0,70.0,3.0,3.0,33.0,1.0,13.0,4.0,38.0,0.0,20.0,3.0,13.0,14.0,29.0,35.0,15.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,4.0,14.0,10.0,23.0,0.0,25.0,3.0,1.0,16.0,14.0,0.0,5.0,23.0,14.0,9.0,1.0,6.0,0.0,17.0,4.0,6.0,22.0,22.0,27.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,5.0,22.0,21.0,59.0,0.0,52.0,11.0,7.0,28.0,84.0,4.0,8.0,56.0,15.0,22.0,5.0,44.0,0.0,37.0,8.0,19.0,36.0,51.0,62.0,52.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,2.0,9.0,11.0,36.0,0.0,18.0,8.0,6.0,8.0,52.0,3.0,3.0,25.0,1.0,13.0,4.0,38.0,0.0,20.0,3.0,13.0,14.0,29.0,35.0,15.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,5.0,22.0,20.0,59.0,0.0,43.0,11.0,7.0,24.0,66.0,4.0,8.0,48.0,15.0,22.0,5.0,44.0,0.0,37.0,8.0,19.0,36.0,51.0,62.0,52.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,61.0,58.0,61.0,42.0,1.0,19.0,33.0,42.0,23.0,9.0,24.0,50.0,21.0,27.0,36.0,14.0,12.0,1.0,4.0,5.0,4.0,8.0,5.0,4.0,5.0,1.0,1.0,0.0,0.0,571.0,637.0,0.0,0.0,0.0,0.0
TklW,39.0,36.0,33.0,21.0,0.0,8.0,27.0,19.0,15.0,5.0,12.0,29.0,10.0,15.0,24.0,10.0,4.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,326.0,393.0,0.0,0.0,0.0,0.0
Terço Def,18.0,26.0,21.0,11.0,1.0,8.0,17.0,28.0,6.0,0.0,13.0,29.0,6.0,17.0,13.0,10.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,235.0,351.0,0.0,0.0,0.0,0.0
Terço Central,30.0,26.0,29.0,19.0,0.0,7.0,14.0,12.0,13.0,4.0,10.0,15.0,10.0,5.0,17.0,3.0,3.0,0.0,0.0,2.0,3.0,3.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,237.0,215.0,0.0,0.0,0.0,0.0
Terço de Ataque,13.0,6.0,11.0,12.0,0.0,4.0,2.0,2.0,4.0,5.0,1.0,6.0,5.0,5.0,6.0,1.0,8.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,99.0,71.0,0.0,0.0,0.0,0.0
Div.1,24.0,32.0,34.0,15.0,1.0,11.0,16.0,23.0,12.0,2.0,6.0,23.0,6.0,14.0,20.0,5.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,263.0,344.0,0.0,0.0,0.0,0.0
Tent,60.0,68.0,69.0,49.0,2.0,34.0,32.0,33.0,24.0,4.0,11.0,39.0,15.0,21.0,37.0,10.0,12.0,1.0,6.0,3.0,2.0,8.0,2.0,4.0,7.0,1.0,0.0,0.0,0.0,554.0,671.0,0.0,0.0,0.0,0.0
Tkl%,400.0,471.0,493.0,306.0,500.0,324.0,500.0,697.0,500.0,500.0,545.0,590.0,400.0,667.0,541.0,500.0,250.0,1000.0,167.0,667.0,1000.0,500.0,1000.0,500.0,286.0,0.0,0.0,0.0,0.0,475.0,513.0,0.0,0.0,0.0,0.0
Perdido,36.0,36.0,35.0,34.0,1.0,23.0,16.0,10.0,12.0,2.0,5.0,16.0,9.0,7.0,17.0,5.0,9.0,0.0,5.0,1.0,0.0,4.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,291.0,327.0,0.0,0.0,0.0,0.0
