Jogador,Luigi Sepe,Jasmin Kurtić,Juraj Kucka,Hernani,Gervinho,Riccardo Gagliolo,Andreas Cornelius,Giuseppe Pezzella,Yordan Osorio,Gastón Brugman,Bruno Alves,Yann Karamoh,Mattia Bani,Simone Iacoponi,Alberto Grassi,Maxime Busi,Vincent Laurini,Andrea Conti,Simon Sohm,Dennis Man,Graziano Pellè,Roberto Inglese,Lautaro Valenti,Daan Dierckx,Valentin Mihaila,Juan Brunetta,Matteo Scozzarella,Wylan Cyprien,Matteo Darmian,Simone Colombi,Botond Balogh,Kastriot Dermaku,Márk Kosznovszky,Jacopo Dezi,Joshua Zirkzee,Giacomo Ricci,Vasilios Zagaritis,Luca Siligardi,Mattia Sprocati,Chaka Traorè,Drissa Camara,Andrea Adorante,Fabrizio Alastra,Gabriele Artistico,Abdoul Bane,Redi Kasa,Hans Nicolussi Caviglia,Reinaldo Radu,Filippo Rinaldi,Lorenzo Simonetti,Martin Turk
Pos.,G,LT,"LT,AT",LT,AT,ZG,AT,ZG,ZG,LT,ZG,"AT,LT",ZG,ZG,"LT,ZG",ZG,ZG,ZG,LT,"AT,LT",AT,AT,ZG,ZG,"AT,LT","AT,LT",LT,LT,ZG,G,ZG,"ZG,LT",LT,"AT,LT","AT,LT",ZG,ZG,"AT,LT","LT,AT","AT,ZG",LT,AT,G,AT,ZG,LT,LT,ZG,G,LT,G
Idade,29.0,31.0,33.0,26.0,33.0,30.0,27.0,22.0,26.0,27.0,38.0,22.0,26.0,33.0,25.0,20.0,31.0,26.0,19.0,21.0,35.0,28.0,21.0,17.0,20.0,23.0,32.0,25.0,30.0,29.0,18.0,28.0,18.0,28.0,19.0,23.0,19.0,32.0,27.0,15.0,18.0,20.0,22.0,18.0,19.0,18.0,20.0,18.0,17.0,23.0,16.0
MP,36,34,28,33,27,28,29,24,23,26,19,24,15,16,23,24,14,11,18,14,13,14,11,7,16,12,3,13,3,2,3,2,1,2,4,3,2,2,1,3,1,1,0,0,0,0,0,0,0,0,0
Inícios,36,31,28,27,25,22,21,21,21,21,18,16,14,13,13,11,10,9,8,8,6,6,6,6,4,4,3,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.24,2.739,2.334,2.189,2.021,1.956,1.898,1.828,1.809,1.616,1.632,1.294,1.145,1.193,1.177,1.195,870.0,809.0,899.0,699.0,614.0,576.0,499.0,471.0,698.0,475.0,153.0,410.0,208.0,180.0,165.0,100.0,90.0,79.0,113.0,67.0,65.0,34.0,22.0,18.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,36.0,30.4,25.9,24.3,22.5,21.7,21.1,20.3,20.1,18.0,18.1,14.4,12.7,13.3,13.1,13.3,9.7,9.0,10.0,7.8,6.8,6.4,5.5,5.2,7.8,5.3,1.7,4.6,2.3,2.0,1.8,1.1,1.0,0.9,1.3,0.7,0.7,0.4,0.2,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,4.0,7.0,7.0,5.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,0.0,2.0,3.0,1.0,2.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,4.0,9.0,10.0,6.0,4.0,5.0,5.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,4.0,3.0,6.0,5.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
