Jogador,Elias Cobbaut,Franco Vázquez,Enrico Del Prato,Danilo Larangeira,Stanko Jurić,Gianluigi Buffon,Dennis Man,Adrian Benedyczak,Gennaro Tutino,Pasquale Schiattarella,Simon Sohm,Andrea Rispoli,Adrian Bernabe,Juan Brunetta,Yordan Osorio,Woyo Coulibaly,Roberto Inglese,Martin Turk,Valentin Mihaila,Simeon Nwankwo,Goran Pandev,Alessandro Circati,Botond Balogh,Félix Correia,Jayden Oosterwolde,Simone Colombi,Filippo Costa,Maxime Busi,Lautaro Valenti,Dario Sits,Ange-Yoan Bonny,Drissa Camara,Riccardo Gagliolo,Vasilios Zagaritis,Daniele Iacoponi,Aliou Badara Traore,Gastón Brugman,Francesco Cassata,Ahmed Ankrah,Francesco Borriello,Daan Dierckx,Simone Iacoponi,Andrea Mallamo,Andrea Piga,Alberto Rossi
Pos.,ZG,LT,ZG,ZG,LT,G,"ZG,AT",AT,AT,LT,"LT,ZG",ZG,LT,"LT,AT",ZG,ZG,AT,G,"AT,ZG",AT,AT,ZG,ZG,"ZG,AT",ZG,G,ZG,"ZG,AT",ZG,"AT,ZG",AT,LT,ZG,ZG,"AT,LT",LT,LT,LT,LT,G,ZG,ZG,LT,G,G
Idade,23.0,32.0,21.0,37.0,24.0,43.0,22.0,20.0,24.0,34.0,20.0,32.0,20.0,24.0,27.0,22.0,29.0,17.0,21.0,29.0,38.0,17.0,19.0,20.0,20.0,30.0,26.0,21.0,22.0,17.0,17.0,19.0,31.0,20.0,19.0,20.0,28.0,24.0,19.0,16.0,18.0,34.0,18.0,17.0,18.0
MP,35,34,34,29,36,26,26,31,27,18,28,20,16,25,15,22,24,10,13,12,11,6,4,21,5,3,3,6,3,3,13,4,1,5,4,2,1,1,0,0,0,0,0,0,0
Inícios,35,34,33,29,29,25,21,19,19,16,15,15,15,14,14,14,11,10,10,6,5,4,4,3,3,3,3,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.149,2.95,2.855,2.571,2.522,2.272,1.789,1.6,1.425,1.273,1.537,1.205,1.112,1.383,1.292,1.269,1.172,900.0,806.0,681.0,566.0,465.0,260.0,574.0,293.0,248.0,197.0,244.0,182.0,118.0,260.0,111.0,90.0,64.0,48.0,40.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,35.0,32.8,31.7,28.6,28.0,25.2,19.9,17.8,15.8,14.1,17.1,13.4,12.4,15.4,14.4,14.1,13.0,10.0,9.0,7.6,6.3,5.2,2.9,6.4,3.3,2.8,2.2,2.7,2.0,1.3,2.9,1.2,1.0,0.7,0.5,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,2.0,14.0,1.0,1.0,3.0,0.0,3.0,6.0,5.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,3.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,5.0,18.0,3.0,1.0,4.0,0.0,4.0,7.0,6.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,6.0,0.0,3.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,2.0,14.0,1.0,1.0,3.0,0.0,3.0,6.0,5.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
