Jogador,Franco Vázquez,Enrico Del Prato,Nahuel Estévez,Yordan Osorio,Adrian Bernabe,Lautaro Valenti,Stanko Jurić,Dennis Man,Adrian Benedyczak,Gianluigi Buffon,Jayden Oosterwolde,Leandro Chichizola,Roberto Inglese,Simon Sohm,Cristian Ansaldi,Luca Zanimacchia,Botond Balogh,Alessandro Circati,Woyo Coulibaly,Gennaro Tutino,Valentin Mihaila,Elias Cobbaut,Simone Romagnoli,Drissa Camara,Edoardo Corvi,Ange-Yoan Bonny,Vasilios Zagaritis,Antoine Hainaut,Gabriel Charpentier,Dario Sits,Francesco Borriello,Nathan Buayi Kiala,Bartlomiej Maliszewski,Antonio Santurro
Pos.,"LT,AT",ZG,LT,ZG,LT,ZG,LT,"AT,LT","AT,LT",G,ZG,G,AT,"LT,AT","ZG,AT","AT,LT",ZG,ZG,"ZG,AT",AT,AT,ZG,ZG,"LT,AT",G,"AT,LT","ZG,AT","AT,ZG",AT,"AT,LT",G,LT,G,G
Idade,33.0,22.0,26.0,28.0,21.0,23.0,25.0,23.0,21.0,44.0,21.0,32.0,30.0,21.0,35.0,24.0,20.0,18.0,23.0,25.0,22.0,24.0,32.0,20.0,21.0,18.0,21.0,20.0,23.0,18.0,17.0,18.0,18.0,30.0
MP,36,34,36,28,29,24,30,28,32,17,18,17,24,27,21,16,15,14,18,17,15,9,6,22,5,24,13,13,8,2,0,0,0,0
Inícios,36,33,30,27,25,24,22,20,18,17,17,16,16,16,13,12,10,10,8,8,7,6,6,5,5,3,3,3,2,0,0,0,0,0
Min.,3.142,2.936,2.619,2.351,2.105,2.067,1.824,1.678,1.445,1.529,1.524,1.441,1.392,1.368,1.054,1.05,919.0,890.0,833.0,718.0,562.0,613.0,495.0,776.0,450.0,684.0,502.0,347.0,172.0,40.0,0.0,0.0,0.0,0.0
90s,34.9,32.6,29.1,26.1,23.4,23.0,20.3,18.6,16.1,17.0,16.9,16.0,15.5,15.2,11.7,11.7,10.2,9.9,9.3,8.0,6.2,6.8,5.5,8.6,5.0,7.6,5.6,3.9,1.9,0.4,0.0,0.0,0.0,0.0
Gols,11.0,3.0,1.0,0.0,1.0,1.0,0.0,6.0,8.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,7.0,0.0,2.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,18.0,3.0,3.0,0.0,4.0,4.0,0.0,8.0,9.0,0.0,1.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,5.0,3.0,1.0,0.0,1.0,1.0,0.0,5.0,8.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
