Jogador,Leandro Chichizola,Enrico Del Prato,Dennis Man,Adrian Bernabe,Alessandro Circati,Ange-Yoan Bonny,Nahuel Estévez,Hernani,Adrian Benedyczak,Yordan Osorio,Woyo Coulibaly,Valentin Mihaila,Simon Sohm,Gianluca Di Chiara,Botond Balogh,Anthony Partipilo,Wylan Cyprien,Vasilios Zagaritis,Antonio Čolak,Cristian Ansaldi,Drissa Camara,Gabriel Charpentier,Edoardo Corvi,Lautaro Valenti,Antoine Hainaut,Tjaš Begić,Peter Amoran,Mohamed Haj,Federico Motti,Filippo Rinaldi,Dario Sits,Martin Turk
Pos.,G,ZG,AT,LT,ZG,AT,LT,LT,AT,ZG,ZG,"AT,LT",LT,ZG,ZG,AT,LT,ZG,"AT,LT",ZG,"AT,LT","AT,LT",G,ZG,"ZG,LT","LT,AT",ZG,AT,LT,G,AT,G
Idade,33.0,23.0,24.0,22.0,19.0,19.0,27.0,29.0,22.0,29.0,24.0,23.0,22.0,29.0,21.0,28.0,28.0,22.0,29.0,36.0,21.0,24.0,22.0,24.0,21.0,20.0,19.0,18.0,19.0,20.0,19.0,19.0
MP,37,35,32,35,29,35,32,36,31,24,26,32,32,25,17,27,18,10,22,16,16,24,2,2,4,8,0,0,0,0,0,0
Inícios,36,32,29,28,28,28,25,25,23,21,21,21,21,18,16,8,8,7,6,5,3,2,2,2,2,1,0,0,0,0,0,0
Min.,3.252,2.95,2.338,2.588,2.527,1.99,2.303,2.195,1.828,1.951,1.882,1.602,1.599,1.634,1.351,999.0,767.0,635.0,663.0,497.0,456.0,647.0,168.0,161.0,113.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,36.1,32.8,26.0,28.8,28.1,22.1,25.6,24.4,20.3,21.7,20.9,17.8,17.8,18.2,15.0,11.1,8.5,7.1,7.4,5.5,5.1,7.2,1.9,1.8,1.3,2.8,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,2.0,11.0,8.0,1.0,5.0,3.0,3.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,1.0,3.0,6.0,3.0,0.0,7.0,1.0,3.0,3.0,1.0,2.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,1.0,5.0,17.0,11.0,1.0,12.0,4.0,6.0,13.0,1.0,2.0,8.0,4.0,1.0,0.0,4.0,2.0,0.0,3.0,1.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,2.0,9.0,8.0,1.0,4.0,3.0,3.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
