Jogador,Gianluca Mancini,Henrikh Mkhitaryan,Lorenzo Pellegrini,Rick Karsdorp,Roger Ibanez,Leonardo Spinazzola,Jordan Veretout,Bryan Cristante,Gonzalo Villar,Edin Džeko,Pau López,Pedro,Borja Mayoral,Bruno Peres,Marash Kumbulla,Antonio Mirante,Chris Smalling,Amadou Diawara,Davide Santon,Carles Pérez,Stephan El Shaarawy,Daniel Fuzato,Federico Fazio,Ebrima Darboe,Bryan Reynolds,Riccardo Calafiori,Juan Jesus,Javier Pastore,Justin Kluivert,Edoardo Bove,Nicola Zalewski,Mirko Antonucci,Pietro Boer,Riccardo Ciervo,Simone Farelli,Amir Feratovič,Tommaso Milanese,Robin Olsen,Suf Podgoreanu,Ruben Providence,Lamine Tall
Pos.,ZG,"LT,AT",LT,ZG,ZG,ZG,LT,"ZG,LT",LT,AT,G,"LT,AT",AT,ZG,ZG,G,ZG,LT,ZG,"LT,AT","LT,AT",G,ZG,LT,ZG,ZG,ZG,"LT,AT",LT,LT,LT,"AT,LT",G,AT,G,LT,LT,G,AT,AT,AT
Idade,24.0,31.0,24.0,25.0,21.0,27.0,27.0,25.0,22.0,34.0,25.0,33.0,23.0,30.0,20.0,37.0,30.0,23.0,29.0,22.0,27.0,23.0,33.0,19.0,19.0,18.0,29.0,31.0,21.0,18.0,18.0,21.0,18.0,18.0,37.0,18.0,18.0,30.0,18.0,19.0,18.0
MP,33,34,34,34,30,27,29,34,33,27,21,27,31,30,21,13,16,18,10,21,10,5,6,5,5,3,5,5,2,1,1,0,0,0,0,0,0,0,0,0,0
Inícios,33,30,30,28,28,25,25,22,21,20,20,20,18,14,14,13,13,7,7,6,6,5,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,2.852,2.745,2.598,2.544,2.398,2.124,2.053,2.155,1.859,1.824,1.817,1.591,1.551,1.427,1.363,1.153,1.111,658.0,586.0,773.0,572.0,450.0,406.0,323.0,283.0,66.0,157.0,82.0,19.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,31.7,30.5,28.9,28.3,26.6,23.6,22.8,23.9,20.7,20.3,20.2,17.7,17.2,15.9,15.1,12.8,12.3,7.3,6.5,8.6,6.4,5.0,4.5,3.6,3.1,0.7,1.7,0.9,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,4.0,13.0,7.0,1.0,0.0,2.0,10.0,1.0,0.0,7.0,0.0,5.0,10.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,2.0,10.0,6.0,6.0,2.0,4.0,2.0,3.0,1.0,3.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,6.0,23.0,13.0,7.0,2.0,6.0,12.0,4.0,1.0,10.0,0.0,7.0,13.0,3.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,4.0,12.0,6.0,1.0,0.0,2.0,5.0,1.0,0.0,7.0,0.0,5.0,10.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
