Jogador,Rui Patrício,Tammy Abraham,Gianluca Mancini,Roger Ibanez,Rick Karsdorp,Bryan Cristante,Henrikh Mkhitaryan,Lorenzo Pellegrini,Jordan Veretout,Chris Smalling,Nicolò Zaniolo,Matías Viña,Marash Kumbulla,Sérgio Oliveira,Nicola Zalewski,Stephan El Shaarawy,Ainsley Maitland-Niles,Felix Afena-Gyan,Eldor Shomurodov,Carles Pérez,Riccardo Calafiori,Amadou Diawara,Leonardo Spinazzola,Borja Mayoral,Ebrima Darboe,Edoardo Bove,Cristian Volpato,Bryan Reynolds,Dimitrios Keramitsis,Daniel Fuzato,Pietro Boer,Davide Mastrantonio,Filippo Missori,Maissa Ndiaye,Jan Oliveras,Filippo Tripi,Gonzalo Villar
Pos.,G,AT,ZG,ZG,"ZG,AT",LT,"LT,AT",LT,LT,ZG,"AT,LT","ZG,AT",ZG,LT,ZG,"AT,ZG",ZG,"AT,LT","AT,LT","LT,AT",ZG,LT,ZG,"AT,ZG",LT,"LT,ZG","AT,LT",ZG,LT,G,G,G,ZG,ZG,ZG,LT,LT
Idade,33.0,23.0,25.0,22.0,26.0,26.0,32.0,25.0,28.0,31.0,22.0,23.0,21.0,29.0,19.0,28.0,23.0,18.0,26.0,23.0,19.0,24.0,28.0,24.0,20.0,19.0,17.0,20.0,17.0,24.0,19.0,17.0,17.0,19.0,17.0,19.0,23.0
MP,38,37,33,34,36,34,31,28,36,27,28,26,17,14,16,27,8,17,28,19,6,4,3,5,1,11,3,1,1,0,0,0,0,0,0,0,0
Inícios,38,36,33,32,32,29,29,27,26,23,23,18,13,13,9,8,7,6,5,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.42,3.084,2.878,2.889,2.883,2.678,2.495,2.289,2.319,2.091,1.971,1.565,1.025,892.0,793.0,1.055,487.0,668.0,784.0,554.0,174.0,170.0,127.0,96.0,63.0,68.0,38.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,38.0,34.3,32.0,32.1,32.0,29.8,27.7,25.4,25.8,23.2,21.9,17.4,11.4,9.9,8.8,11.7,5.4,7.4,8.7,6.2,1.9,1.9,1.4,1.1,0.7,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,17.0,0.0,3.0,0.0,2.0,5.0,9.0,4.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,4.0,0.0,0.0,2.0,0.0,6.0,3.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,21.0,0.0,3.0,2.0,2.0,11.0,12.0,12.0,3.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0,2.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,14.0,0.0,3.0,0.0,2.0,5.0,7.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
