Jogador,Rui Patrício,Bryan Cristante,Gianluca Mancini,Roger Ibanez,Chris Smalling,Lorenzo Pellegrini,Nicola Zalewski,Tammy Abraham,Paulo Dybala,Leonardo Spinazzola,Nemanja Matić,Zeki Çelik,Stephan El Shaarawy,Nicolò Zaniolo,Andrea Belotti,Edoardo Bove,Georginio Wijnaldum,Rick Karsdorp,Mohamed Camara,Ola Solbakken,Diego Llorente,Marash Kumbulla,Benjamin Tahirovic,Mile Svilar,Cristian Volpato,Filippo Missori,Eldor Shomurodov,Matías Viña,Jordan Majchrzak,Niccolò Pisilli,Felix Afena-Gyan,Gabriele Baldi,Pietro Boer,Luigi Cherubini,Ebrima Darboe,Jacopo Del Bello,Matteo Falasca,Giacomo Faticanti,Dimitrios Keramitsis,Corentin Louakima,Jan Oliveras,Riccardo Pagano,Filippo Tripi
Pos.,G,"LT,ZG",ZG,ZG,ZG,LT,ZG,AT,"LT,AT",ZG,LT,ZG,"ZG,LT","LT,AT",AT,LT,LT,ZG,LT,"LT,AT",ZG,ZG,LT,G,LT,ZG,AT,ZG,AT,LT,AT,G,G,AT,LT,G,ZG,LT,ZG,ZG,ZG,LT,LT
Idade,34.0,27.0,26.0,23.0,32.0,26.0,20.0,24.0,28.0,29.0,33.0,25.0,29.0,23.0,28.0,20.0,31.0,27.0,25.0,23.0,28.0,22.0,19.0,22.0,18.0,18.0,27.0,24.0,17.0,17.0,19.0,17.0,20.0,18.0,21.0,17.0,18.0,18.0,18.0,19.0,18.0,17.0,20.0
MP,35,36,35,33,32,32,33,38,25,26,35,24,29,13,31,22,14,13,15,14,9,7,11,3,7,3,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Inícios,35,34,33,32,31,29,26,24,21,18,16,16,14,12,11,10,10,8,8,7,5,5,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.15,2.938,2.858,2.796,2.808,2.545,2.197,2.189,1.739,1.654,1.852,1.504,1.523,890.0,1.146,992.0,769.0,711.0,696.0,502.0,573.0,259.0,355.0,270.0,227.0,181.0,119.0,55.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,35.0,32.6,31.8,31.1,31.2,28.3,24.4,24.3,19.3,18.4,20.6,16.7,16.9,9.9,12.7,11.0,8.5,7.9,7.7,5.6,6.4,2.9,3.9,3.0,2.5,2.0,1.3,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,1.0,1.0,3.0,3.0,4.0,2.0,8.0,12.0,1.0,2.0,0.0,7.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,1.0,2.0,0.0,1.0,5.0,1.0,3.0,6.0,4.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,2.0,3.0,3.0,4.0,9.0,3.0,11.0,18.0,5.0,4.0,1.0,9.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,1.0,1.0,3.0,3.0,2.0,2.0,8.0,7.0,1.0,2.0,0.0,7.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,1.0,8.0,7.0,11.0,7.0,5.0,3.0,2.0,5.0,3.0,5.0,7.0,3.0,4.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,2.6,2.3,3.0,1.7,8.0,1.3,10.8,9.3,1.0,1.0,0.3,5.5,2.9,3.5,0.8,2.2,0.3,0.6,0.6,0.4,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,1.9,2.3,3.0,1.7,5.7,1.3,10.8,5.3,1.0,1.0,0.3,5.5,2.9,2.7,0.5,2.2,0.3,0.6,0.6,0.4,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.0,1.4,1.6,0.6,0.4,6.9,1.2,3.6,6.9,2.0,2.6,1.6,1.4,0.9,1.6,0.9,0.7,1.2,0.4,1.6,0.1,0.1,0.2,0.0,1.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,0.0,33.0,39.0,35.0,21.0,125.0,25.0,145.0,122.0,30.0,36.0,19.0,69.0,38.0,43.0,14.0,29.0,15.0,10.0,22.0,5.0,1.0,2.0,0.0,15.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,16.0,17.0,24.0,5.0,58.0,92.0,35.0,56.0,107.0,50.0,34.0,58.0,34.0,21.0,9.0,16.0,16.0,13.0,5.0,2.0,2.0,0.0,0.0,8.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,0.0,142.0,93.0,77.0,51.0,106.0,85.0,54.0,75.0,63.0,134.0,67.0,66.0,19.0,13.0,33.0,18.0,24.0,30.0,14.0,12.0,8.0,9.0,0.0,18.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,0.0,27.0,19.0,9.0,7.0,113.0,99.0,141.0,109.0,87.0,17.0,76.0,136.0,69.0,94.0,26.0,33.0,33.0,14.0,35.0,3.0,1.0,3.0,0.0,24.0,3.0,15.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,0.0,3.0,3.0,10.0,10.0,14.0,8.0,33.0,62.0,5.0,10.0,0.0,41.0,10.0,0.0,9.0,23.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,0.0,3.0,6.0,0.0,3.0,18.0,4.0,12.0,31.0,22.0,10.0,6.0,12.0,0.0,16.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,0.0,6.0,9.0,10.0,13.0,32.0,12.0,45.0,93.0,27.0,19.0,6.0,53.0,10.0,16.0,9.0,23.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,0.0,3.0,3.0,10.0,10.0,7.0,8.0,33.0,36.0,5.0,10.0,0.0,41.0,10.0,0.0,9.0,23.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,0.0,6.0,9.0,10.0,13.0,25.0,12.0,45.0,67.0,27.0,19.0,6.0,53.0,10.0,16.0,9.0,23.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,0.0,8.0,7.0,10.0,5.0,28.0,5.0,45.0,48.0,6.0,5.0,2.0,33.0,29.0,27.0,7.0,26.0,3.0,8.0,11.0,6.0,1.0,0.0,0.0,14.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,0.0,4.0,5.0,2.0,1.0,24.0,5.0,15.0,36.0,11.0,13.0,9.0,8.0,9.0,13.0,8.0,8.0,15.0,5.0,29.0,1.0,3.0,4.0,0.0,47.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,0.0,12.0,12.0,11.0,7.0,53.0,10.0,60.0,83.0,16.0,17.0,12.0,41.0,39.0,40.0,15.0,34.0,19.0,13.0,40.0,7.0,4.0,4.0,0.0,61.0,0.0,45.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,0.0,6.0,7.0,10.0,5.0,20.0,5.0,45.0,28.0,6.0,5.0,2.0,33.0,29.0,21.0,5.0,26.0,3.0,8.0,11.0,6.0,1.0,0.0,0.0,14.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,0.0,10.0,12.0,11.0,7.0,44.0,10.0,60.0,63.0,16.0,17.0,12.0,41.0,39.0,34.0,13.0,34.0,19.0,13.0,40.0,7.0,4.0,4.0,0.0,61.0,0.0,45.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,1.0,113.0,37.0,67.0,26.0,52.0,45.0,17.0,14.0,15.0,47.0,42.0,21.0,7.0,12.0,35.0,4.0,21.0,13.0,2.0,10.0,4.0,8.0,0.0,3.0,4.0,1.0,3.0,0.0,0.0,624.0,633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,1.0,62.0,19.0,33.0,15.0,29.0,26.0,10.0,4.0,8.0,27.0,21.0,9.0,5.0,5.0,18.0,3.0,13.0,10.0,2.0,5.0,4.0,5.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,340.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,1.0,55.0,27.0,38.0,16.0,24.0,25.0,4.0,1.0,7.0,24.0,19.0,8.0,2.0,3.0,12.0,1.0,11.0,3.0,1.0,6.0,2.0,5.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,301.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
