Jogador,Bryan Cristante,Gianluca Mancini,Leandro Paredes,Romelu Lukaku,Diego Llorente,Obite N'Dicka,Paulo Dybala,Rui Patrício,Lorenzo Pellegrini,Rasmus Kristensen,Stephan El Shaarawy,Edoardo Bove,Mile Svilar,Leonardo Spinazzola,Rick Karsdorp,Angeliño,Nicola Zalewski,Houssem Aouar,Andrea Belotti,Zeki Çelik,Tommaso Baldanzi,Dean Huijsen,Chris Smalling,Sardar Azmoun,Tammy Abraham,Renato Sanches,Riccardo Pagano,Ola Solbakken,João Costa,Niccolò Pisilli,Filippo Alessio,Pietro Boer,Luigi Cherubini,Francesco D'Alessio,Lovro Golič,Renato Marin,Jan Oliveras
Pos.,"LT,ZG",ZG,LT,AT,ZG,ZG,"AT,LT",G,LT,ZG,"AT,ZG",LT,G,ZG,ZG,ZG,"ZG,AT","LT,AT",AT,ZG,"AT,LT",ZG,ZG,"AT,LT",AT,LT,"LT,ZG",AT,"LT,AT",LT,AT,G,AT,LT,ZG,G,ZG
Idade,28.0,27.0,29.0,30.0,29.0,23.0,29.0,35.0,27.0,26.0,30.0,21.0,23.0,30.0,28.0,26.0,21.0,25.0,29.0,26.0,20.0,18.0,33.0,28.0,25.0,25.0,18.0,24.0,18.0,18.0,18.0,21.0,19.0,19.0,17.0,17.0,19.0
MP,37,36,34,32,29,25,28,23,29,29,33,31,15,24,18,16,22,16,14,17,13,13,8,23,8,7,4,1,3,1,0,0,0,0,0,0,0
Inícios,37,34,32,30,27,25,25,23,20,19,19,18,15,15,14,14,10,9,6,6,6,4,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0
Min.,3.289,2.869,2.634,2.641,2.17,2.168,1.959,2.07,1.859,1.744,1.738,1.78,1.35,1.312,1.191,1.141,968.0,756.0,679.0,671.0,518.0,509.0,390.0,585.0,242.0,146.0,51.0,23.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,36.5,31.9,29.3,29.3,24.1,24.1,21.8,23.0,20.7,19.4,19.3,19.8,15.0,14.6,13.2,12.7,10.8,8.4,7.5,7.5,5.8,5.7,4.3,6.5,2.7,1.6,0.6,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,3.0,4.0,3.0,13.0,1.0,0.0,13.0,0.0,8.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,4.0,1.0,5.0,3.0,1.0,3.0,9.0,0.0,3.0,1.0,4.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,7.0,5.0,8.0,16.0,2.0,3.0,22.0,0.0,11.0,2.0,7.0,2.0,0.0,3.0,2.0,1.0,1.0,4.0,5.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,3.0,4.0,0.0,13.0,1.0,0.0,6.0,0.0,7.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,3.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,8.0,9.0,15.0,5.0,5.0,6.0,3.0,1.0,7.0,5.0,2.0,2.0,1.0,0.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,4.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,4.0,1.9,3.3,9.8,0.3,1.0,10.6,0.0,4.8,0.5,2.5,2.0,0.0,0.2,0.4,0.2,0.8,2.3,2.4,0.2,0.9,0.4,0.0,2.9,0.6,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,4.0,1.9,1.0,9.0,0.3,1.0,5.1,0.0,4.0,0.5,2.5,2.0,0.0,0.2,0.4,0.2,0.8,2.3,2.4,0.2,0.9,0.4,0.0,2.9,0.6,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,2.9,1.1,2.3,2.4,0.6,1.0,4.3,0.0,2.4,0.9,2.3,0.7,0.0,3.0,2.2,1.6,1.6,0.5,1.2,0.6,0.7,0.1,0.4,1.4,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,69.0,30.0,32.0,114.0,9.0,20.0,94.0,0.0,64.0,15.0,48.0,27.0,0.0,32.0,27.0,17.0,25.0,28.0,36.0,8.0,15.0,5.0,4.0,42.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,47.0,38.0,36.0,37.0,20.0,26.0,79.0,0.0,43.0,16.0,46.0,21.0,0.0,108.0,12.0,12.0,54.0,17.0,15.0,14.0,18.0,4.0,1.0,5.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
