Jogador,Norbert Gyömbér,Vid Belec,Tiago Casasola,Francesco Di Tacchio,Gennaro Tutino,Milan Đurić,Ramzi Aya,Leonardo Capezzi,Tomasz Kupisz,Luka Bogdan,Freddie Veseli,Mamadou Coulibaly,Valerio Mantovani,Paweł Jaroszyński,Cedric Gondo,Walter López,Emanuele Cicerelli,Anderson Lima,Andrea Schiavone,Sofian Kiyine,Patryk Dziczek,Marius Adamonis,Cristiano Lombardi,Niccolò Giannetti,Felipe Curcio,Sanasi Sy,Riza Durmisi,Julian Kristoffersen,Mirko Antonucci,Marco Migliorini,Edoardo Iannoni,Reda Boultam,Joel Baraye,Antreas Karo,Giuseppe Barone,Gioacchino Galeotafiore,Guido Guerrieri,Alessandro Micai,Antonio Russo,Stefano Russo
Pos.,ZG,G,ZG,LT,AT,AT,ZG,LT,"LT,ZG",ZG,ZG,LT,ZG,ZG,AT,ZG,"LT,ZG","LT,AT",LT,"LT,AT",LT,G,LT,"AT,LT",ZG,ZG,ZG,"AT,LT","ZG,AT",ZG,LT,LT,ZG,LT,LT,ZG,G,G,G,G
Idade,28.0,30.0,24.0,30.0,23.0,30.0,29.0,25.0,30.0,24.0,27.0,21.0,24.0,25.0,23.0,34.0,25.0,20.0,27.0,22.0,22.0,23.0,24.0,29.0,26.0,21.0,26.0,23.0,21.0,28.0,19.0,22.0,23.0,23.0,22.0,20.0,24.0,27.0,20.0,31.0
MP,35,34,35,34,36,35,23,32,31,20,23,18,16,16,27,14,29,28,28,13,15,3,3,13,2,1,5,6,3,1,1,1,1,1,0,0,0,0,0,0
Inícios,35,34,34,34,31,25,20,20,19,18,16,16,14,14,14,12,11,10,9,8,5,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.146,3.06,3.056,2.87,2.671,2.369,1.828,1.731,1.944,1.554,1.445,1.229,1.197,1.16,1.083,1.016,1.157,897.0,1.007,683.0,541.0,270.0,67.0,138.0,73.0,45.0,164.0,70.0,21.0,18.0,10.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,35.0,34.0,34.0,31.9,29.7,26.3,20.3,19.2,21.6,17.3,16.1,13.7,13.3,12.9,12.0,11.3,12.9,10.0,11.2,7.6,6.0,3.0,0.7,1.5,0.8,0.5,1.8,0.8,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,0.0,3.0,0.0,13.0,5.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,1.0,4.0,1.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,1.0,7.0,1.0,16.0,7.0,1.0,3.0,5.0,4.0,1.0,0.0,0.0,1.0,5.0,2.0,4.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,0.0,3.0,0.0,11.0,3.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
