Jogador,Norbert Gyömbér,Lassana Coulibaly,Luca Ranieri,Milan Đurić,Vid Belec,Federico Bonazzoli,Federico Fazio,Franck Ribéry,Luigi Sepe,Grigoris Kastanos,Pasquale Mazzocchi,Francesco Di Tacchio,Nadir Zortea,Éderson,Joel Obi,Riccardo Gagliolo,Ivan Radovanović,Stefan Strandberg,Simone Verdi,Wajdi Kechrida,Simeon Nwankwo,Cedric Gondo,Mamadou Coulibaly,Emil Bohinen,Matteo Ruggeri,Freddie Veseli,Andrea Schiavone,Radu Drăgușin,Paweł Jaroszyński,Luka Bogdan,Filippo Delli Carri,Leonardo Capezzi,Lys Mousset,Ramzi Aya,Diego Perotti,Edoardo Vergani,Vincenzo Fiorillo,Andrei Motoc,Mikael,Alessandro Russo,Mario Perrone,Julian Kristoffersen,Lorenzo Cannavale,Tommaso De Lorenzo,Jacopo De Matteis,Guido Guerrieri,Angelo Guida,Carmine Iannone,Antonio Iervolino,Antonio Russo
Pos.,ZG,LT,ZG,AT,G,"AT,LT",ZG,"LT,AT",G,"LT,AT",ZG,LT,"ZG,LT",LT,"LT,ZG",ZG,"ZG,LT",ZG,"AT,LT","ZG,LT",AT,AT,LT,LT,ZG,ZG,LT,ZG,ZG,ZG,ZG,LT,"LT,AT",ZG,"LT,AT","AT,LT",G,ZG,"AT,LT",LT,ZG,AT,AT,ZG,G,G,AT,LT,LT,G
Idade,29.0,25.0,22.0,31.0,31.0,24.0,34.0,38.0,30.0,23.0,26.0,31.0,22.0,22.0,30.0,31.0,32.0,31.0,29.0,25.0,29.0,24.0,22.0,22.0,19.0,28.0,28.0,19.0,26.0,25.0,22.0,26.0,25.0,30.0,33.0,20.0,31.0,19.0,22.0,17.0,18.0,24.0,19.0,17.0,18.0,25.0,18.0,20.0,18.0,21.0
MP,31,31,27,33,23,32,16,23,16,27,15,18,29,15,21,17,14,11,15,17,19,14,12,11,14,9,14,7,13,6,5,5,6,2,11,6,1,1,7,1,1,1,0,0,0,0,0,0,0,0
Inícios,30,29,25,23,21,19,16,16,16,16,15,14,13,13,12,12,12,11,11,10,10,10,9,8,8,8,5,5,4,4,3,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Min.,2.563,2.332,2.103,2.165,1.938,1.866,1.434,1.421,1.392,1.348,1.269,1.255,1.41,1.147,1.143,1.138,1.053,933.0,829.0,952.0,842.0,699.0,808.0,699.0,676.0,596.0,571.0,488.0,516.0,399.0,334.0,175.0,160.0,135.0,287.0,102.0,90.0,90.0,87.0,29.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,28.5,25.9,23.4,24.1,21.5,20.7,15.9,15.8,15.5,15.0,14.1,13.9,15.7,12.7,12.7,12.6,11.7,10.4,9.2,10.6,9.4,7.8,9.0,7.8,7.5,6.6,6.3,5.4,5.7,4.4,3.7,1.9,1.8,1.5,3.2,1.1,1.0,1.0,1.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,0.0,1.0,5.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,0.0,1.0,9.0,0.0,10.0,1.0,2.0,0.0,2.0,2.0,0.0,3.0,3.0,1.0,1.0,2.0,0.0,5.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,0.0,1.0,4.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
