Jogador,Antonio Candreva,Domagoj Bradarić,Lassana Coulibaly,Lorenzo Pirola,Loum Tchaouna,Guillermo Ochoa,Giulio Maggiore,Norbert Gyömbér,Grigoris Kastanos,Pasquale Mazzocchi,Federico Fazio,Toma Bašić,Benoît Costil,Boulaye Dia,Chukwubuikem Ikwuemesi,Matteo Lovato,Niccolò Pierozzi,Mateusz Łęgowski,Junior Sambia,Alessandro Zanoli,Flavius Daniliuc,Jovane Cabral,Emil Bohinen,Agustín Martegani,Simeon Nwankwo,Kostas Manolas,Marco Pellegrino,Shon Weissman,Triantafyllos Pasaridīs,Vincenzo Fiorillo,Erik Botheim,Jérôme Boateng,Emanuel Vignato,Iron Gomis,Trivante Stewart,Dylan Bronn,Andres Sfait,Gerardo Fusco,Mamadou Coulibaly,Pasquale Allocca,Luca Boncori,Rocco Di Vico,Emanuele Elia,Tommaso Ferrari,Salvati Gregorio,Niccolò Guccione,Antonio Iervolino,Andrei Motoc
Pos.,"LT,AT",ZG,LT,ZG,"AT,LT",G,LT,ZG,"LT,ZG",ZG,ZG,LT,G,"AT,LT",AT,ZG,ZG,LT,"ZG,LT",ZG,ZG,"LT,AT",LT,LT,AT,ZG,ZG,"AT,ZG",ZG,G,"AT,LT",ZG,"LT,AT",LT,"AT,LT","ZG,LT","ZG,LT",AT,ZG,G,AT,LT,ZG,ZG,G,ZG,LT,LT
Idade,36.0,23.0,27.0,21.0,19.0,38.0,25.0,31.0,25.0,28.0,36.0,26.0,36.0,26.0,21.0,23.0,21.0,20.0,26.0,22.0,22.0,25.0,24.0,23.0,31.0,32.0,0.0,27.0,27.0,33.0,23.0,34.0,22.0,23.0,23.0,28.0,18.0,18.0,24.0,18.0,17.0,16.0,18.0,18.0,18.0,17.0,20.0,21.0
MP,34,34,28,27,33,21,27,22,26,18,17,15,13,17,25,13,12,29,18,17,14,12,12,18,15,8,10,11,8,4,7,7,9,5,4,4,2,1,1,0,0,0,0,0,0,0,0,0
Inícios,32,30,25,24,23,21,20,20,18,16,15,14,13,12,11,11,11,10,10,10,8,8,7,6,6,6,5,5,5,4,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,2.75,2.749,2.082,1.987,2.1,1.89,1.8,1.76,1.48,1.272,1.355,1.162,1.17,1.143,1.061,947.0,871.0,1.145,1.032,921.0,744.0,678.0,535.0,731.0,686.0,488.0,545.0,494.0,452.0,360.0,316.0,238.0,311.0,134.0,100.0,52.0,23.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,30.6,30.5,23.1,22.1,23.3,21.0,20.0,19.6,16.4,14.1,15.1,12.9,13.0,12.7,11.8,10.5,9.7,12.7,11.5,10.2,8.3,7.5,5.9,8.1,7.6,5.4,6.1,5.5,5.0,4.0,3.5,2.6,3.5,1.5,1.1,0.6,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,6.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,6.0,3.0,1.0,0.0,3.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,12.0,3.0,1.0,1.0,7.0,0.0,6.0,0.0,6.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,5.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
