Jogador,Emil Audero,Tommaso Augello,Morten Thorsby,Bartosz Bereszyński,Jakub Jankto,Omar Colley,Antonio Candreva,Albin Ekdal,Maya Yoshida,Fabio Quagliarella,Lorenzo Tonelli,Mikkel Damsgaard,Adrien Silva,Keita Baldé,Valerio Verre,Alex Ferrari,Gastón Ramírez,Manolo Gabbiadini,Antonino La Gumina,Mehdi Léris,Federico Bonazzoli,Ernesto Torregrossa,Karlo Letica,Vasco Regini,Fabio Depaoli,Kristoffer Askildsen,Antonio Palumbo,Lorenzo Avogadri,Leonardo Capezzi,Julian Chabot,Nik Prelec,Nicola Ravaglia,Kaique Rocha,Ronaldo Vieira
Pos.,G,ZG,LT,ZG,LT,ZG,LT,LT,ZG,AT,ZG,"LT,AT",LT,AT,"AT,LT",ZG,"AT,LT",AT,AT,"ZG,LT",AT,AT,G,ZG,LT,LT,LT,G,LT,ZG,AT,G,ZG,LT
Idade,23.0,25.0,24.0,28.0,24.0,27.0,33.0,31.0,31.0,37.0,30.0,20.0,31.0,25.0,26.0,26.0,29.0,28.0,24.0,22.0,23.0,28.0,23.0,29.0,23.0,19.0,23.0,18.0,25.0,22.0,19.0,31.0,19.0,22.0
MP,37,37,33,31,35,29,35,32,32,33,23,35,24,25,27,12,25,16,9,20,2,6,1,3,2,6,1,0,0,0,0,0,0,0
Inícios,37,37,29,29,29,28,28,26,25,25,21,18,18,12,12,11,10,10,4,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0
Min.,3.33,3.216,2.648,2.607,2.409,2.591,2.505,2.299,2.274,2.204,1.782,1.773,1.599,1.197,998.0,880.0,969.0,870.0,341.0,386.0,131.0,170.0,90.0,88.0,77.0,95.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,37.0,35.7,29.4,29.0,26.8,28.8,27.8,25.5,25.3,24.5,19.8,19.7,17.8,13.3,11.1,9.8,10.8,9.7,3.8,4.3,1.5,1.9,1.0,1.0,0.9,1.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,1.0,3.0,1.0,6.0,2.0,5.0,2.0,1.0,13.0,1.0,2.0,1.0,7.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,1.0,3.0,1.0,0.0,3.0,0.0,8.0,1.0,2.0,1.0,0.0,4.0,1.0,1.0,3.0,1.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,1.0,4.0,4.0,1.0,9.0,2.0,13.0,3.0,3.0,14.0,1.0,6.0,2.0,8.0,6.0,1.0,4.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,1.0,3.0,1.0,6.0,2.0,3.0,2.0,1.0,11.0,1.0,2.0,1.0,7.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,0.0,2.0,10.0,2.0,6.0,6.0,1.0,9.0,5.0,1.0,11.0,3.0,8.0,4.0,3.0,3.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,0.3,2.9,0.2,4.6,1.1,4.9,0.9,1.8,11.8,2.0,2.9,0.5,5.7,1.9,0.0,0.8,2.8,0.7,0.1,0.2,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,0.3,2.9,0.2,4.6,1.1,3.4,0.9,1.8,9.4,2.0,2.9,0.5,5.7,1.9,0.0,0.8,2.0,0.7,0.1,0.2,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.2,3.9,1.1,0.7,3.5,0.1,5.9,0.9,0.8,1.4,0.0,2.4,0.8,2.4,1.6,1.0,2.2,1.8,0.0,0.4,0.5,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,2.0,43.0,40.0,8.0,81.0,12.0,92.0,18.0,26.0,109.0,20.0,53.0,12.0,81.0,36.0,10.0,31.0,39.0,7.0,5.0,8.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,105.0,19.0,42.0,52.0,12.0,122.0,22.0,6.0,20.0,2.0,45.0,8.0,40.0,32.0,1.0,16.0,11.0,5.0,17.0,5.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,0.0,157.0,80.0,103.0,88.0,87.0,196.0,95.0,55.0,46.0,42.0,80.0,94.0,26.0,70.0,32.0,58.0,27.0,3.0,19.0,3.0,3.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,0.0,159.0,55.0,81.0,158.0,0.0,180.0,18.0,3.0,157.0,1.0,131.0,19.0,110.0,82.0,8.0,56.0,38.0,28.0,36.0,7.0,14.0,0.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,0.0,3.0,10.0,3.0,22.0,7.0,18.0,8.0,4.0,53.0,5.0,10.0,6.0,53.0,27.0,0.0,0.0,31.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,3.0,8.0,3.0,0.0,11.0,0.0,29.0,4.0,8.0,4.0,0.0,20.0,6.0,8.0,27.0,10.0,37.0,21.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
