Jogador,Antonio Candreva,Bartosz Bereszyński,Morten Thorsby,Francesco Caputo,Omar Colley,Emil Audero,Tommaso Augello,Alex Ferrari,Maya Yoshida,Fabio Quagliarella,Albin Ekdal,Manolo Gabbiadini,Tomás Rincón,Nicola Murru,Adrien Silva,Stefano Sensi,Abdelhamid Sabiri,Wladimiro Falcone,Kristoffer Askildsen,Mikkel Damsgaard,Valerio Verre,Radu Drăgușin,Ronaldo Vieira,Julian Chabot,Giangiacomo Magnani,Andrea Conti,Riccardo Ciervo,Fabio Depaoli,Ernesto Torregrossa,Simone Trimboli,Sebastian Giovinco,Vladyslav Supriaha,Gerard Yepes,Nicola Ravaglia,Giovanni Bonfanti,Lorenzo Di Stefano,Mohammed Ihattaren,Francesco Migliardi,Daniele Montevago,Ivan Saio,Marco Somma,Lorenzo Tonelli
Pos.,"LT,AT",ZG,LT,AT,ZG,G,ZG,ZG,ZG,AT,LT,"AT,LT",LT,ZG,LT,"LT,AT","LT,AT",G,LT,"LT,AT","LT,AT",ZG,LT,ZG,ZG,"ZG,LT","LT,ZG","LT,ZG",AT,LT,LT,AT,"LT,ZG",G,ZG,AT,LT,ZG,AT,G,ZG,ZG
Idade,34.0,29.0,25.0,33.0,28.0,24.0,26.0,27.0,32.0,38.0,32.0,29.0,33.0,26.0,32.0,25.0,24.0,26.0,20.0,21.0,27.0,19.0,23.0,23.0,25.0,27.0,19.0,24.0,29.0,19.0,34.0,21.0,18.0,32.0,18.0,18.0,19.0,18.0,18.0,19.0,19.0,31.0
MP,36,35,35,36,32,29,36,23,26,33,26,18,17,22,17,11,14,10,19,11,11,13,14,11,4,7,10,6,10,5,2,1,4,1,0,0,0,0,0,0,0,0
Inícios,36,35,35,31,31,29,25,20,19,19,19,15,13,13,12,10,9,9,7,6,6,4,4,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.119,2.946,2.943,2.79,2.745,2.56,2.395,1.643,1.823,1.664,1.637,1.14,1.166,983.0,1.083,754.0,893.0,855.0,754.0,578.0,420.0,620.0,495.0,490.0,239.0,234.0,227.0,112.0,116.0,65.0,39.0,22.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,34.7,32.7,32.7,31.0,30.5,28.4,26.6,18.3,20.3,18.5,18.2,12.7,13.0,10.9,12.0,8.4,9.9,9.5,8.4,6.4,4.7,6.9,5.5,5.4,2.7,2.6,2.5,1.2,1.3,0.7,0.4,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,7.0,0.0,3.0,11.0,0.0,0.0,1.0,1.0,2.0,4.0,1.0,6.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,10.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,17.0,3.0,4.0,14.0,0.0,0.0,2.0,1.0,5.0,6.0,1.0,8.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,6.0,0.0,3.0,11.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,6.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
