Jogador,Tommaso Augello,Tomás Rincón,Mehdi Léris,Manolo Gabbiadini,Filip Đuričić,Emil Audero,Bruno Amione,Harry Winks,Bram Nuytinck,Alessandro Zanoli,Omar Colley,Bartosz Bereszyński,Sam Lammers,Francesco Caputo,Abdelhamid Sabiri,Jeison Murillo,Alex Ferrari,Nicola Ravaglia,Mickaël Cuisance,Ronaldo Vieira,Koray Günter,Gonzalo Villar,Fabio Quagliarella,Valerio Verre,Nicola Murru,Martin Turk,Daniele Montevago,Marios Oikonomou,Gerard Yepes,Flavio Paoletti,Jesé,Ignacio Pussetto,Fabio Depaoli,Emirhan İlkhan,Lorenzo Malagrida,Manuel De Luca,Andrea Conti,Mihailo Ivanović,Samuel Ntanda,Telasco Segovia,Nikita Contini Baranovsky,Maxime Leverbe,Arttu Lötjönen,Elia Tantalocchi,Simone Trimboli,Lorenzo Villa,Federico Zorzi
Pos.,ZG,LT,"LT,ZG","AT,LT","LT,AT",G,ZG,LT,ZG,ZG,ZG,ZG,AT,AT,"LT,AT",ZG,ZG,G,LT,LT,ZG,LT,AT,LT,ZG,G,AT,ZG,LT,LT,AT,"LT,ZG","ZG,LT",LT,"LT,ZG","AT,LT",ZG,AT,LT,LT,G,ZG,ZG,G,LT,ZG,G
Idade,27.0,34.0,24.0,30.0,30.0,25.0,20.0,26.0,32.0,21.0,29.0,30.0,25.0,34.0,25.0,30.0,28.0,33.0,22.0,24.0,27.0,24.0,39.0,28.0,27.0,18.0,19.0,29.0,19.0,19.0,29.0,26.0,25.0,18.0,18.0,24.0,28.0,17.0,17.0,19.0,26.0,25.0,18.0,18.0,20.0,19.0,18.0
MP,37,34,32,35,32,25,26,20,19,22,16,15,19,15,18,20,12,9,12,16,10,15,23,18,20,4,6,6,5,12,11,5,3,8,6,2,1,1,1,1,0,0,0,0,0,0,0
Inícios,35,30,29,27,27,25,25,19,19,16,15,15,13,13,12,12,10,9,9,8,8,8,7,6,5,4,3,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.061,2.555,2.46,2.354,2.171,2.25,2.086,1.716,1.498,1.54,1.384,1.198,1.1,1.094,1.069,1.057,868.0,810.0,618.0,815.0,776.0,696.0,800.0,677.0,784.0,360.0,231.0,220.0,198.0,284.0,210.0,152.0,136.0,113.0,109.0,44.0,23.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,34.0,28.4,27.3,26.2,24.1,25.0,23.2,19.1,16.6,17.1,15.4,13.3,12.2,12.2,11.9,11.7,9.6,9.0,6.9,9.1,8.6,7.7,8.9,7.5,8.7,4.0,2.6,2.4,2.2,3.2,2.3,1.7,1.5,1.3,1.2,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,2.0,0.0,1.0,7.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,5.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,7.0,2.0,2.0,9.0,3.0,0.0,2.0,0.0,1.0,5.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,2.0,0.0,1.0,7.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
