Jogador,Filip Stankovic,Daniele Ghilardi,Gerard Yepes,Fabio Depaoli,Facundo González,Pajtim Kasami,Valerio Verre,Manuel De Luca,Simone Giordano,Nicola Murru,Petar Stojanović,Sebastiano Esposito,Fabio Borini,Antonio Barreca,Ebrima Darboe,Agustín Álvarez Martínez,Giovanni Leoni,Matteo Ricci,Estanis,Ronaldo Vieira,Cristiano Piccini,Leonardo Benedetti,Antonino La Gumina,Kristoffer Askildsen,Stefano Girelli,Alex Ferrari,Bartosz Bereszyński,Nicola Ravaglia,Marco Delle Monache,Samuel Ntanda,Simone Panada,Noha Lemina,Francesco Conti,Matteo Stoppa,Gabriele Alesi,Andrea Conti,Luigi Aquino,Hugo Buyla,Ardijan Chilafi,Lorenzo Constantino,Fabiano D'Amore,Andréa Dacourt,Lorenzo Di Stefano,Matteo Langella,Arttu Lötjönen,Lorenzo Malagrida,Daniele Montevago,Flavio Paoletti,Ilario Porzi,Simone Pozzato,Leonardi Simone,Elia Tantalocchi,Nicolò Uberti,Mattia Vitale
Pos.,G,ZG,LT,"ZG,LT",ZG,LT,"LT,AT",AT,"ZG,LT",ZG,"ZG,AT","LT,AT","AT,LT","ZG,AT",LT,"AT,LT",ZG,LT,AT,LT,ZG,LT,AT,"LT,AT","LT,AT",ZG,ZG,G,"LT,AT","LT,AT","LT,AT",LT,LT,AT,LT,ZG,ZG,ZG,LT,ZG,ZG,LT,AT,ZG,ZG,LT,AT,LT,LT,AT,AT,G,LT,LT
Idade,21.0,20.0,20.0,26.0,20.0,31.0,29.0,25.0,21.0,28.0,27.0,21.0,32.0,28.0,22.0,22.0,16.0,29.0,19.0,25.0,30.0,23.0,27.0,22.0,22.0,29.0,31.0,34.0,18.0,18.0,21.0,18.0,18.0,22.0,19.0,29.0,21.0,18.0,19.0,17.0,17.0,18.0,20.0,18.0,19.0,19.0,20.0,20.0,17.0,18.0,18.0,19.0,19.0,18.0
MP,37,37,34,32,28,27,25,32,28,23,28,22,22,22,14,14,12,19,15,13,10,14,12,18,17,3,1,1,6,9,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inícios,37,35,32,27,26,24,23,22,21,21,20,18,16,14,12,9,9,9,8,8,7,5,4,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.33,3.188,2.765,2.378,2.309,1.978,1.752,1.96,1.918,1.788,1.834,1.57,1.464,1.293,939.0,772.0,763.0,707.0,808.0,752.0,652.0,546.0,387.0,497.0,407.0,239.0,90.0,90.0,141.0,78.0,33.0,16.0,11.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,37.0,35.4,30.7,26.4,25.7,22.0,19.5,21.8,21.3,19.9,20.4,17.4,16.3,14.4,10.4,8.6,8.5,7.9,9.0,8.4,7.2,6.1,4.3,5.5,4.5,2.7,1.0,1.0,1.6,0.9,0.4,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,2.0,0.0,4.0,2.0,5.0,1.0,10.0,2.0,1.0,1.0,6.0,9.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,0.0,3.0,3.0,1.0,1.0,5.0,5.0,1.0,0.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,2.0,3.0,7.0,3.0,6.0,6.0,15.0,3.0,1.0,5.0,10.0,12.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,2.0,0.0,4.0,2.0,5.0,1.0,8.0,2.0,1.0,1.0,6.0,5.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,0.0,8.0,7.0,11.0,12.0,3.0,9.0,2.0,4.0,4.0,8.0,5.0,5.0,3.0,3.0,0.0,2.0,3.0,4.0,3.0,0.0,2.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,1.7,0.5,3.1,0.7,2.9,2.3,11.6,0.5,0.6,1.1,4.4,9.7,0.6,0.5,1.7,0.5,0.3,1.9,0.4,0.1,0.6,1.7,0.1,0.1,0.0,0.0,0.0,0.3,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,1.7,0.5,3.1,0.7,2.9,2.3,10.0,0.5,0.6,1.1,4.4,5.6,0.6,0.5,1.7,0.5,0.3,1.9,0.4,0.1,0.6,0.9,0.1,0.1,0.0,0.0,0.0,0.3,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.0,0.7,1.1,3.1,0.7,1.5,4.2,2.2,1.6,0.7,3.7,2.0,1.3,2.2,0.9,0.6,0.1,0.5,1.8,0.5,0.1,0.4,0.0,1.2,0.5,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,0.0,24.0,16.0,62.0,14.0,43.0,66.0,122.0,21.0,13.0,48.0,65.0,69.0,28.0,14.0,24.0,6.0,9.0,36.0,9.0,2.0,9.0,9.0,13.0,7.0,0.0,0.0,0.0,4.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,18.0,28.0,41.0,27.0,24.0,34.0,20.0,19.0,16.0,42.0,17.0,19.0,22.0,17.0,7.0,1.0,5.0,34.0,15.0,10.0,19.0,2.0,3.0,12.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,0.0,82.0,157.0,81.0,101.0,92.0,105.0,22.0,67.0,60.0,96.0,68.0,42.0,33.0,51.0,18.0,21.0,45.0,36.0,43.0,23.0,15.0,3.0,27.0,7.0,4.0,5.0,0.0,4.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,0.0,6.0,21.0,149.0,11.0,74.0,145.0,163.0,76.0,21.0,65.0,122.0,96.0,67.0,15.0,54.0,0.0,12.0,67.0,21.0,4.0,30.0,23.0,17.0,25.0,0.0,0.0,0.0,13.0,6.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,0.0,6.0,0.0,15.0,8.0,23.0,5.0,46.0,9.0,5.0,5.0,34.0,55.0,0.0,19.0,12.0,12.0,0.0,33.0,0.0,0.0,16.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,0.0,0.0,10.0,11.0,4.0,5.0,26.0,23.0,5.0,0.0,20.0,23.0,18.0,7.0,10.0,0.0,0.0,13.0,0.0,24.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,0.0,6.0,10.0,26.0,12.0,27.0,31.0,69.0,14.0,5.0,25.0,57.0,74.0,7.0,29.0,12.0,12.0,13.0,33.0,24.0,0.0,16.0,47.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,0.0,6.0,0.0,15.0,8.0,23.0,5.0,37.0,9.0,5.0,5.0,34.0,31.0,0.0,19.0,12.0,12.0,0.0,33.0,0.0,0.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,0.0,6.0,10.0,26.0,12.0,27.0,31.0,60.0,14.0,5.0,25.0,57.0,49.0,7.0,29.0,12.0,12.0,13.0,33.0,24.0,0.0,16.0,23.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,0.0,5.0,2.0,12.0,3.0,13.0,12.0,53.0,2.0,3.0,6.0,25.0,59.0,4.0,5.0,20.0,6.0,4.0,21.0,5.0,2.0,9.0,39.0,3.0,3.0,0.0,0.0,0.0,22.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
