Jogador,Andrea Consigli,Gian Marco Ferrari,Manuel Locatelli,Domenico Berardi,Filip Đuričić,Maxime Lopez,Vlad Chiricheș,Rogério,Hamed Junior Traorè,Jeremie Boga,Marlon,Francesco Caputo,Mert Müldür,Jeremy Toljan,Pedro Obiang,Giorgos Kyriakopoulos,Grégoire Defrel,Giacomo Raspadori,Kaan Ayhan,Francesco Magnanelli,Mehdi Bourabia,Lukáš Haraslín,Federico Peluso,Gianluca Pegolo,Brian Oddei,Nicolás Schiappacasse,Federico Ricci,Isaac Karamoko,Stefano Turati,Federico Artioli,Andrea Ghion,Alessandro Mercati,Stefano Piccinini,Matteo Saccani,Luigi Samele,Gianluca Scamacca,Raul Steau,Samuele Vitale
Pos.,G,ZG,LT,AT,"LT,AT",LT,ZG,ZG,"LT,AT","AT,LT",ZG,AT,ZG,ZG,LT,ZG,"LT,AT","AT,LT",ZG,LT,LT,"AT,LT",ZG,G,"AT,LT",LT,AT,ZG,G,LT,LT,LT,ZG,ZG,AT,AT,LT,G
Idade,33.0,28.0,22.0,25.0,28.0,22.0,30.0,22.0,20.0,23.0,24.0,32.0,21.0,25.0,28.0,24.0,29.0,20.0,25.0,35.0,28.0,24.0,36.0,39.0,17.0,21.0,26.0,18.0,18.0,19.0,20.0,18.0,17.0,19.0,18.0,21.0,19.0,17.0
MP,37,34,34,30,32,29,24,28,35,27,24,25,28,26,33,23,28,27,19,10,15,14,7,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0
Inícios,37,33,32,28,27,22,22,21,20,20,19,19,18,18,16,16,14,13,7,7,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.33,3.014,2.883,2.475,2.079,1.864,1.837,1.877,1.789,1.785,1.742,1.697,1.672,1.49,1.469,1.456,1.336,1.232,796.0,440.0,528.0,333.0,207.0,90.0,45.0,15.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,37.0,33.5,32.0,27.5,23.1,20.7,20.4,20.9,19.9,19.8,19.4,18.9,18.6,16.6,16.3,16.2,14.8,13.7,8.8,4.9,5.9,3.7,2.3,1.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,0.0,4.0,17.0,5.0,2.0,2.0,0.0,5.0,4.0,0.0,11.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,4.0,2.0,7.0,4.0,0.0,1.0,1.0,2.0,2.0,0.0,5.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,4.0,6.0,24.0,9.0,2.0,3.0,1.0,7.0,6.0,0.0,16.0,0.0,2.0,1.0,1.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,0.0,2.0,10.0,4.0,2.0,2.0,0.0,5.0,4.0,0.0,8.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
