Jogador,Andrea Consigli,Gian Marco Ferrari,Davide Frattesi,Maxime Lopez,Domenico Berardi,Giacomo Raspadori,Vlad Chiricheș,Gianluca Scamacca,Mert Müldür,Giorgos Kyriakopoulos,Hamed Junior Traorè,Rogério,Jeremy Toljan,Kaan Ayhan,Grégoire Defrel,Matheus Henrique,Filip Đuričić,Jeremie Boga,Abdou Harroui,Francesco Magnanelli,Francesco Caputo,Gianluca Pegolo,Ruan,Emil Ceide,Federico Peluso,Brian Oddei,Giacomo Satalino,Luigi Samele,Edoardo Goldaniga,Salim Abubakar,Christian Aucelli,Riccardo Ciervo,Lukáš Haraslín,Justin Kumi,Asan Mata,Yeferson Paz,Edoardo Pieragnolo,Filippo Romagna,Samuele Vitale,Gioele Zacchi
Pos.,G,ZG,LT,LT,AT,"LT,AT",ZG,AT,ZG,"ZG,AT","AT,LT",ZG,ZG,ZG,AT,LT,"LT,AT","AT,LT",LT,LT,AT,G,ZG,"AT,LT",ZG,AT,G,AT,"ZG,LT",LT,LT,AT,"AT,LT",LT,LT,ZG,ZG,ZG,G,G
Idade,34.0,29.0,21.0,23.0,26.0,21.0,31.0,22.0,22.0,25.0,21.0,23.0,26.0,26.0,30.0,23.0,29.0,24.0,23.0,36.0,33.0,40.0,22.0,19.0,37.0,18.0,22.0,19.0,27.0,18.0,19.0,19.0,25.0,17.0,17.0,19.0,18.0,24.0,18.0,18.0
MP,37,36,36,35,33,36,29,36,31,29,31,23,20,23,38,25,12,12,22,12,2,1,10,6,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0
Inícios,37,35,35,33,33,32,27,25,24,22,21,19,15,14,11,10,9,8,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.322,3.124,2.854,2.938,2.819,2.74,2.3,2.146,2.046,1.975,1.775,1.729,1.399,1.354,1.362,1.078,671.0,670.0,452.0,271.0,156.0,90.0,214.0,53.0,11.0,8.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,36.9,34.7,31.7,32.6,31.3,30.4,25.6,23.8,22.7,21.9,19.7,19.2,15.5,15.0,15.1,12.0,7.5,7.4,5.0,3.0,1.7,1.0,2.4,0.6,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,1.0,4.0,2.0,15.0,10.0,0.0,16.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,0.0,3.0,1.0,14.0,4.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,1.0,7.0,3.0,29.0,14.0,0.0,16.0,0.0,5.0,9.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,1.0,4.0,2.0,9.0,10.0,0.0,15.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
