Jogador,Andrea Consigli,Davide Frattesi,Rogério,Jeremy Toljan,Armand Lauriente,Martin Erlic,Maxime Lopez,Andrea Pinamonti,Gian Marco Ferrari,Domenico Berardi,Matheus Henrique,Ruan,Grégoire Defrel,Kristian Thorstvedt,Pedro Obiang,Giorgos Kyriakopoulos,Nedim Bajrami,Nadir Zortea,Hamed Junior Traorè,Abdou Harroui,Kaan Ayhan,Emil Ceide,Luca D'Andrea,Riccardo Marchizza,Gianluca Pegolo,Agustín Álvarez Martínez,Alessandro Russo,Mert Müldür,Janis Antiste,Filippo Romagna,Giacomo Raspadori,Kevin Bruno,Adrian Cannavaro,Edoardo Pieragnolo,Gioele Zacchi
Pos.,G,LT,ZG,ZG,AT,ZG,LT,AT,ZG,AT,LT,ZG,AT,LT,LT,"AT,ZG","AT,LT",ZG,"LT,AT",LT,ZG,AT,AT,ZG,G,"AT,LT",G,"AT,ZG",AT,ZG,AT,LT,ZG,ZG,G
Idade,35.0,22.0,24.0,27.0,23.0,24.0,24.0,23.0,30.0,27.0,24.0,23.0,31.0,23.0,30.0,26.0,23.0,23.0,22.0,24.0,27.0,20.0,17.0,24.0,41.0,21.0,21.0,23.0,19.0,25.0,22.0,17.0,18.0,19.0,19.0
MP,35,36,36,31,28,28,30,32,33,26,30,23,27,31,17,12,18,10,11,23,10,19,5,10,2,22,1,2,2,2,1,0,0,0,0
Inícios,35,35,34,29,27,26,25,25,24,22,21,21,13,13,11,9,7,7,6,5,5,5,5,3,2,1,1,1,0,0,0,0,0,0,0
Min.,3.15,2.873,2.996,2.672,2.175,2.33,2.296,2.161,2.223,1.866,1.947,1.711,1.167,1.136,876.0,766.0,819.0,657.0,591.0,647.0,545.0,515.0,316.0,283.0,180.0,368.0,90.0,13.0,52.0,46.0,45.0,0.0,0.0,0.0,0.0
90s,35.0,31.9,33.3,29.7,24.2,25.9,25.5,24.0,24.7,20.7,21.6,19.0,13.0,12.6,9.7,8.5,9.1,7.3,6.6,7.2,6.1,5.7,3.5,3.1,2.0,4.1,1.0,0.1,0.6,0.5,0.5,0.0,0.0,0.0,0.0
Gols,0.0,7.0,0.0,0.0,7.0,0.0,0.0,5.0,1.0,12.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,0.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,7.0,3.0,1.0,13.0,0.0,0.0,5.0,1.0,19.0,5.0,0.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,7.0,0.0,0.0,6.0,0.0,0.0,4.0,1.0,5.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,0.0,4.0,5.0,3.0,10.0,2.0,11.0,3.0,5.0,7.0,4.0,13.0,3.0,5.0,2.0,3.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,7.8,0.5,0.5,4.7,0.5,1.0,7.1,1.2,11.4,2.9,0.5,3.5,2.1,0.4,1.1,1.9,0.2,1.0,1.5,0.0,0.8,0.3,0.0,0.0,1.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,7.8,0.5,0.5,3.9,0.5,1.0,6.3,1.2,5.1,2.9,0.5,3.5,2.1,0.4,1.1,1.9,0.2,1.0,1.5,0.0,0.8,0.3,0.0,0.0,1.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.0,1.9,2.7,2.4,6.2,0.2,2.1,1.5,0.4,6.6,1.8,0.0,0.5,1.1,0.2,1.4,1.5,0.7,1.8,0.3,0.0,1.3,0.8,0.3,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,0.0,97.0,33.0,30.0,101.0,7.0,31.0,78.0,16.0,117.0,46.0,5.0,40.0,32.0,6.0,25.0,34.0,8.0,27.0,18.0,0.0,21.0,11.0,3.0,0.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,73.0,110.0,56.0,127.0,7.0,54.0,17.0,11.0,57.0,40.0,6.0,11.0,31.0,0.0,17.0,23.0,24.0,14.0,21.0,8.0,37.0,11.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PrgP,1.0,137.0,185.0,142.0,90.0,65.0,210.0,29.0,101.0,114.0,116.0,22.0,10.0,60.0,40.0,32.0,44.0,38.0,26.0,36.0,15.0,19.0,9.0,15.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
PrgR,0.0,94.0,115.0,99.0,263.0,1.0,40.0,166.0,4.0,213.0,68.0,3.0,75.0,54.0,6.0,46.0,96.0,25.0,36.0,32.0,0.0,47.0,29.0,15.0,0.0,19.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0
