Jogador,Andrea Pinamonti,Andrea Consigli,Armand Lauriente,Martin Erlic,Kristian Thorstvedt,Matheus Henrique,Gian Marco Ferrari,Jeremy Toljan,Daniel Boloca,Domenico Berardi,Marcus Pedersen,Ruan,Josh Doig,Nedim Bajrami,Matías Viña,Mattia Viti,Uroš Račić,Grégoire Defrel,Samu Castillejo,Cristian Volpato,Pedro Obiang,Luca Lipani,Marash Kumbulla,Alessio Cragno,Filippo Missori,Maxime Lopez,Samuele Mulattieri,Emil Ceide,Kevin Miranda,Justin Kumi,Salim Abubakar,Agustín Álvarez Martínez,Matteo Falasca,Seb Loeffen,Yeferson Paz,Gianluca Pegolo,Alessandro Scacchetti,Daniel Theiner
Pos.,AT,G,AT,ZG,LT,LT,ZG,ZG,LT,AT,ZG,ZG,ZG,"LT,AT",ZG,ZG,LT,"AT,LT","AT,LT","LT,AT",LT,LT,ZG,G,ZG,LT,"AT,LT","AT,LT",ZG,AT,LT,AT,ZG,ZG,ZG,G,G,G
Idade,24.0,36.0,24.0,25.0,24.0,25.0,31.0,28.0,24.0,28.0,23.0,24.0,21.0,24.0,25.0,21.0,25.0,32.0,28.0,19.0,31.0,18.0,23.0,29.0,19.0,25.0,22.0,21.0,20.0,19.0,20.0,22.0,19.0,19.0,21.0,42.0,18.0,19.0
MP,38,35,37,32,34,31,31,25,30,17,28,26,16,28,15,15,22,20,17,22,8,8,7,3,8,2,27,11,1,1,0,0,0,0,0,0,0,0
Inícios,37,35,35,31,30,27,25,24,23,17,16,16,15,15,13,12,8,7,6,5,5,5,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0
Min.,3.076,3.15,2.908,2.618,2.397,2.501,2.272,2.083,2.022,1.431,1.613,1.516,1.343,1.31,1.014,979.0,820.0,757.0,536.0,645.0,453.0,384.0,362.0,270.0,266.0,140.0,462.0,176.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,34.2,35.0,32.3,29.1,26.6,27.8,25.2,23.1,22.5,15.9,17.9,16.8,14.9,14.6,11.3,10.9,9.1,8.4,6.0,7.2,5.0,4.3,4.0,3.0,3.0,1.6,5.1,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,11.0,0.0,5.0,1.0,6.0,2.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,1.0,0.0,4.0,0.0,1.0,2.0,0.0,5.0,0.0,3.0,2.0,0.0,2.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,12.0,0.0,9.0,1.0,7.0,4.0,1.0,5.0,1.0,12.0,2.0,0.0,2.0,4.0,3.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,9.0,0.0,5.0,1.0,6.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,4.0,1.0,5.0,5.0,7.0,8.0,4.0,1.0,6.0,6.0,4.0,7.0,5.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,8.9,0.0,5.7,1.0,4.4,2.3,1.6,0.6,0.5,6.5,0.1,0.5,0.2,2.5,0.3,1.0,0.8,1.0,0.3,0.5,0.0,0.1,0.0,0.0,0.3,0.0,1.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,6.6,0.0,5.7,1.0,4.4,2.3,1.6,0.6,0.5,2.6,0.1,0.5,0.2,2.5,0.3,1.0,0.8,1.0,0.3,0.5,0.0,0.1,0.0,0.0,0.3,0.0,1.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,1.9,0.0,4.0,0.0,1.6,1.6,0.3,1.6,0.4,3.0,1.1,0.6,1.1,2.2,1.4,0.0,0.3,1.2,1.0,1.4,0.7,0.2,0.0,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,84.0,0.0,97.0,10.0,59.0,39.0,19.0,21.0,9.0,56.0,12.0,11.0,13.0,47.0,17.0,10.0,11.0,22.0,12.0,19.0,7.0,3.0,0.0,0.0,3.0,2.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
