Jogador,Emmanuel Gyasi,Ivan Provedel,Matteo Ricci,Giulio Maggiore,Claudio Terzi,M'Bala Nzola,Martin Erlic,Nahuel Estévez,Julian Chabot,Luca Vignali,Simone Bastoni,Riccardo Marchizza,Diego Farias,Tommaso Pobega,Kevin Agudelo,Ardian Ismajli,Salvador Ferrer,Daniele Verde,Lucien Agoume,Léo Sena,Roberto Piccoli,Jeroen Zoet,Riccardo Saponara,Andrey Galabinov,Jacopo Sala,Alessandro Deiola,Paolo Bartolomei,Gennaro Acampora,Juan Manuel Ramos,Cristian Dell'Orco,Rafael,Luca Mora,Elio Capradossi,Federico Mattiello,Giuseppe Mastinu,Nicolò Bertola,Axel Desjardins,Titas Krapikas,Niccolò Pietra
Pos.,AT,G,LT,LT,ZG,AT,ZG,LT,ZG,ZG,ZG,ZG,AT,LT,AT,ZG,ZG,AT,LT,LT,AT,G,"AT,LT",AT,ZG,LT,LT,"LT,AT",ZG,ZG,G,LT,ZG,ZG,AT,ZG,G,G,LT
Idade,26.0,26.0,26.0,22.0,36.0,23.0,22.0,24.0,22.0,24.0,23.0,22.0,30.0,21.0,21.0,23.0,22.0,24.0,18.0,24.0,19.0,29.0,28.0,31.0,28.0,24.0,30.0,26.0,23.0,26.0,38.0,32.0,24.0,25.0,28.0,17.0,20.0,21.0,16.0
MP,37,29,29,33,25,25,27,27,25,21,22,24,29,20,29,17,18,21,12,16,20,7,9,12,6,12,6,14,6,8,3,4,1,1,3,0,0,0,0
Inícios,32,29,26,26,22,21,19,19,19,19,19,17,17,17,14,14,14,12,9,8,8,7,5,4,4,4,3,2,2,2,2,1,1,0,0,0,0,0,0
Min.,2.851,2.61,2.229,2.214,1.869,1.896,1.798,1.768,1.655,1.59,1.522,1.561,1.514,1.229,1.356,1.297,1.19,980.0,800.0,885.0,703.0,603.0,389.0,430.0,375.0,360.0,320.0,441.0,294.0,262.0,207.0,113.0,90.0,36.0,32.0,0.0,0.0,0.0,0.0
90s,31.7,29.0,24.8,24.6,20.8,21.1,20.0,19.6,18.4,17.7,16.9,17.3,16.8,13.7,15.1,14.4,13.2,10.9,8.9,9.8,7.8,6.7,4.3,4.8,4.2,4.0,3.6,4.9,3.3,2.9,2.3,1.3,1.0,0.4,0.4,0.0,0.0,0.0,0.0
Gols,4.0,0.0,0.0,3.0,1.0,11.0,3.0,0.0,1.0,0.0,1.0,0.0,4.0,6.0,1.0,1.0,0.0,6.0,0.0,0.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,6.0,0.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,0.0,7.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,10.0,0.0,2.0,4.0,2.0,14.0,4.0,3.0,2.0,0.0,8.0,2.0,6.0,6.0,3.0,2.0,1.0,7.0,0.0,0.0,5.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,4.0,0.0,0.0,3.0,1.0,7.0,3.0,0.0,1.0,0.0,1.0,0.0,4.0,6.0,1.0,1.0,0.0,6.0,0.0,0.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
