Jogador,Dimitris Nikolaou,Emmanuel Gyasi,Giulio Maggiore,Ivan Provedel,Kelvin Amian,Martin Erlic,Simone Bastoni,Arkadiusz Reca,Jakub Kiwior,Daniele Verde,Rey Manaj,Viktor Kovalenko,Salvador Ferrer,Petko Hristov,Jacopo Sala,Kevin Agudelo,M'Bala Nzola,Janis Antiste,Jeroen Zoet,Dávid Strelec,Eddie Salcedo,Ebrima Colley,Mehdi Bourabia,Suf Podgoreanu,Luca Vignali,Samuel Mráz,Aurélien Nguiamba,Aimar Sher,Nicolò Bertola,Petar Zovko,Dennis Deloriè
Pos.,ZG,"AT,LT",LT,G,ZG,ZG,"LT,ZG",ZG,LT,"AT,LT",AT,LT,"ZG,LT",ZG,LT,"LT,AT",AT,AT,G,"AT,LT","LT,AT","AT,LT",LT,AT,"ZG,LT",AT,LT,LT,"LT,ZG",G,AT
Idade,22.0,27.0,23.0,27.0,23.0,23.0,24.0,26.0,21.0,25.0,24.0,25.0,23.0,22.0,29.0,22.0,24.0,18.0,30.0,20.0,19.0,21.0,29.0,19.0,25.0,24.0,22.0,18.0,18.0,19.0,16.0
MP,36,36,35,31,32,30,31,25,22,33,30,26,27,17,18,23,21,18,7,10,12,11,8,5,2,2,3,1,2,1,0
Inícios,36,35,33,31,31,30,26,22,21,21,19,16,14,13,13,12,10,9,7,7,5,3,2,1,1,0,0,0,0,0,0
Min.,3.24,3.035,2.819,2.761,2.646,2.576,2.288,1.772,1.964,1.957,1.768,1.325,1.495,1.248,880.0,1.237,1.068,796.0,630.0,502.0,429.0,394.0,282.0,113.0,85.0,54.0,51.0,45.0,35.0,29.0,0.0
90s,36.0,33.7,31.3,30.7,29.4,28.6,25.4,19.7,21.8,21.7,19.6,14.7,16.6,13.9,9.8,13.7,11.9,8.8,7.0,5.6,4.8,4.4,3.1,1.3,0.9,0.6,0.6,0.5,0.4,0.3,0.0
Gols,0.0,6.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,8.0,5.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,0.0,3.0,0.0,1.0,0.0,3.0,2.0,0.0,6.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,6.0,5.0,0.0,2.0,2.0,6.0,2.0,0.0,14.0,5.0,4.0,3.0,2.0,1.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,6.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,7.0,3.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,7.0,10.0,9.0,2.0,9.0,5.0,5.0,3.0,6.0,2.0,9.0,4.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
CrtV,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.1,5.6,4.0,0.0,2.6,3.0,1.5,0.3,0.4,5.4,7.5,0.3,0.2,0.2,0.1,2.6,2.4,1.4,0.0,0.5,1.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.1,5.6,4.0,0.0,2.6,3.0,1.5,0.3,0.4,3.9,5.1,0.3,0.2,0.2,0.1,2.6,2.4,1.4,0.0,0.5,1.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.2,1.4,2.4,0.0,1.3,0.4,4.4,2.1,0.9,4.9,1.2,1.4,1.3,0.5,0.4,0.9,1.4,0.2,0.0,0.9,0.2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,3.0,70.0,64.0,0.0,39.0,34.0,59.0,25.0,12.0,88.0,63.0,17.0,16.0,7.0,5.0,35.0,38.0,16.0,0.0,13.0,17.0,24.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,33.0,44.0,39.0,0.0,38.0,6.0,50.0,51.0,5.0,51.0,32.0,15.0,24.0,3.0,7.0,41.0,16.0,10.0,0.0,13.0,8.0,17.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
PrgP,92.0,42.0,120.0,2.0,64.0,32.0,117.0,57.0,48.0,71.0,29.0,60.0,67.0,25.0,41.0,46.0,13.0,7.0,0.0,15.0,17.0,13.0,8.0,2.0,2.0,1.0,5.0,3.0,0.0,0.0,0.0
PrgR,14.0,145.0,68.0,0.0,50.0,3.0,89.0,41.0,13.0,98.0,93.0,35.0,52.0,2.0,9.0,56.0,63.0,60.0,0.0,21.0,29.0,27.0,1.0,13.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0
Gols.1,0.0,18.0,6.0,0.0,3.0,7.0,12.0,0.0,0.0,37.0,25.0,7.0,0.0,7.0,10.0,22.0,17.0,11.0,0.0,18.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,0.0,0.0,10.0,0.0,3.0,0.0,12.0,10.0,0.0,28.0,0.0,20.0,18.0,7.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,0.0,18.0,16.0,0.0,7.0,7.0,24.0,10.0,0.0,64.0,25.0,27.0,18.0,14.0,10.0,29.0,25.0,11.0,0.0,18.0,0.0,0.0,32.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,0.0,18.0,6.0,0.0,3.0,7.0,12.0,0.0,0.0,32.0,15.0,7.0,0.0,7.0,10.0,22.0,17.0,11.0,0.0,18.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,0.0,18.0,16.0,0.0,7.0,7.0,24.0,10.0,0.0,60.0,15.0,27.0,18.0,14.0,10.0,29.0,25.0,11.0,0.0,18.0,0.0,0.0,32.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,0.0,17.0,13.0,0.0,9.0,10.0,6.0,2.0,2.0,25.0,38.0,2.0,1.0,1.0,1.0,19.0,20.0,16.0,0.0,8.0,31.0,20.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
xAG.1,1.0,4.0,8.0,0.0,4.0,1.0,17.0,11.0,4.0,23.0,6.0,10.0,8.0,4.0,4.0,6.0,12.0,2.0,0.0,15.0,5.0,34.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,1.0,21.0,21.0,0.0,13.0,12.0,23.0,13.0,6.0,48.0,44.0,12.0,9.0,5.0,5.0,25.0,32.0,18.0,0.0,24.0,35.0,54.0,2.0,4.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
npxG.1,0.0,17.0,13.0,0.0,9.0,10.0,6.0,2.0,2.0,18.0,26.0,2.0,1.0,1.0,1.0,19.0,20.0,16.0,0.0,8.0,31.0,20.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
npxG+xAG.1,1.0,21.0,20.0,0.0,13.0,12.0,23.0,13.0,6.0,40.0,32.0,12.0,9.0,5.0,5.0,25.0,32.0,18.0,0.0,24.0,35.0,54.0,2.0,4.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
Div,39.0,47.0,58.0,0.0,66.0,28.0,52.0,31.0,50.0,11.0,19.0,16.0,32.0,17.0,22.0,44.0,2.0,18.0,1.0,4.0,1.0,6.0,5.0,2.0,1.0,0.0,3.0,2.0,3.0,0.0,580.0
TklW,26.0,30.0,32.0,0.0,42.0,16.0,34.0,19.0,27.0,4.0,12.0,10.0,18.0,10.0,11.0,26.0,2.0,11.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,343.0
Terço Def,29.0,31.0,20.0,0.0,43.0,18.0,28.0,21.0,25.0,8.0,3.0,7.0,15.0,11.0,10.0,13.0,0.0,6.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,301.0
Terço Central,7.0,9.0,32.0,0.0,18.0,10.0,17.0,3.0,19.0,2.0,11.0,8.0,9.0,6.0,10.0,26.0,0.0,6.0,0.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,205.0
Terço de Ataque,3.0,7.0,6.0,0.0,5.0,0.0,7.0,7.0,6.0,1.0,5.0,1.0,8.0,0.0,2.0,5.0,2.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0
Div.1,22.0,21.0,31.0,0.0,30.0,10.0,21.0,20.0,26.0,9.0,6.0,9.0,12.0,10.0,13.0,7.0,1.0,5.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,266.0
Tent,34.0,41.0,77.0,1.0,41.0,18.0,65.0,30.0,57.0,20.0,26.0,21.0,25.0,16.0,30.0,20.0,6.0,13.0,1.0,9.0,1.0,7.0,11.0,4.0,3.0,0.0,3.0,1.0,4.0,0.0,585.0
Tkl%,647.0,512.0,403.0,0.0,732.0,556.0,323.0,667.0,456.0,450.0,231.0,429.0,480.0,625.0,433.0,350.0,167.0,385.0,1000.0,222.0,0.0,143.0,273.0,250.0,0.0,0.0,667.0,0.0,750.0,0.0,455.0
Perdido,12.0,20.0,46.0,1.0,11.0,8.0,44.0,10.0,31.0,11.0,20.0,12.0,13.0,6.0,17.0,13.0,5.0,8.0,0.0,7.0,1.0,6.0,8.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,319.0
Bloqueios,48.0,22.0,30.0,0.0,39.0,54.0,38.0,20.0,38.0,17.0,16.0,16.0,24.0,29.0,6.0,22.0,8.0,7.0,0.0,8.0,2.0,8.0,7.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,465.0
TC,24.0,4.0,5.0,0.0,21.0,39.0,11.0,7.0,15.0,2.0,0.0,3.0,12.0,23.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,176.0
Passe,24.0,18.0,25.0,0.0,18.0,15.0,27.0,13.0,23.0,15.0,16.0,13.0,12.0,6.0,6.0,22.0,8.0,6.0,0.0,7.0,1.0,8.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,289.0
Crts,49.0,16.0,29.0,2.0,32.0,28.0,30.0,32.0,40.0,18.0,4.0,13.0,18.0,19.0,14.0,8.0,0.0,4.0,0.0,2.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,372.0
Tkl+Int,88.0,63.0,87.0,2.0,98.0,56.0,82.0,63.0,90.0,29.0,23.0,29.0,50.0,36.0,36.0,52.0,2.0,22.0,1.0,6.0,1.0,9.0,8.0,3.0,2.0,0.0,3.0,5.0,6.0,0.0,952.0
Def,132.0,43.0,33.0,10.0,75.0,122.0,31.0,47.0,53.0,8.0,13.0,8.0,46.0,47.0,11.0,6.0,13.0,6.0,4.0,1.0,7.0,2.0,10.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,736.0
Erros,1.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
