Jogador,Mehdi Bourabia,Emmanuel Gyasi,Dimitris Nikolaou,Bartłomiej Drągowski,Ethan Ampadu,M'Bala Nzola,Kelvin Amian,Arkadiusz Reca,Kevin Agudelo,Albin Ekdal,Jakub Kiwior,Emil Holm,Simone Bastoni,Mattia Caldara,Przemysław Wiśniewski,Daniele Verde,Salvatore Esposito,Eldor Shomurodov,Viktor Kovalenko,Daniel Maldini,Petko Hristov,Jeroen Zoet,Szymon Żurkowski,Mikael Ellertsson,Dávid Strelec,Jacopo Sala,Tio Cipot,Salvador Ferrer,Petar Zovko,Federico Marchetti,João Moutinho,Raimonds Krollis,Leandro Sanca,Julius Beck,Nicolò Bertola,Pietro Candelari,Elio Capradossi,Leonardo Dido,Simone Giorgeschi,Emil Kornvig,Aurélien Nguiamba,Leonardo Pedicillo,Suf Podgoreanu,Aimar Sher
Pos.,LT,"AT,ZG",ZG,G,"ZG,LT",AT,ZG,ZG,"LT,AT",LT,ZG,ZG,"LT,ZG",ZG,ZG,"AT,LT",LT,AT,LT,"AT,LT",ZG,G,LT,"LT,ZG",AT,LT,"AT,LT",ZG,G,G,"ZG,AT","AT,ZG","AT,LT",LT,ZG,LT,ZG,G,ZG,LT,LT,LT,AT,LT
Idade,30.0,28.0,23.0,24.0,21.0,25.0,24.0,27.0,23.0,33.0,22.0,22.0,25.0,28.0,24.0,26.0,21.0,27.0,26.0,20.0,23.0,31.0,24.0,20.0,21.0,30.0,19.0,24.0,20.0,39.0,24.0,20.0,22.0,17.0,19.0,17.0,26.0,18.0,18.0,22.0,23.0,19.0,20.0,19.0
MP,37,35,36,34,31,31,30,30,34,31,17,20,19,20,14,25,15,15,18,18,9,5,10,11,7,6,8,5,1,1,4,4,4,1,0,0,0,0,0,0,0,0,0,0
Inícios,36,35,34,34,31,29,26,24,23,18,17,17,15,13,11,11,10,9,7,4,4,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,2.771,2.81,2.958,2.946,2.639,2.653,2.372,2.173,2.131,1.734,1.443,1.393,1.189,1.253,1.003,998.0,971.0,809.0,548.0,628.0,365.0,334.0,427.0,171.0,169.0,112.0,139.0,136.0,74.0,66.0,58.0,36.0,32.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,30.8,31.2,32.9,32.7,29.3,29.5,26.4,24.1,23.7,19.3,16.0,15.5,13.2,13.9,11.1,11.1,10.8,9.0,6.1,7.0,4.1,3.7,4.7,1.9,1.9,1.2,1.5,1.5,0.8,0.7,0.6,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,1.0,2.0,1.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,3.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,4.0,2.0,1.0,1.0,1.0,15.0,1.0,2.0,1.0,2.0,0.0,2.0,6.0,0.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,1.0,2.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
