Jogador,Salvatore Esposito,Dimitris Nikolaou,Jeroen Zoet,Salvatore Elia,Daniele Verde,Filippo Bandinelli,Francesco Cassata,Kelvin Amian,Francesco Esposito,Petko Hristov,Aleš Matějů,Mirko Antonucci,Ádám Nagy,Rachid Kouda,Bartłomiej Drągowski,Nicolò Bertola,Arkadiusz Reca,Lukas Mühl,Diego Falcinelli,Luca Moro,Luca Vignali,Szymon Żurkowski,Giuseppe Di Serio,Filip Jagiełło,Iva Gelashvili,Albin Ekdal,Pietro Candelari,Tio Cipot,João Moutinho,Niccolò Pietra,Gregorio Tanco,Simone Bastoni,Laurens Serpe,Raimonds Krollis,Przemysław Wiśniewski,Giovanni Corradini,Gian Crespi,Christian Cugnata,Roko Jureškin,Oskar Lachowicz,Diego Mascardi,Petar Zovko
Pos.,LT,ZG,G,ZG,"LT,AT",LT,"LT,ZG",ZG,AT,ZG,ZG,"AT,LT",LT,"LT,AT",G,ZG,ZG,ZG,AT,"AT,LT","ZG,LT",LT,AT,"LT,AT",ZG,LT,"ZG,LT","AT,LT",ZG,"LT,ZG",ZG,ZG,ZG,"AT,LT",ZG,LT,G,ZG,LT,LT,G,G
Idade,22.0,24.0,32.0,24.0,27.0,28.0,26.0,25.0,18.0,24.0,27.0,24.0,28.0,21.0,25.0,20.0,28.0,26.0,32.0,22.0,27.0,25.0,22.0,25.0,22.0,34.0,18.0,20.0,25.0,19.0,23.0,26.0,22.0,21.0,25.0,20.0,22.0,18.0,22.0,18.0,16.0,21.0
MP,37,34,25,32,29,33,31,19,38,19,17,19,16,26,13,16,14,14,16,26,17,16,10,13,9,9,8,9,5,5,5,2,1,9,1,0,0,0,0,0,0,0
Inícios,34,34,25,24,23,23,21,19,17,17,17,16,15,14,13,13,13,13,13,10,7,7,7,6,6,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Min.,3.12,2.95,2.25,2.169,1.972,1.957,1.819,1.71,1.786,1.603,1.485,1.255,1.315,1.349,1.17,1.129,1.059,1.044,945.0,1.008,752.0,636.0,623.0,527.0,408.0,332.0,181.0,204.0,174.0,150.0,142.0,104.0,90.0,130.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,34.7,32.8,25.0,24.1,21.9,21.7,20.2,19.0,19.8,17.8,16.5,13.9,14.6,15.0,13.0,12.5,11.8,11.6,10.5,11.2,8.4,7.1,6.9,5.9,4.5,3.7,2.0,2.3,1.9,1.7,1.6,1.2,1.0,1.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,4.0,1.0,0.0,4.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,5.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,6.0,1.0,0.0,3.0,7.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,4.0,0.0,1.0,4.0,1.0,2.0,4.0,2.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,4.0,1.0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
