Jogador,Gleison Bremer,Andrea Belotti,Tomás Rincón,Salvatore Sirigu,Saša Lukić,Armando Izzo,Lyanco,Cristian Ansaldi,Wilfried Singo,Karol Linetty,Simone Verdi,Rolando Mandragora,Mërgim Vojvoda,Nicolas Nkoulou,Simone Zaza,Ricardo Rodríguez,Antonio Sanabria,Soualiho Meïté,Alessandro Buongiorno,Nicola Murru,Amer Gojak,Vanja Milinković-Savić,Federico Bonazzoli,Daniele Baselli,Álex Berenguer,Jacopo Segre,Samir Ujkani,Simone Edera,Vincenzo Millico,Christian Celesia,Iago Falque,Erick Ferigra,Jean Freddi Greco,Krisztofer Horváth,Ibrahim Karamoko,Altin Kryeziu,Nicola Rauti,Antonio Rosati,Razvan Sava,Samuele Vianni
Pos.,ZG,AT,LT,G,LT,ZG,ZG,"ZG,AT",ZG,LT,"LT,AT",LT,"ZG,AT",ZG,AT,ZG,AT,LT,ZG,ZG,"LT,AT",G,AT,LT,LT,LT,G,"ZG,LT","AT,LT",LT,"AT,LT",ZG,LT,LT,LT,LT,AT,G,G,AT
Idade,23.0,26.0,32.0,33.0,23.0,28.0,23.0,33.0,19.0,25.0,28.0,23.0,25.0,30.0,29.0,27.0,24.0,26.0,21.0,25.0,23.0,23.0,23.0,28.0,25.0,23.0,32.0,23.0,19.0,18.0,30.0,21.0,19.0,18.0,19.0,18.0,20.0,37.0,18.0,19.0
MP,33,35,36,32,32,25,23,31,28,27,33,17,24,18,29,16,14,14,12,14,15,5,20,15,2,9,1,2,3,0,0,0,0,0,0,0,0,0,0,0
Inícios,33,33,33,32,24,24,21,20,20,20,17,17,17,16,15,15,12,11,9,7,6,5,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,2.935,2.888,2.846,2.88,2.106,2.004,1.959,1.947,1.854,1.832,1.62,1.525,1.359,1.358,1.491,1.238,978.0,920.0,858.0,569.0,475.0,450.0,564.0,396.0,131.0,191.0,90.0,52.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,32.6,32.1,31.6,32.0,23.4,22.3,21.8,21.6,20.6,20.4,18.0,16.9,15.1,15.1,16.6,13.8,10.9,10.2,9.5,6.3,5.3,5.0,6.3,4.4,1.5,2.1,1.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,5.0,13.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,6.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,6.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,5.0,19.0,2.0,0.0,3.0,2.0,0.0,7.0,3.0,1.0,6.0,4.0,4.0,1.0,6.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,5.0,9.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,6.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,2.0,4.0,10.0,0.0,4.0,3.0,8.0,1.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0,1.0,2.0,0.0,4.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
