Jogador,Saša Lukić,Gleison Bremer,Wilfried Singo,Ricardo Rodríguez,Vanja Milinković-Savić,Josip Brekalo,Tommaso Pobega,Mërgim Vojvoda,Antonio Sanabria,Koffi Djidji,Dennis Praet,Ola Aina,Andrea Belotti,Rolando Mandragora,David Zima,Marko Pjaca,Alessandro Buongiorno,Karol Linetty,Etrit Berisha,Samuele Ricci,Armando Izzo,Cristian Ansaldi,Pietro Pellegri,Tomás Rincón,Demba Seck,Luca Gemello,Daniele Baselli,Simone Zaza,Ben Lhassine Kone,Magnus Warming,Simone Verdi,Samuele Angori,Andrei Anton,Simone Edera,Mohamed Fares,Matt Garbett,Alberto Milan,Nicola Rauti,Jacopo Segre,Denis Stojković
Pos.,LT,ZG,ZG,ZG,G,LT,LT,ZG,AT,ZG,LT,ZG,AT,LT,ZG,LT,ZG,"LT,AT",G,LT,ZG,ZG,AT,LT,"LT,AT",G,"LT,AT","AT,ZG",LT,"LT,AT","LT,AT",ZG,ZG,LT,"ZG,AT",LT,G,AT,LT,AT
Idade,24.0,24.0,20.0,28.0,24.0,23.0,22.0,26.0,25.0,28.0,27.0,24.0,27.0,24.0,20.0,26.0,22.0,26.0,32.0,19.0,29.0,34.0,20.0,33.0,20.0,21.0,29.0,30.0,21.0,21.0,29.0,17.0,17.0,24.0,25.0,19.0,18.0,21.0,24.0,18.0
MP,35,33,35,34,27,32,33,29,29,25,23,21,22,21,20,24,23,16,10,12,11,19,9,7,6,1,6,10,1,4,3,0,0,0,0,0,0,0,0,0
Inícios,34,33,32,28,27,26,24,22,22,21,17,17,16,16,13,13,12,11,10,9,6,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,2.982,2.89,2.607,2.473,2.43,2.286,2.24,1.976,1.803,1.735,1.539,1.437,1.371,1.319,1.314,1.149,1.181,896.0,900.0,722.0,526.0,691.0,216.0,163.0,146.0,90.0,150.0,129.0,81.0,58.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,33.1,32.1,29.0,27.5,27.0,25.4,24.9,22.0,20.0,19.3,17.1,16.0,15.2,14.7,14.6,12.8,13.1,10.0,10.0,8.0,5.8,7.7,2.4,1.8,1.6,1.0,1.7,1.4,0.9,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,5.0,3.0,3.0,0.0,0.0,7.0,4.0,0.0,6.0,0.0,2.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,4.0,1.0,4.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,9.0,4.0,7.0,1.0,0.0,9.0,6.0,3.0,7.0,0.0,4.0,0.0,9.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,2.0,3.0,3.0,0.0,0.0,7.0,4.0,0.0,6.0,0.0,2.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
