Jogador,Vanja Milinković-Savić,Alessandro Buongiorno,Ricardo Rodríguez,Nikola Vlašić,Antonio Sanabria,Perr Schuurs,Koffi Djidji,Aleksei Miranchuk,Wilfried Singo,Samuele Ricci,Karol Linetty,Mërgim Vojvoda,Nemanja Radonjić,Valentino Lazaro,Saša Lukić,Ivan Ilić,Ola Aina,Yann Karamoh,Demba Seck,Pietro Pellegri,David Zima,Andrew Gravillon,Michel Ndary Adopo,Gvidas Gineitis,Emirhan İlkhan,Brian Bayeye,Jacopo Segre,Ronaldo Vieira,Etrit Berisha,Aaron Ciammaglichella,Ali Dembélé,Simone Edera,Matteo Fiorenza,Matt Garbett,Luca Gemello,Caumenan N'Guessan,Sebastian Wade
Pos.,G,ZG,ZG,"LT,AT",AT,ZG,ZG,LT,ZG,LT,LT,ZG,"LT,AT",ZG,LT,LT,ZG,"LT,AT","LT,AT",AT,ZG,ZG,"LT,ZG",LT,LT,ZG,ZG,LT,G,LT,ZG,LT,G,LT,G,ZG,ZG
Idade,25.0,23.0,29.0,24.0,26.0,22.0,29.0,26.0,21.0,20.0,27.0,27.0,26.0,26.0,25.0,21.0,25.0,24.0,21.0,21.0,21.0,24.0,22.0,18.0,18.0,22.0,25.0,24.0,33.0,17.0,18.0,25.0,19.0,20.0,22.0,18.0,19.0
MP,38,34,35,34,33,30,34,29,31,28,32,29,28,23,16,14,19,21,19,18,9,7,9,3,4,2,1,2,0,0,0,0,0,0,0,0,0
Inícios,38,30,30,29,28,28,26,24,24,23,22,18,16,15,13,13,9,7,6,4,4,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Min.,3.42,2.721,2.67,2.728,2.433,2.326,2.424,2.089,2.046,2.07,1.886,1.719,1.461,1.373,1.195,1.177,876.0,716.0,519.0,465.0,406.0,312.0,264.0,136.0,87.0,64.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,38.0,30.2,29.7,30.3,27.0,25.8,26.9,23.2,22.7,23.0,21.0,19.1,16.2,15.3,13.3,13.1,9.7,8.0,5.8,5.2,4.5,3.5,2.9,1.5,1.0,0.7,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,1.0,0.0,5.0,12.0,0.0,1.0,4.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,2.0,0.0,6.0,4.0,2.0,0.0,5.0,1.0,1.0,0.0,5.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,3.0,0.0,11.0,16.0,2.0,1.0,9.0,3.0,3.0,1.0,5.0,4.0,3.0,2.0,4.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,1.0,0.0,5.0,11.0,0.0,1.0,4.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
