Jogador,Vanja Milinković-Savić,Raoul Bellanova,Duván Zapata,Ricardo Rodríguez,Nikola Vlašić,Alessandro Buongiorno,Samuele Ricci,Adrien Tameze,Ivan Ilić,Antonio Sanabria,Valentino Lazaro,Karol Linetty,Mërgim Vojvoda,Adam Masina,Perr Schuurs,Koffi Djidji,Pietro Pellegri,Matteo Lovato,Demba Seck,Gvidas Gineitis,Nemanja Radonjić,David Okereke,Saba Sazonov,Luca Gemello,Brandon Soppy,Yann Karamoh,David Zima,Zanos Savva,Alessandro Dellavalle,Simone Verdi,Jacopo Antolini,Brian Bayeye,Côme Bianay Balcot,Matteo Brezzo,Aaron Ciammaglichella,Ali Dembélé,Emirhan İlkhan,Uroš Kabić,Vimoj Muntu Wa Mungu,Caumenan N'Guessan,Eybi Nije,Pietro Passador,Mihai Popa,Jonathan Silva
Pos.,G,ZG,AT,ZG,"LT,AT",ZG,LT,"ZG,LT",LT,"AT,LT","ZG,LT",LT,ZG,ZG,ZG,ZG,AT,ZG,LT,LT,"LT,AT","AT,LT",ZG,G,ZG,"LT,AT",ZG,"ZG,LT",ZG,AT,LT,ZG,ZG,G,LT,ZG,LT,LT,ZG,ZG,AT,G,G,LT
Idade,26.0,23.0,32.0,30.0,25.0,24.0,21.0,29.0,22.0,27.0,27.0,28.0,28.0,29.0,23.0,30.0,22.0,23.0,22.0,19.0,27.0,25.0,21.0,23.0,21.0,25.0,22.0,17.0,19.0,31.0,19.0,23.0,18.0,18.0,18.0,19.0,19.0,19.0,18.0,19.0,18.0,20.0,22.0,19.0
MP,36,37,35,35,33,29,32,29,31,35,35,28,28,16,9,13,24,13,9,14,10,9,12,2,5,10,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inícios,36,36,34,34,30,29,28,25,25,23,21,19,15,10,9,8,7,6,5,4,4,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.24,3.046,2.88,2.772,2.608,2.527,2.395,2.146,2.098,2.133,1.994,1.858,1.379,1.024,770.0,759.0,756.0,544.0,425.0,538.0,374.0,252.0,356.0,180.0,178.0,162.0,91.0,28.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,36.0,33.8,32.0,30.8,29.0,28.1,26.6,23.8,23.3,23.7,22.2,20.6,15.3,11.4,8.6,8.4,8.4,6.0,4.7,6.0,4.2,2.8,4.0,2.0,2.0,1.8,1.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,1.0,12.0,1.0,3.0,3.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,7.0,4.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,8.0,16.0,3.0,5.0,3.0,3.0,2.0,5.0,5.0,4.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,1.0,12.0,1.0,3.0,3.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
