Jogador,Rodrigo De Paul,Juan Musso,Roberto Pereyra,Rodrigo Becão,Jens Stryger Larsen,Kevin Bonifazi,Tolgay Arslan,Samir Santos,Walace,Marvin Zeegelaar,Bram Nuytinck,Nahuel Molina,Stefano Okaka,Kevin Lasagna,Sebastien De Maio,Ignacio Pussetto,Fernando Llorente,Gerard Deulofeu,Jean-Victor Makengo,Ilija Nestorovski,Hidde ter Avest,Fernando Forestieri,Thomas Ouwejan,Rolando Mandragora,Mamadou Coulibaly,Nícolas Andrade,Jayden Braaf,Simone Scuffet,Martin Palumbo,Mato Jajalo,Petar Mićin,Ryder Matos,Manuel Gasparini,Marco Ballarini,Salah Basha,Thomas Battistella,Matteo Carnelos,Edoardo Piana,Sebastian Prödl,Alessandro Rigo,William Troost-Ekong
Pos.,LT,G,"LT,AT",ZG,ZG,ZG,LT,ZG,LT,ZG,ZG,ZG,AT,AT,ZG,AT,AT,"AT,LT",LT,"AT,LT",ZG,"AT,LT",ZG,LT,LT,G,AT,G,LT,LT,LT,LT,G,LT,AT,LT,G,G,"ZG,LT",LT,"ZG,LT"
Idade,26.0,26.0,29.0,24.0,29.0,24.0,29.0,25.0,25.0,29.0,30.0,22.0,30.0,27.0,33.0,24.0,35.0,26.0,22.0,30.0,23.0,30.0,23.0,23.0,21.0,32.0,17.0,24.0,18.0,32.0,21.0,27.0,18.0,19.0,17.0,19.0,17.0,16.0,33.0,18.0,26.0
MP,36,35,34,35,33,30,30,30,30,24,20,29,22,17,15,11,14,13,17,22,6,19,15,10,3,2,4,1,3,1,1,1,1,0,0,0,0,0,0,0,0
Inícios,36,35,34,32,30,28,25,24,23,23,19,18,17,12,9,9,8,7,5,4,4,3,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.201,3.147,2.925,2.78,2.638,2.469,1.818,2.216,2.055,1.74,1.641,1.828,1.489,1.103,853.0,754.0,713.0,598.0,522.0,701.0,351.0,552.0,413.0,398.0,184.0,180.0,116.0,90.0,63.0,34.0,15.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,35.6,35.0,32.5,30.9,29.3,27.4,20.2,24.6,22.8,19.3,18.2,20.3,16.5,12.3,9.5,8.4,7.9,6.6,5.8,7.8,3.9,6.1,4.6,4.4,2.0,2.0,1.3,1.0,0.7,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,9.0,0.0,5.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,1.0,2.0,4.0,2.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,9.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,18.0,0.0,12.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,1.0,7.0,5.0,3.0,0.0,4.0,1.0,2.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,6.0,0.0,4.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,1.0,2.0,4.0,2.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
