Jogador,Marco Silvestri,Rodrigo Becão,Walace,Nahuel Molina,Gerard Deulofeu,Destiny Udogie,Jean-Victor Makengo,Beto,Bram Nuytinck,Roberto Pereyra,Tolgay Arslan,Nehuén Pérez,Samir Santos,Pablo Marí,Ignacio Pussetto,Isaac Success,Jens Stryger Larsen,Brandon Soppy,Marvin Zeegelaar,Mato Jajalo,Daniele Padelli,Sebastien De Maio,Lazar Samardzic,Ilija Nestorovski,Fernando Forestieri,Simone Pafundi,Stefano Okaka,Filip Benković,Riccardo Pinzi,Marco Ballarini,Matteo Carnelos,Riccardo Castagnaviz,Nicolò Cocetta,Lorenzo Codutti,Mattia Damiani,Jacopo Fedrizzi,Manuel Gasparini,Cristo González,Simone Ianesi,Raed Jaziri,Martin Palumbo,Edoardo Piana,Antonio Santurro,Simone Scuffet
Pos.,G,ZG,LT,ZG,"AT,LT",ZG,LT,AT,ZG,"LT,AT",LT,ZG,ZG,ZG,"AT,LT","AT,LT",ZG,"ZG,LT",ZG,LT,G,ZG,"LT,AT",AT,"AT,LT",AT,AT,"ZG,AT",AT,LT,G,LT,ZG,ZG,LT,LT,G,"AT,LT",AT,LT,LT,G,G,G
Idade,30.0,25.0,26.0,23.0,27.0,18.0,23.0,23.0,31.0,30.0,30.0,21.0,26.0,27.0,25.0,25.0,30.0,19.0,30.0,33.0,35.0,34.0,19.0,31.0,31.0,15.0,31.0,24.0,17.0,20.0,18.0,18.0,17.0,18.0,18.0,18.0,19.0,23.0,19.0,18.0,19.0,17.0,29.0,25.0
MP,35,35,36,35,34,35,33,28,27,24,30,20,17,15,28,22,11,28,14,22,3,2,22,7,4,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inícios,35,35,33,31,31,29,26,24,23,22,22,19,17,15,11,11,8,7,6,6,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.15,3.13,2.97,2.638,2.616,2.477,2.351,2.173,2.033,1.794,1.658,1.692,1.421,1.341,1.204,911.0,684.0,777.0,643.0,629.0,270.0,180.0,490.0,188.0,58.0,23.0,22.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,35.0,34.8,33.0,29.3,29.1,27.5,26.1,24.1,22.6,19.9,18.4,18.8,15.8,14.9,13.4,10.1,7.6,8.6,7.1,7.0,3.0,2.0,5.4,2.1,0.6,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,2.0,1.0,7.0,13.0,5.0,1.0,11.0,1.0,3.0,1.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,1.0,0.0,2.0,5.0,3.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,4.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,3.0,1.0,9.0,18.0,8.0,4.0,11.0,1.0,8.0,1.0,1.0,0.0,2.0,8.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,2.0,1.0,7.0,12.0,5.0,1.0,11.0,1.0,2.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
