Jogador,Marco Silvestri,Walace,Roberto Pereyra,Nehuén Pérez,Jaka Bijol,Destiny Udogie,Rodrigo Becão,Sandi Lovrić,Beto,Isaac Success,Lazar Samardzic,Kingsley Ehizibue,Gerard Deulofeu,Tolgay Arslan,Jean-Victor Makengo,Enzo Ebosse,Adam Masina,Ilija Nestorovski,Florian Thauvin,Festy Ebosele,Marvin Zeegelaar,Bram Nuytinck,Brandon Soppy,Axel Guessand,James Abankwah,Simone Pafundi,Mato Jajalo,Vivaldo Semedo,Nicolò Cocetta,Leonardo Buta,Matteo Bassi,Filip Benković,Riccardo Castagnaviz,Alberto Centis,Daniele Padelli,Martin Palumbo,Edoardo Piana,Diego Russo
Pos.,G,LT,"ZG,LT",ZG,ZG,ZG,ZG,LT,AT,AT,LT,ZG,AT,LT,LT,ZG,ZG,"AT,LT","AT,LT",ZG,ZG,ZG,ZG,ZG,ZG,"LT,AT",LT,"AT,LT",ZG,ZG,LT,ZG,LT,LT,G,LT,G,LT
Idade,31.0,27.0,31.0,22.0,23.0,19.0,26.0,24.0,24.0,26.0,20.0,27.0,28.0,31.0,24.0,23.0,28.0,32.0,29.0,19.0,31.0,32.0,20.0,17.0,18.0,16.0,34.0,17.0,18.0,20.0,18.0,25.0,19.0,18.0,36.0,20.0,18.0,17.0
MP,38,37,34,34,32,33,28,37,33,30,37,27,16,36,16,20,14,21,16,17,7,6,1,1,2,8,3,5,1,2,0,0,0,0,0,0,0,0
Inícios,38,37,33,33,32,31,28,28,23,21,19,16,15,12,11,9,8,5,5,4,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.42,3.19,2.82,2.818,2.728,2.704,2.484,2.335,2.129,1.815,1.848,1.535,1.211,1.211,805.0,930.0,789.0,638.0,546.0,411.0,353.0,385.0,90.0,79.0,63.0,85.0,63.0,36.0,32.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,38.0,35.4,31.3,31.3,30.3,30.0,27.6,25.9,23.7,20.2,20.5,17.1,13.5,13.5,8.9,10.3,8.8,7.1,6.1,4.6,3.9,4.3,1.0,0.9,0.7,0.9,0.7,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,0.0,5.0,2.0,3.0,3.0,2.0,5.0,10.0,1.0,5.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,1.0,7.0,0.0,2.0,4.0,1.0,6.0,1.0,6.0,4.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,1.0,12.0,2.0,5.0,7.0,3.0,11.0,11.0,7.0,9.0,2.0,8.0,1.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,0.0,5.0,2.0,3.0,3.0,2.0,5.0,9.0,1.0,5.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,0.0,6.0,7.0,7.0,10.0,5.0,11.0,4.0,2.0,4.0,1.0,7.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,1.1,4.7,1.0,2.2,2.9,1.5,4.8,10.9,3.3,2.4,2.0,5.1,2.2,0.4,0.1,0.1,1.6,0.7,0.2,0.2,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,1.1,3.9,1.0,2.2,2.9,1.5,4.8,10.1,3.3,2.4,2.0,5.1,2.2,0.4,0.1,0.1,1.6,0.7,0.2,0.2,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.0,1.7,5.5,0.5,1.6,4.2,0.6,3.2,2.6,4.0,3.7,0.9,4.4,1.6,0.5,0.0,0.2,0.5,1.1,0.9,0.2,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,0.0,28.0,95.0,15.0,39.0,71.0,21.0,80.0,126.0,73.0,61.0,30.0,95.0,38.0,8.0,1.0,3.0,21.0,17.0,11.0,4.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,47.0,66.0,23.0,3.0,109.0,19.0,42.0,25.0,37.0,34.0,29.0,72.0,45.0,18.0,11.0,4.0,1.0,19.0,27.0,6.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,0.0,170.0,143.0,101.0,66.0,106.0,98.0,105.0,13.0,53.0,100.0,40.0,82.0,77.0,36.0,51.0,24.0,19.0,24.0,17.0,9.0,4.0,4.0,0.0,0.0,6.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,0.0,36.0,186.0,26.0,7.0,155.0,48.0,90.0,121.0,200.0,65.0,69.0,118.0,37.0,31.0,20.0,6.0,29.0,49.0,22.0,11.0,0.0,4.0,0.0,0.0,9.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
