Jogador,Walace,Nehuén Pérez,Lorenzo Lucca,Lazar Samardzic,Hassane Kamara,Thomas Kristensen,Jaka Bijol,Roberto Pereyra,Sandi Lovrić,Maduka Okoye,Martín Payero,Festy Ebosele,Florian Thauvin,João Ferreira,Marco Silvestri,Kingsley Ehizibue,Jordan Zemura,Christian Kabasele,Isaac Success,Lautaro Gianetti,Oier Zarraga,Brenner,Beto,Adam Masina,Keinan Davis,Axel Guessand,Domingos Quina,Vivaldo Semedo,Marley Aké,Enzo Ebosse,Simone Pafundi,Antonio Tikvić,Daniele Padelli,James Abankwah,Etienne Camara,Sekou Diawara,Samuel John Nwachukwu,Joel Malusà,Federico Mosca,Matteo Palma,David Pejičić,Edoardo Piana,Bor Žunec
Pos.,LT,ZG,AT,LT,ZG,ZG,ZG,"AT,LT",LT,G,LT,ZG,AT,ZG,G,ZG,ZG,ZG,"AT,LT",ZG,LT,"LT,AT",AT,ZG,"AT,LT",ZG,LT,AT,AT,ZG,LT,ZG,G,ZG,LT,AT,ZG,G,G,ZG,LT,G,LT
Idade,28.0,23.0,22.0,21.0,29.0,21.0,24.0,32.0,25.0,23.0,24.0,20.0,30.0,22.0,32.0,28.0,23.0,32.0,27.0,29.0,24.0,23.0,25.0,29.0,25.0,18.0,23.0,18.0,22.0,24.0,17.0,19.0,37.0,19.0,20.0,19.0,17.0,16.0,17.0,15.0,16.0,19.0,18.0
MP,37,36,37,34,35,26,24,27,29,21,29,31,29,35,17,23,27,13,27,7,15,8,1,4,8,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Inícios,37,36,30,28,27,23,23,22,21,21,21,20,19,18,17,11,10,10,9,7,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.238,3.238,2.592,2.372,2.225,2.096,2.084,1.858,1.987,1.89,1.796,1.7,1.71,1.822,1.53,955.0,1.038,861.0,880.0,630.0,404.0,189.0,74.0,64.0,186.0,45.0,13.0,12.0,10.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,36.0,36.0,28.8,26.4,24.7,23.3,23.2,20.6,22.1,21.0,20.0,18.9,19.0,20.2,17.0,10.6,11.5,9.6,9.8,7.0,4.5,2.1,0.8,0.7,2.1,0.5,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,2.0,0.0,8.0,6.0,1.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,0.0,4.0,2.0,1.0,1.0,0.0,3.0,3.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,2.0,0.0,12.0,8.0,2.0,1.0,0.0,7.0,4.0,0.0,4.0,0.0,8.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,2.0,0.0,8.0,5.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,7.0,9.0,6.0,3.0,4.0,4.0,4.0,6.0,1.0,2.0,6.0,6.0,4.0,9.0,0.0,4.0,1.0,5.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.8,1.3,7.8,3.5,1.9,1.1,1.9,3.5,3.5,0.0,1.5,0.8,4.7,0.1,0.0,1.3,0.8,1.2,2.7,0.4,0.6,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.8,1.3,7.8,2.8,1.9,1.1,1.9,2.7,3.5,0.0,1.5,0.8,3.9,0.1,0.0,1.3,0.8,1.2,1.9,0.4,0.6,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,1.1,0.2,1.6,5.5,2.8,0.4,0.2,1.9,3.3,0.0,1.1,1.8,4.2,0.9,0.0,0.7,0.4,0.5,1.1,0.1,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,19.0,15.0,94.0,83.0,48.0,15.0,21.0,47.0,68.0,0.0,26.0,26.0,82.0,10.0,0.0,20.0,12.0,16.0,30.0,4.0,6.0,4.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,37.0,28.0,10.0,65.0,61.0,20.0,5.0,39.0,52.0,0.0,47.0,67.0,71.0,19.0,0.0,18.0,23.0,7.0,15.0,2.0,5.0,6.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,127.0,119.0,18.0,83.0,81.0,47.0,42.0,70.0,80.0,0.0,71.0,35.0,69.0,61.0,0.0,15.0,32.0,22.0,17.0,4.0,8.0,8.0,2.0,1.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,22.0,24.0,118.0,91.0,93.0,3.0,1.0,82.0,80.0,0.0,64.0,98.0,97.0,45.0,0.0,44.0,52.0,1.0,51.0,0.0,10.0,10.0,5.0,3.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,6.0,0.0,28.0,23.0,4.0,0.0,0.0,19.0,5.0,0.0,10.0,0.0,26.0,0.0,0.0,0.0,9.0,10.0,10.0,14.0,45.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
