Jogador,Pietro Ceccaroni,Pasquale Mazzocchi,Luca Fiordilino,Francesco Forte,Mattia Aramu,Youssef Maleh,Marco Modolo,Luca Lezzerini,Dennis Johnsen,Anthony Taugourdeau,Gian Filippo Felicioli,Francesco Di Mariano,Antonio Vacca,Domen Črnigoj,Alberto Pomini,Cristian Molinaro,Michael Svoboda,Alessandro Capello,Giacomo Ricci,Sebastiano Esposito,Riccardo Bocalon,Gabriele Ferrarini,Niki Mäenpää,Jacopo Dezi,Bjarki Bjarkason,Michele Cremonesi,Harvey St Clair,Óttar Magnús Karlsson,Domenico Rossi,Antonio Marino,Lauri Ala-Myllymäki,Salvatore Carotenuto,Roman Lazar,Samuel Marchesan,Riccardo Pigozzo,Jordan Poha,Filippo Serena,Leonardo Tonello
Pos.,ZG,ZG,LT,AT,"LT,AT",LT,ZG,G,"AT,LT",LT,ZG,"AT,LT",LT,LT,G,ZG,ZG,"LT,AT",ZG,"AT,LT",AT,ZG,G,"LT,AT","LT,ZG","ZG,AT","LT,ZG","AT,LT",LT,"ZG,AT",LT,G,G,LT,G,ZG,LT,G
Idade,24.0,25.0,24.0,27.0,25.0,21.0,31.0,25.0,22.0,31.0,22.0,24.0,30.0,24.0,39.0,37.0,21.0,24.0,23.0,18.0,31.0,20.0,35.0,28.0,20.0,32.0,21.0,23.0,20.0,31.0,23.0,17.0,16.0,17.0,20.0,17.0,20.0,17.0
MP,37,34,37,33,34,29,27,21,32,26,24,31,14,30,12,16,19,14,11,18,27,14,6,12,9,5,7,7,4,2,0,0,0,0,0,0,0,0
Inícios,37,30,30,30,30,27,26,21,20,19,19,16,13,12,11,11,10,10,9,8,7,7,6,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0
Min.,3.33,2.733,2.669,2.56,2.437,2.303,2.224,1.824,1.841,1.715,1.698,1.705,844.0,1.243,1.056,941.0,963.0,774.0,763.0,792.0,786.0,721.0,540.0,326.0,285.0,227.0,130.0,113.0,54.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,37.0,30.4,29.7,28.4,27.1,25.6,24.7,20.3,20.5,19.1,18.9,18.9,9.4,13.8,11.7,10.5,10.7,8.6,8.5,8.8,8.7,8.0,6.0,3.6,3.2,2.5,1.4,1.3,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,3.0,1.0,4.0,14.0,9.0,4.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,2.0,1.0,1.0,1.0,6.0,4.0,0.0,0.0,3.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,5.0,2.0,5.0,15.0,15.0,8.0,1.0,0.0,6.0,2.0,0.0,8.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,3.0,1.0,4.0,12.0,6.0,4.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,4.0,7.0,9.0,3.0,5.0,8.0,6.0,1.0,4.0,3.0,3.0,5.0,4.0,4.0,0.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,1.7,0.6,4.3,13.1,8.4,4.1,1.9,0.0,7.0,0.8,0.1,4.5,0.0,1.4,0.0,0.0,0.8,0.9,0.1,0.8,5.4,0.1,0.0,0.1,0.6,0.1,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,1.7,0.6,4.3,11.5,6.0,4.1,1.9,0.0,7.0,0.8,0.1,4.5,0.0,1.4,0.0,0.0,0.8,0.9,0.1,0.8,5.4,0.1,0.0,0.1,0.6,0.1,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,2.0,2.3,2.3,1.8,6.1,3.4,0.6,0.0,2.8,2.2,1.1,3.1,0.3,1.8,0.0,1.2,0.2,1.4,0.7,1.9,0.2,0.4,0.0,0.8,0.3,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,37.0,29.0,65.0,134.0,122.0,75.0,26.0,0.0,97.0,30.0,12.0,76.0,3.0,32.0,0.0,12.0,11.0,23.0,8.0,27.0,56.0,5.0,0.0,9.0,9.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,48.0,123.0,32.0,26.0,47.0,57.0,19.0,0.0,72.0,16.0,65.0,62.0,8.0,31.0,0.0,26.0,6.0,20.0,27.0,23.0,5.0,22.0,0.0,4.0,8.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,131.0,111.0,181.0,42.0,69.0,100.0,42.0,0.0,40.0,112.0,76.0,36.0,56.0,58.0,0.0,56.0,37.0,46.0,55.0,17.0,13.0,30.0,0.0,14.0,20.0,8.0,12.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,6.0,117.0,51.0,127.0,166.0,102.0,3.0,0.0,174.0,19.0,61.0,164.0,3.0,64.0,0.0,30.0,3.0,53.0,35.0,68.0,48.0,37.0,0.0,5.0,7.0,0.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,8.0,3.0,13.0,49.0,33.0,16.0,4.0,0.0,15.0,0.0,0.0,11.0,0.0,22.0,0.0,0.0,9.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,5.0,3.0,3.0,4.0,22.0,16.0,0.0,0.0,15.0,10.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,11.0,0.0,12.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,14.0,7.0,17.0,53.0,55.0,31.0,4.0,0.0,29.0,10.0,0.0,42.0,0.0,22.0,0.0,0.0,9.0,12.0,0.0,34.0,23.0,12.0,0.0,55.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,8.0,3.0,13.0,42.0,22.0,16.0,4.0,0.0,15.0,0.0,0.0,11.0,0.0,22.0,0.0,0.0,9.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,14.0,7.0,17.0,46.0,44.0,31.0,4.0,0.0,29.0,10.0,0.0,42.0,0.0,22.0,0.0,0.0,9.0,12.0,0.0,34.0,23.0,12.0,0.0,55.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,5.0,2.0,14.0,46.0,31.0,16.0,8.0,0.0,34.0,4.0,1.0,23.0,0.0,10.0,0.0,0.0,8.0,10.0,1.0,9.0,62.0,2.0,0.0,4.0,18.0,3.0,4.0,65.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,5.0,8.0,8.0,6.0,23.0,13.0,2.0,0.0,14.0,11.0,6.0,16.0,3.0,13.0,0.0,11.0,2.0,17.0,8.0,22.0,2.0,5.0,0.0,21.0,9.0,3.0,0.0,7.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,10.0,10.0,22.0,53.0,54.0,29.0,10.0,0.0,48.0,16.0,6.0,40.0,3.0,23.0,0.0,12.0,10.0,27.0,9.0,30.0,64.0,6.0,0.0,25.0,27.0,6.0,4.0,72.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
