Jogador,Pietro Ceccaroni,Mattia Caldara,Ethan Ampadu,Mattia Aramu,Ridgeciano Haps,David Okereke,Thomas Henry,Gianluca Busio,Domen Črnigoj,Dennis Johnsen,Niki Mäenpää,Sergio Romero,Pasquale Mazzocchi,Antonio Vacca,Sofian Kiyine,Michael Svoboda,Mickaël Cuisance,Tyronne Ebuehi,Aleš Matějů,Tanner Tessmann,Cristian Molinaro,Luca Lezzerini,Luca Fiordilino,Dor Peretz,Francesco Forte,Marco Modolo,Nani,Daan Heymans,Maximilian Ullmann,David Schnegg,Jean-Pierre Nsame,Francesco Di Mariano,Arnór Sigurðsson,Hilmir Mikaelsson,Jacopo Dezi,Nicolas Galazzi,Issa Bah,Bjarki Bjarkason,Patrick Leal,Bruno,Jakob Franz Pálsson,Roman Lazar,Óttar Magnús Karlsson,Morré Makadji,Filippo Mozzo,Filippo Neri,Damiano Pecile,Melvyn Remy
Pos.,ZG,ZG,"LT,ZG","LT,AT",ZG,"AT,LT",AT,LT,LT,"AT,LT",G,G,ZG,LT,"LT,AT",ZG,LT,ZG,ZG,LT,ZG,G,LT,LT,AT,ZG,"LT,AT","LT,AT",ZG,ZG,AT,AT,"AT,LT",AT,LT,LT,AT,LT,AT,G,ZG,G,AT,ZG,LT,G,LT,ZG
Idade,25.0,27.0,20.0,26.0,28.0,23.0,26.0,19.0,25.0,23.0,36.0,34.0,26.0,31.0,23.0,22.0,21.0,25.0,25.0,19.0,38.0,26.0,25.0,26.0,28.0,32.0,34.0,22.0,25.0,22.0,28.0,25.0,22.0,17.0,29.0,20.0,19.0,21.0,18.0,23.0,18.0,17.0,24.0,17.0,17.0,18.0,19.0,18.0
MP,35,31,29,32,25,32,33,29,34,26,17,16,18,21,26,18,13,19,9,20,8,6,15,18,12,6,10,7,5,4,11,1,9,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Inícios,35,30,26,25,24,24,23,23,22,17,16,16,15,15,14,13,13,12,9,6,6,6,5,4,4,4,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.122,2.704,2.282,2.1,2.056,2.053,2.115,1.95,1.881,1.445,1.485,1.44,1.243,1.064,1.239,1.236,918.0,1.138,727.0,680.0,548.0,495.0,661.0,585.0,422.0,392.0,287.0,256.0,246.0,142.0,245.0,62.0,183.0,18.0,16.0,16.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,34.7,30.0,25.4,23.3,22.8,22.8,23.5,21.7,20.9,16.1,16.5,16.0,13.8,11.8,13.8,13.7,10.2,12.6,8.1,7.6,6.1,5.5,7.3,6.5,4.7,4.4,3.2,2.8,2.7,1.6,2.7,0.7,2.0,0.2,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,2.0,1.0,0.0,7.0,1.0,7.0,9.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,1.0,0.0,3.0,5.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,3.0,1.0,3.0,12.0,2.0,7.0,11.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,2.0,1.0,0.0,4.0,1.0,7.0,9.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,7.0,9.0,13.0,6.0,6.0,5.0,6.0,8.0,3.0,2.0,1.0,2.0,3.0,5.0,8.0,2.0,2.0,1.0,3.0,1.0,0.0,2.0,2.0,2.0,3.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,2.3,1.8,0.3,6.8,0.5,5.0,6.8,0.9,2.2,2.3,0.0,0.0,0.3,0.0,1.5,1.1,0.6,0.6,0.3,0.6,0.0,0.0,0.2,0.8,1.0,0.2,0.1,0.1,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,2.3,1.8,0.3,3.6,0.5,5.0,6.8,0.9,2.2,2.3,0.0,0.0,0.3,0.0,0.6,1.1,0.6,0.6,0.3,0.6,0.0,0.0,0.2,0.8,1.0,0.2,0.1,0.1,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.8,0.1,1.6,4.5,0.6,1.0,3.8,1.4,0.8,2.8,0.3,0.0,0.4,0.3,2.0,0.0,1.3,0.4,1.1,0.1,0.5,0.0,0.4,0.1,0.6,0.0,0.7,0.2,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,31.0,19.0,19.0,81.0,10.0,60.0,106.0,24.0,30.0,51.0,3.0,0.0,8.0,3.0,26.0,11.0,19.0,10.0,14.0,8.0,5.0,0.0,6.0,9.0,16.0,2.0,7.0,3.0,0.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,37.0,15.0,26.0,39.0,30.0,60.0,20.0,26.0,34.0,36.0,0.0,0.0,44.0,9.0,48.0,11.0,10.0,29.0,9.0,12.0,13.0,0.0,3.0,3.0,3.0,1.0,6.0,2.0,0.0,2.0,4.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,87.0,63.0,112.0,79.0,59.0,43.0,31.0,79.0,69.0,31.0,0.0,1.0,33.0,56.0,62.0,42.0,37.0,29.0,20.0,23.0,34.0,0.0,23.0,18.0,7.0,4.0,12.0,9.0,6.0,1.0,8.0,0.0,4.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,12.0,5.0,23.0,117.0,69.0,137.0,99.0,44.0,66.0,140.0,0.0,0.0,43.0,7.0,44.0,1.0,22.0,52.0,37.0,18.0,16.0,0.0,10.0,7.0,16.0,0.0,22.0,13.0,4.0,5.0,18.0,7.0,16.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,6.0,3.0,0.0,30.0,4.0,31.0,38.0,5.0,14.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,3.0,0.0,12.0,21.0,4.0,0.0,9.0,5.0,5.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,16.0,0.0,0.0,15.0,0.0,0.0,31.0,35.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,9.0,3.0,12.0,51.0,9.0,31.0,47.0,9.0,19.0,19.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,12.0,0.0,16.0,0.0,0.0,15.0,21.0,0.0,31.0,35.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,6.0,3.0,0.0,17.0,4.0,31.0,38.0,5.0,14.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,9.0,3.0,12.0,39.0,9.0,31.0,47.0,9.0,19.0,19.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,12.0,0.0,16.0,0.0,0.0,15.0,21.0,0.0,31.0,35.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,7.0,6.0,1.0,29.0,2.0,22.0,29.0,4.0,11.0,14.0,0.0,0.0,3.0,0.0,11.0,8.0,6.0,5.0,3.0,9.0,0.0,0.0,3.0,13.0,23.0,5.0,2.0,4.0,0.0,0.0,26.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,2.0,0.0,6.0,19.0,3.0,5.0,16.0,7.0,4.0,17.0,2.0,0.0,3.0,3.0,15.0,0.0,13.0,3.0,14.0,2.0,8.0,0.0,6.0,2.0,14.0,0.0,20.0,8.0,0.0,1.0,24.0,8.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
