Jogador,Joel Pohjanpalo,Jesse Joronen,Francesco Zampano,Tanner Tessmann,Antonio Candela,Luca Ceppitelli,Pietro Ceccaroni,Dennis Johnsen,Przemysław Wiśniewski,Michael Svoboda,Andrea Carboni,Magnus Kofod Andersen,Ridgeciano Haps,Mikael Ellertsson,Gianluca Busio,Domen Črnigoj,Nicholas Pierini,Petko Hristov,Luca Fiordilino,Mickaël Cuisance,Andrija Novakovich,Tommaso Milanese,Marco Modolo,Mato Jajalo,Denis Cheryshev,Maximilian Ullmann,Bruno,Aaron Connolly,Niki Mäenpää,Riccardo Ciervo,Jack De Vries,Facundo Zabala,Marin Šverko,Andrea Beghetto,Harvey St Clair,Jay Enem,Bjarki Bjarkason,Lorenzo Busato,Mirza Hasanbegović,Kristófer Jónsson,Patrick Leal,Hilmir Mikaelsson,Filippo Neri,Afonso Peixoto,Daishawn Redan,Melvyn Remy,Tommaso Sperandio
Pos.,AT,G,ZG,LT,ZG,ZG,ZG,"AT,ZG",ZG,ZG,ZG,LT,ZG,LT,LT,LT,"AT,ZG",ZG,LT,LT,AT,LT,ZG,LT,"AT,LT",ZG,G,AT,G,"ZG,AT",AT,ZG,ZG,ZG,LT,ZG,LT,ZG,AT,LT,LT,AT,G,ZG,AT,ZG,G
Idade,27.0,29.0,28.0,20.0,22.0,32.0,26.0,24.0,24.0,23.0,21.0,23.0,29.0,20.0,20.0,26.0,23.0,23.0,26.0,22.0,25.0,20.0,33.0,34.0,31.0,26.0,24.0,22.0,37.0,20.0,20.0,23.0,24.0,27.0,23.0,19.0,22.0,18.0,21.0,19.0,19.0,18.0,19.0,19.0,21.0,19.0,17.0
MP,37,34,33,32,29,22,20,33,19,21,16,26,19,16,28,18,35,11,14,13,35,10,10,7,23,5,3,5,2,6,3,1,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0
Inícios,35,34,32,27,25,21,20,19,18,17,16,15,14,14,13,13,12,11,10,9,8,6,6,6,5,3,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,2.886,3.049,2.797,2.436,2.037,1.779,1.785,1.757,1.621,1.67,1.353,1.174,1.245,1.047,1.368,1.097,1.196,935.0,886.0,760.0,1.062,558.0,528.0,453.0,808.0,259.0,188.0,188.0,180.0,182.0,103.0,45.0,81.0,39.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,32.1,33.9,31.1,27.1,22.6,19.8,19.8,19.5,18.0,18.6,15.0,13.0,13.8,11.6,15.2,12.2,13.3,10.4,9.8,8.4,11.8,6.2,5.9,5.0,9.0,2.9,2.1,2.1,2.0,2.0,1.1,0.5,0.9,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,19.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,3.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,7.0,0.0,3.0,2.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,26.0,0.0,4.0,5.0,5.0,0.0,1.0,8.0,0.0,0.0,4.0,4.0,1.0,3.0,0.0,4.0,4.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,16.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,3.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,2.0,3.0,6.0,7.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,1.0,7.0,3.0,2.0,2.0,1.0,5.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,16.7,0.0,1.0,2.5,1.4,1.6,1.4,3.8,0.3,0.4,1.8,1.0,0.8,2.2,0.9,2.2,2.6,0.2,0.4,0.7,3.9,1.2,0.4,0.1,2.5,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,13.5,0.0,1.0,2.5,1.4,1.6,1.4,3.8,0.3,0.4,1.8,1.0,0.8,2.2,0.9,2.2,2.6,0.2,0.4,0.7,3.9,1.2,0.4,0.1,2.5,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,4.2,0.0,5.4,2.3,2.3,0.7,0.4,4.8,0.2,0.4,0.3,1.7,0.8,0.8,0.5,0.8,1.5,0.1,0.3,0.9,0.9,0.4,0.0,1.0,2.1,0.4,0.0,0.5,0.0,0.6,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,177.0,0.0,64.0,48.0,36.0,24.0,18.0,87.0,5.0,8.0,21.0,28.0,16.0,30.0,14.0,31.0,41.0,3.0,7.0,16.0,48.0,16.0,4.0,10.0,46.0,5.0,0.0,10.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,24.0,0.0,113.0,33.0,64.0,9.0,44.0,51.0,16.0,24.0,16.0,16.0,34.0,21.0,26.0,26.0,15.0,11.0,2.0,5.0,20.0,9.0,1.0,15.0,19.0,3.0,0.0,3.0,0.0,9.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,52.0,0.0,133.0,146.0,60.0,71.0,121.0,59.0,74.0,59.0,81.0,61.0,57.0,39.0,74.0,64.0,56.0,41.0,68.0,38.0,26.0,32.0,17.0,44.0,40.0,12.0,0.0,2.0,0.0,10.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,149.0,0.0,217.0,61.0,169.0,4.0,19.0,167.0,9.0,5.0,17.0,31.0,102.0,38.0,34.0,96.0,95.0,6.0,4.0,52.0,80.0,21.0,1.0,6.0,78.0,23.0,0.0,12.0,0.0,16.0,5.0,2.0,3.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,59.0,0.0,3.0,11.0,9.0,0.0,5.0,15.0,0.0,0.0,20.0,0.0,7.0,17.0,0.0,25.0,30.0,0.0,0.0,24.0,8.0,16.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,22.0,0.0,10.0,7.0,13.0,0.0,0.0,26.0,0.0,0.0,7.0,31.0,0.0,9.0,0.0,8.0,0.0,0.0,0.0,24.0,8.0,0.0,0.0,0.0,22.0,35.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,81.0,0.0,13.0,18.0,22.0,0.0,5.0,41.0,0.0,0.0,27.0,31.0,7.0,26.0,0.0,33.0,30.0,0.0,0.0,47.0,17.0,16.0,0.0,0.0,67.0,35.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,50.0,0.0,3.0,11.0,9.0,0.0,5.0,15.0,0.0,0.0,20.0,0.0,7.0,17.0,0.0,25.0,30.0,0.0,0.0,24.0,8.0,16.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,72.0,0.0,13.0,18.0,22.0,0.0,5.0,41.0,0.0,0.0,27.0,31.0,7.0,26.0,0.0,33.0,30.0,0.0,0.0,47.0,17.0,16.0,0.0,0.0,67.0,35.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
