Jogador,Gianluca Busio,Tanner Tessmann,Antonio Candela,Joel Pohjanpalo,Jesse Joronen,Marin Šverko,Francesco Zampano,Giorgio Altare,Nicholas Pierini,Jay Idzes,Mikael Ellertsson,Christian Gytkjær,Michael Svoboda,Dennis Johnsen,Bjarki Bjarkason,Nunzio Lella,Bruno,Magnus Kofod Andersen,Marco Modolo,Mato Jajalo,Marco Olivieri,Denis Cheryshev,Ali Dembélé,Maximilian Ullmann,Lorenzo Busato,Lorenzo Da Pozzo,Luca Fiordilino,Matteo Grandi,Hilmir Mikaelsson,Gregor Pürg,Federico Tavernaro
Pos.,LT,LT,ZG,AT,G,ZG,ZG,ZG,"AT,LT",ZG,"LT,ZG",AT,ZG,"AT,LT","LT,ZG",LT,G,LT,ZG,LT,"AT,LT","AT,LT","ZG,LT",ZG,ZG,AT,LT,G,AT,G,LT
Idade,21.0,21.0,23.0,28.0,30.0,25.0,29.0,24.0,24.0,23.0,21.0,33.0,24.0,25.0,23.0,23.0,25.0,24.0,34.0,35.0,24.0,32.0,19.0,27.0,19.0,18.0,27.0,30.0,19.0,17.0,18.0
MP,37,37,36,33,29,33,35,32,38,25,35,38,19,21,32,20,9,20,10,14,20,9,14,4,2,0,0,0,0,0,0
Inícios,36,35,35,32,29,29,28,25,25,23,20,18,15,15,12,12,9,9,7,2,1,1,0,0,0,0,0,0,0,0,0
Min.,2.936,3.145,2.977,2.702,2.61,2.479,2.508,2.257,2.114,2.096,1.68,1.789,1.446,1.367,1.389,815.0,810.0,728.0,571.0,307.0,337.0,168.0,171.0,115.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,32.6,34.9,33.1,30.0,29.0,27.5,27.9,25.1,23.5,23.3,18.7,19.9,16.1,15.2,15.4,9.1,9.0,8.1,6.3,3.4,3.7,1.9,1.9,1.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Gols,7.0,6.0,0.0,22.0,0.0,0.0,1.0,4.0,5.0,3.0,2.0,11.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,4.0,3.0,3.0,4.0,0.0,0.0,4.0,3.0,5.0,0.0,3.0,2.0,4.0,5.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,11.0,9.0,3.0,26.0,0.0,0.0,5.0,7.0,10.0,3.0,5.0,13.0,4.0,8.0,4.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,7.0,6.0,0.0,18.0,0.0,0.0,1.0,4.0,5.0,3.0,2.0,10.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,3.0,7.0,5.0,2.0,1.0,9.0,7.0,7.0,1.0,1.0,5.0,1.0,1.0,4.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,5.7,4.0,1.8,16.9,0.0,0.5,2.4,2.4,4.2,1.6,1.8,7.5,0.6,3.6,2.1,1.6,0.0,0.4,0.1,0.0,1.5,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
