Em casa,Visitante,Classe
Fiorentina,Torino,1.0
Hellas Verona,Roma,1.0
Parma,Napoli,2.0
Genoa,Crotone,1.0
Sassuolo,Cagliari,0.0
Juventus,Sampdoria,1.0
Milan,Bologna,1.0
Torino,Atalanta,2.0
Sampdoria,Benevento,2.0
Cagliari,Lazio,2.0
Inter,Fiorentina,1.0
Spezia,Sassuolo,2.0
Hellas Verona,Udinese,1.0
Crotone,Milan,2.0
Napoli,Genoa,1.0
Roma,Juventus,0.0
Bologna,Parma,1.0
Benevento,Inter,2.0
Udinese,Spezia,2.0
Lazio,Atalanta,2.0
Fiorentina,Sampdoria,2.0
Sassuolo,Crotone,1.0
Udinese,Roma,2.0
Atalanta,Cagliari,1.0
Benevento,Bologna,1.0
Parma,Hellas Verona,1.0
Lazio,Inter,0.0
Milan,Spezia,1.0
Napoli,Atalanta,1.0
Sampdoria,Lazio,1.0
Inter,Milan,2.0
Crotone,Juventus,0.0
Bologna,Sassuolo,2.0
Torino,Cagliari,2.0
Spezia,Fiorentina,0.0
Udinese,Parma,1.0
Roma,Benevento,1.0
Hellas Verona,Genoa,0.0
Sassuolo,Torino,0.0
Atalanta,Sampdoria,2.0
Genoa,Inter,2.0
Lazio,Bologna,1.0
Cagliari,Crotone,1.0
Parma,Spezia,0.0
Benevento,Napoli,2.0
Fiorentina,Udinese,1.0
Juventus,Hellas Verona,0.0
Milan,Roma,0.0
Crotone,Atalanta,2.0
Inter,Parma,0.0
Bologna,Cagliari,1.0
Udinese,Milan,2.0
Torino,Lazio,2.0
Spezia,Juventus,2.0
Napoli,Sassuolo,2.0
Roma,Fiorentina,1.0
Sampdoria,Genoa,0.0
Hellas Verona,Benevento,1.0
Genoa,Torino,2.0
Sassuolo,Udinese,0.0
Cagliari,Sampdoria,1.0
Benevento,Spezia,2.0
Parma,Fiorentina,0.0
Lazio,Juventus,0.0
Torino,Crotone,0.0
Genoa,Roma,2.0
Atalanta,Inter,0.0
Bologna,Napoli,2.0
Milan,Hellas Verona,0.0
Crotone,Lazio,2.0
Spezia,Atalanta,0.0
Juventus,Cagliari,1.0
Fiorentina,Benevento,2.0
Inter,Torino,1.0
Roma,Parma,1.0
Hellas Verona,Sassuolo,2.0
Sampdoria,Bologna,2.0
Udinese,Genoa,1.0
Napoli,Milan,2.0
Sassuolo,Inter,2.0
Benevento,Juventus,0.0
Atalanta,Hellas Verona,2.0
Lazio,Udinese,2.0
Bologna,Crotone,1.0
Milan,Fiorentina,1.0
Cagliari,Spezia,0.0
Napoli,Roma,1.0
Torino,Sampdoria,0.0
Genoa,Parma,2.0
Spezia,Lazio,2.0
Juventus,Torino,1.0
Inter,Bologna,1.0
Hellas Verona,Cagliari,0.0
Parma,Benevento,0.0
Roma,Sassuolo,0.0
Crotone,Napoli,2.0
Sampdoria,Milan,2.0
Fiorentina,Genoa,0.0
Sassuolo,Benevento,1.0
Crotone,Spezia,1.0
Torino,Udinese,2.0
Lazio,Hellas Verona,2.0
Cagliari,Inter,2.0
Napoli,Sampdoria,1.0
Bologna,Roma,2.0
Atalanta,Fiorentina,1.0
Genoa,Juventus,2.0
Milan,Parma,0.0
Udinese,Crotone,0.0
Benevento,Lazio,0.0
Juventus,Atalanta,0.0
Parma,Cagliari,0.0
Genoa,Milan,0.0
Hellas Verona,Sampdoria,2.0
Inter,Napoli,1.0
Fiorentina,Sassuolo,0.0
Spezia,Bologna,0.0
Roma,Torino,1.0
Fiorentina,Hellas Verona,0.0
Sampdoria,Crotone,1.0
Parma,Juventus,2.0
Torino,Bologna,0.0
Inter,Spezia,1.0
Benevento,Genoa,1.0
Cagliari,Udinese,0.0
Sassuolo,Milan,2.0
Atalanta,Roma,1.0
Lazio,Napoli,1.0
Crotone,Parma,1.0
Juventus,Fiorentina,2.0
Hellas Verona,Inter,2.0
Sampdoria,Sassuolo,2.0
Spezia,Genoa,2.0
Roma,Cagliari,1.0
Bologna,Atalanta,0.0
Napoli,Torino,0.0
Udinese,Benevento,2.0
Milan,Lazio,1.0
Inter,Crotone,1.0
Atalanta,Sassuolo,1.0
Roma,Sampdoria,1.0
Fiorentina,Bologna,0.0
Genoa,Lazio,0.0
Cagliari,Napoli,2.0
Spezia,Hellas Verona,2.0
Parma,Torino,2.0
Benevento,Milan,2.0
Juventus,Udinese,1.0
Cagliari,Benevento,2.0
Atalanta,Parma,1.0
Sassuolo,Genoa,1.0
Crotone,Roma,2.0
Bologna,Udinese,0.0
Sampdoria,Inter,1.0
Torino,Hellas Verona,0.0
Lazio,Fiorentina,1.0
Napoli,Spezia,2.0
Milan,Juventus,2.0
Benevento,Atalanta,2.0
Genoa,Bologna,1.0
Milan,Torino,1.0
Roma,Inter,0.0
Udinese,Napoli,2.0
Hellas Verona,Crotone,1.0
Parma,Lazio,2.0
Fiorentina,Cagliari,1.0
Juventus,Sassuolo,1.0
Spezia,Sampdoria,1.0
Lazio,Roma,1.0
Bologna,Hellas Verona,1.0
Torino,Spezia,0.0
Sampdoria,Udinese,1.0
Napoli,Fiorentina,1.0
Sassuolo,Parma,0.0
Crotone,Benevento,1.0
Atalanta,Genoa,0.0
Inter,Juventus,1.0
Cagliari,Milan,2.0
Udinese,Atalanta,0.0
Benevento,Torino,0.0
Roma,Spezia,1.0
Udinese,Inter,0.0
Milan,Atalanta,2.0
Fiorentina,Crotone,1.0
Juventus,Bologna,1.0
Hellas Verona,Napoli,1.0
Genoa,Cagliari,1.0
Lazio,Sassuolo,1.0
Parma,Sampdoria,2.0
Torino,Fiorentina,0.0
Bologna,Milan,2.0
Sampdoria,Juventus,2.0
Inter,Benevento,1.0
Spezia,Udinese,2.0
Cagliari,Sassuolo,0.0
Atalanta,Lazio,2.0
Crotone,Genoa,2.0
Napoli,Parma,1.0
Roma,Hellas Verona,1.0
Fiorentina,Inter,2.0
Atalanta,Torino,0.0
Sassuolo,Spezia,2.0
Juventus,Roma,1.0
Genoa,Napoli,1.0
Benevento,Sampdoria,0.0
Milan,Crotone,1.0
Udinese,Hellas Verona,1.0
Parma,Bologna,2.0
Lazio,Cagliari,1.0
Bologna,Benevento,0.0
Torino,Genoa,0.0
Napoli,Juventus,1.0
Spezia,Milan,1.0
Roma,Udinese,1.0
Sampdoria,Fiorentina,1.0
Cagliari,Atalanta,2.0
Crotone,Sassuolo,2.0
Inter,Lazio,1.0
Hellas Verona,Parma,1.0
Fiorentina,Spezia,1.0
Cagliari,Torino,2.0
Lazio,Sampdoria,1.0
Genoa,Hellas Verona,0.0
Sassuolo,Bologna,0.0
Parma,Udinese,0.0
Milan,Inter,2.0
Atalanta,Napoli,1.0
Benevento,Roma,0.0
Juventus,Crotone,1.0
Spezia,Parma,0.0
Bologna,Lazio,1.0
Hellas Verona,Juventus,0.0
Sampdoria,Atalanta,2.0
Crotone,Cagliari,2.0
Inter,Genoa,1.0
Udinese,Fiorentina,1.0
Napoli,Benevento,1.0
Roma,Milan,2.0
Juventus,Spezia,1.0
Sassuolo,Napoli,0.0
Atalanta,Crotone,1.0
Benevento,Hellas Verona,2.0
Genoa,Sampdoria,0.0
Fiorentina,Roma,2.0
Milan,Udinese,0.0
Cagliari,Bologna,1.0
Parma,Inter,2.0
Spezia,Benevento,0.0
Udinese,Sassuolo,1.0
Juventus,Lazio,1.0
Roma,Genoa,1.0
Fiorentina,Parma,0.0
Crotone,Torino,1.0
Hellas Verona,Milan,2.0
Sampdoria,Cagliari,0.0
Napoli,Bologna,1.0
Inter,Atalanta,1.0
Lazio,Crotone,1.0
Atalanta,Spezia,1.0
Sassuolo,Hellas Verona,1.0
Benevento,Fiorentina,2.0
Genoa,Udinese,0.0
Bologna,Sampdoria,1.0
Torino,Inter,2.0
Parma,Roma,1.0
Cagliari,Juventus,2.0
Milan,Napoli,2.0
Torino,Sassuolo,1.0
Parma,Genoa,2.0
Crotone,Bologna,2.0
Spezia,Cagliari,1.0
Hellas Verona,Atalanta,2.0
Juventus,Benevento,2.0
Udinese,Lazio,2.0
Sampdoria,Torino,1.0
Fiorentina,Milan,2.0
Roma,Napoli,2.0
Milan,Sampdoria,0.0
Napoli,Crotone,1.0
Cagliari,Hellas Verona,2.0
Atalanta,Udinese,1.0
Sassuolo,Roma,0.0
Genoa,Fiorentina,0.0
Lazio,Spezia,1.0
Benevento,Parma,0.0
Torino,Juventus,0.0
Bologna,Inter,2.0
Juventus,Napoli,1.0
Inter,Sassuolo,1.0
Spezia,Crotone,1.0
Parma,Milan,2.0
Udinese,Torino,2.0
Inter,Cagliari,1.0
Sampdoria,Napoli,2.0
Hellas Verona,Lazio,2.0
Juventus,Genoa,1.0
Roma,Bologna,1.0
Fiorentina,Atalanta,2.0
Benevento,Sassuolo,2.0
Sampdoria,Hellas Verona,1.0
Crotone,Udinese,2.0
Sassuolo,Fiorentina,1.0
Cagliari,Parma,1.0
Milan,Genoa,1.0
Atalanta,Juventus,1.0
Bologna,Spezia,1.0
Lazio,Benevento,1.0
Torino,Roma,1.0
Napoli,Inter,0.0
Hellas Verona,Fiorentina,2.0
Milan,Sassuolo,2.0
Bologna,Torino,0.0
Crotone,Sampdoria,2.0
Genoa,Benevento,0.0
Spezia,Inter,0.0
Udinese,Cagliari,2.0
Juventus,Parma,1.0
Roma,Atalanta,0.0
Napoli,Lazio,1.0
Genoa,Spezia,1.0
Parma,Crotone,2.0
Sassuolo,Sampdoria,1.0
Benevento,Udinese,2.0
Inter,Hellas Verona,1.0
Fiorentina,Juventus,0.0
Cagliari,Roma,1.0
Atalanta,Bologna,1.0
Torino,Napoli,2.0
Lazio,Milan,1.0
Hellas Verona,Spezia,0.0
Crotone,Inter,2.0
Milan,Benevento,1.0
Lazio,Genoa,1.0
