Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Marten de Roon,nl NED,LT,31.0,35,34,2.964,32.9,3.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,1.1,1.1,1.8,29.0,18.0,171.0,23.0,9.0,3.0,12.0,9.0,12.0,3.0,6.0,9.0,3.0,9.0,Partidas,Juan Musso,ar ARG,G,28.0,24.0,24.0,2.077,23.1,27.0,117.0,89.0,64.0,719.0,13.0,4.0,7.0,7.0,292.0,2.0,2.0,0.0,0.0,0.0,Partidas,Marten de Roon,nl NED,LT,31.0,32.9,77.0,39.0,37.0,35.0,5.0,37.0,81.0,457.0,44.0,37.0,4.0,33.0,36.0,113.0,58.0,0.0,Partidas
Teun Koopmeiners,nl NED,LT,24.0,33,32,2.858,31.8,10.0,4.0,14.0,8.0,2.0,4.0,7.0,0.0,7.6,4.3,6.4,107.0,60.0,186.0,106.0,31.0,13.0,44.0,25.0,38.0,24.0,20.0,44.0,14.0,34.0,Partidas,Marco Sportiello,it ITA,G,30.0,15.0,14.0,1.339,14.9,21.0,141.0,64.0,43.0,688.0,6.0,3.0,5.0,2.0,143.0,1.0,1.0,0.0,0.0,0.0,Partidas,Teun Koopmeiners,nl NED,LT,24.0,31.8,46.0,26.0,15.0,24.0,7.0,28.0,55.0,509.0,27.0,41.0,5.0,36.0,19.0,65.0,36.0,2.0,Partidas
Rafael Tolói,it ITA,ZG,31.0,32,32,2.784,30.9,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,2.8,2.8,1.2,40.0,21.0,148.0,29.0,6.0,3.0,10.0,6.0,10.0,9.0,4.0,13.0,9.0,13.0,Partidas,Francesco Rossi,it ITA,G,31.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Partidas,Rafael Tolói,it ITA,ZG,31.0,30.9,69.0,44.0,37.0,32.0,0.0,35.0,64.0,547.0,29.0,42.0,18.0,24.0,57.0,126.0,88.0,1.0,Partidas
Giorgio Scalvini,it ITA,ZG,18.0,32,29,2.335,25.9,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,2.0,2.0,0.4,24.0,22.0,158.0,34.0,8.0,8.0,15.0,8.0,15.0,8.0,1.0,9.0,8.0,9.0,Partidas,Total do time,,,26.5,38.0,38.0,3.42,38.0,48.0,126.0,153.0,107.0,706.0,19.0,7.0,12.0,9.0,237.0,3.0,3.0,0.0,0.0,0.0,,Giorgio Scalvini,it ITA,ZG,18.0,25.9,54.0,29.0,30.0,18.0,6.0,29.0,55.0,527.0,26.0,36.0,13.0,23.0,56.0,110.0,57.0,2.0,Partidas
Éderson,br BRA,LT,23.0,35,25,2.215,24.6,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,2.3,42.0,37.0,93.0,62.0,4.0,4.0,8.0,4.0,8.0,8.0,9.0,17.0,8.0,17.0,Partidas,Total de adversários,,,26.5,38.0,38.0,3.42,38.0,66.0,174.0,176.0,110.0,659.0,12.0,7.0,19.0,8.0,211.0,8.0,6.0,2.0,0.0,250.0,,Éderson,br BRA,LT,23.0,24.6,67.0,34.0,18.0,42.0,7.0,29.0,66.0,439.0,37.0,56.0,7.0,49.0,36.0,103.0,31.0,0.0,Partidas
Joakim Mæhle,dk DEN,"ZG,LT",25.0,34,25,2.209,24.5,3.0,3.0,6.0,3.0,0.0,0.0,5.0,1.0,3.0,3.0,2.9,59.0,81.0,137.0,186.0,12.0,12.0,24.0,12.0,24.0,12.0,12.0,24.0,12.0,24.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Joakim Mæhle,dk DEN,"ZG,LT",25.0,24.5,32.0,18.0,12.0,7.0,13.0,22.0,39.0,564.0,17.0,29.0,6.0,23.0,24.0,56.0,26.0,0.0,Partidas
Juan Musso,ar ARG,G,28.0,24,24,2.077,23.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Juan Musso,ar ARG,G,28.0,23.1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,Partidas
Mario Pašalić,hr CRO,"LT,AT",27.0,32,24,1.769,19.7,5.0,2.0,7.0,5.0,0.0,0.0,3.0,0.0,5.7,5.7,2.2,79.0,24.0,82.0,83.0,25.0,10.0,36.0,25.0,36.0,29.0,11.0,40.0,29.0,40.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Mario Pašalić,hr CRO,"LT,AT",27.0,19.7,22.0,10.0,6.0,14.0,2.0,6.0,23.0,261.0,17.0,22.0,4.0,18.0,21.0,43.0,13.0,0.0,Partidas
Rasmus Højlund,dk DEN,AT,19.0,32,20,1.834,20.4,9.0,2.0,11.0,9.0,0.0,0.0,1.0,0.0,9.5,9.5,2.4,118.0,40.0,37.0,224.0,44.0,10.0,54.0,44.0,54.0,47.0,12.0,58.0,47.0,58.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Rasmus Højlund,dk DEN,AT,19.0,20.4,4.0,3.0,0.0,2.0,2.0,1.0,6.0,167.0,5.0,9.0,1.0,8.0,1.0,5.0,5.0,0.0,Partidas
