Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Łukasz Skorupski,pl POL,G,31.0,37,37,3.33,37.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,Łukasz Skorupski,pl POL,G,31.0,37.0,37.0,3.33,37.0,49.0,132.0,161.0,113.0,739.0,13.0,12.0,12.0,7.0,189.0,9.0,7.0,2.0,0.0,222.0,Partidas,Łukasz Skorupski,pl POL,G,31.0,37.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,500.0,1.0,0.0,0.0,0.0,0.0,2.0,19.0,2.0,Partidas
Jhon Lucumí,co COL,ZG,24.0,33,33,2.9,32.2,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.7,0.7,0.4,10.0,37.0,84.0,6.0,0.0,3.0,3.0,0.0,3.0,2.0,1.0,3.0,2.0,3.0,Partidas,Francesco Bardi,it ITA,G,30.0,1.0,1.0,90.0,1.0,0.0,0.0,4.0,4.0,1000.0,1.0,0.0,0.0,1.0,1000.0,0.0,0.0,0.0,0.0,,Partidas,Jhon Lucumí,co COL,ZG,24.0,32.2,53.0,37.0,39.0,13.0,1.0,24.0,43.0,558.0,19.0,43.0,26.0,17.0,35.0,88.0,100.0,1.0,Partidas
Stefan Posch,at AUT,ZG,25.0,30,30,2.532,28.1,6.0,2.0,8.0,6.0,0.0,0.0,6.0,0.0,3.3,3.3,2.0,53.0,45.0,148.0,65.0,21.0,7.0,28.0,21.0,28.0,12.0,7.0,19.0,12.0,19.0,Partidas,Total do time,,,26.6,38.0,38.0,3.42,38.0,49.0,129.0,165.0,117.0,745.0,14.0,12.0,12.0,8.0,211.0,9.0,7.0,2.0,0.0,222.0,,Stefan Posch,at AUT,ZG,25.0,28.1,81.0,43.0,41.0,29.0,11.0,44.0,75.0,587.0,31.0,44.0,15.0,29.0,35.0,116.0,69.0,0.0,Partidas
Jerdy Schouten,nl NED,LT,25.0,33,29,2.509,27.9,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,1.5,19.0,15.0,139.0,29.0,0.0,7.0,7.0,0.0,7.0,2.0,5.0,7.0,2.0,7.0,Partidas,Total de adversários,,,26.6,38.0,38.0,3.418,38.0,53.0,140.0,156.0,104.0,699.0,12.0,12.0,14.0,8.0,211.0,6.0,6.0,0.0,0.0,0.0,,Jerdy Schouten,nl NED,LT,25.0,27.9,63.0,38.0,28.0,33.0,2.0,27.0,49.0,551.0,22.0,40.0,17.0,23.0,40.0,103.0,43.0,1.0,Partidas
Lewis Ferguson,sct SCO,"LT,AT",22.0,32,27,2.314,25.7,7.0,0.0,7.0,7.0,0.0,0.0,4.0,0.0,4.7,4.7,1.0,57.0,31.0,88.0,114.0,27.0,0.0,27.0,27.0,27.0,18.0,4.0,22.0,18.0,22.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Lewis Ferguson,sct SCO,"LT,AT",22.0,25.7,44.0,25.0,16.0,20.0,8.0,20.0,40.0,500.0,20.0,22.0,7.0,15.0,19.0,63.0,25.0,0.0,Partidas
Nicolás Domínguez,ar ARG,LT,24.0,31,26,2.3,25.6,3.0,2.0,5.0,3.0,0.0,0.0,10.0,0.0,2.6,2.6,2.9,54.0,39.0,147.0,84.0,12.0,8.0,20.0,12.0,20.0,10.0,11.0,21.0,10.0,21.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Nicolás Domínguez,ar ARG,LT,24.0,25.6,79.0,49.0,34.0,33.0,12.0,39.0,76.0,513.0,37.0,29.0,3.0,26.0,21.0,100.0,29.0,1.0,Partidas
Musa Barrow,gm GAM,"AT,LT",23.0,32,26,1.96,21.8,3.0,8.0,11.0,3.0,0.0,0.0,3.0,0.0,3.0,3.0,4.7,77.0,68.0,58.0,141.0,14.0,37.0,51.0,14.0,51.0,14.0,22.0,35.0,14.0,35.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Musa Barrow,gm GAM,"AT,LT",23.0,21.8,21.0,4.0,10.0,6.0,5.0,8.0,14.0,571.0,6.0,25.0,1.0,24.0,1.0,22.0,7.0,0.0,Partidas
Andrea Cambiaso,it ITA,ZG,22.0,32,25,2.17,24.1,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,2.4,33.0,64.0,83.0,105.0,0.0,12.0,12.0,0.0,12.0,4.0,10.0,14.0,4.0,14.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Andrea Cambiaso,it ITA,ZG,22.0,24.1,57.0,34.0,34.0,20.0,3.0,28.0,65.0,431.0,37.0,26.0,2.0,24.0,26.0,83.0,33.0,1.0,Partidas
Riccardo Orsolini,it ITA,AT,25.0,32,22,2.124,23.6,11.0,4.0,15.0,8.0,3.0,3.0,8.0,2.0,10.5,8.1,3.1,112.0,53.0,62.0,212.0,47.0,17.0,64.0,34.0,51.0,44.0,13.0,58.0,34.0,48.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Riccardo Orsolini,it ITA,AT,25.0,23.6,30.0,19.0,15.0,10.0,5.0,17.0,41.0,415.0,24.0,29.0,3.0,26.0,8.0,38.0,18.0,0.0,Partidas
Adama Soumaoro,fr FRA,ZG,30.0,23,22,1.867,20.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.3,0.3,0.0,3.0,7.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Adama Soumaoro,fr FRA,ZG,30.0,20.7,25.0,17.0,11.0,12.0,2.0,5.0,7.0,714.0,2.0,18.0,13.0,5.0,15.0,40.0,75.0,1.0,Partidas
Michel Aebischer,ch SUI,"AT,LT",25.0,32,18,1.542,17.1,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.5,1.5,0.6,21.0,14.0,46.0,85.0,6.0,0.0,6.0,6.0,6.0,8.0,4.0,12.0,8.0,12.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Michel Aebischer,ch SUI,"AT,LT",25.0,17.1,12.0,6.0,3.0,6.0,3.0,2.0,18.0,111.0,16.0,14.0,2.0,12.0,7.0,19.0,9.0,0.0,Partidas
