Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
João Pedro,it ITA,"AT,LT",28.0,37,37,3.253,36.1,16.0,3.0,19.0,12.0,4.0,5.0,4.0,0.0,12.5,8.7,5.5,142.0,45.0,94.0,193.0,44.0,8.0,53.0,33.0,42.0,35.0,15.0,50.0,24.0,39.0,Partidas,Alessio Cragno,it ITA,G,26.0,34.0,34.0,3.06,34.0,53.0,156.0,182.0,129.0,736.0,6.0,10.0,18.0,6.0,176.0,5.0,5.0,0.0,0.0,0.0,Partidas,João Pedro,it ITA,"AT,LT",28.0,36.1,13.0,6.0,2.0,6.0,5.0,2.0,27.0,74.0,25.0,32.0,6.0,26.0,13.0,26.0,28.0,0.0,Partidas
Răzvan Marin,ro ROU,LT,24.0,37,35,2.965,32.9,3.0,6.0,9.0,3.0,0.0,0.0,6.0,0.0,1.4,1.4,4.7,61.0,45.0,159.0,80.0,9.0,18.0,27.0,9.0,27.0,4.0,14.0,18.0,4.0,18.0,Partidas,Guglielmo Vicario,it ITA,G,23.0,4.0,4.0,360.0,4.0,6.0,150.0,21.0,15.0,714.0,3.0,0.0,1.0,1.0,250.0,0.0,0.0,0.0,0.0,,Partidas,Răzvan Marin,ro ROU,LT,24.0,32.9,54.0,33.0,26.0,22.0,6.0,27.0,53.0,509.0,26.0,29.0,10.0,19.0,29.0,83.0,15.0,0.0,Partidas
Alessio Cragno,it ITA,G,26.0,34,34,3.06,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,Total do time,,,26.5,38.0,38.0,3.42,38.0,59.0,155.0,203.0,144.0,734.0,9.0,10.0,19.0,7.0,184.0,5.0,5.0,0.0,0.0,0.0,,Alessio Cragno,it ITA,G,26.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,Partidas
Nahitan Nández,uy URU,"LT,ZG",24.0,32,31,2.737,30.4,2.0,2.0,4.0,2.0,0.0,0.0,8.0,1.0,3.3,3.3,2.7,60.0,80.0,90.0,179.0,7.0,7.0,13.0,7.0,13.0,11.0,9.0,20.0,11.0,20.0,Partidas,Total de adversários,,,27.3,38.0,38.0,3.42,38.0,43.0,113.0,127.0,83.0,693.0,19.0,10.0,9.0,14.0,368.0,5.0,4.0,1.0,0.0,200.0,,Nahitan Nández,uy URU,"LT,ZG",24.0,30.4,56.0,28.0,23.0,23.0,10.0,25.0,68.0,368.0,43.0,26.0,4.0,22.0,23.0,79.0,49.0,0.0,Partidas
Charalambos Lykogiannis,gr GRE,ZG,26.0,31,29,2.418,26.9,4.0,2.0,6.0,4.0,0.0,0.0,10.0,2.0,2.1,2.1,1.8,39.0,39.0,79.0,92.0,15.0,7.0,22.0,15.0,22.0,8.0,7.0,14.0,8.0,14.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Charalambos Lykogiannis,gr GRE,ZG,26.0,26.9,34.0,21.0,22.0,9.0,3.0,22.0,38.0,579.0,16.0,34.0,13.0,21.0,32.0,66.0,94.0,0.0,Partidas
Diego Godín,uy URU,ZG,34.0,28,28,2.508,27.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,0.7,16.0,23.0,91.0,9.0,4.0,0.0,4.0,4.0,4.0,3.0,3.0,6.0,3.0,6.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Diego Godín,uy URU,ZG,34.0,27.9,60.0,32.0,51.0,9.0,0.0,24.0,39.0,615.0,15.0,41.0,24.0,17.0,56.0,116.0,117.0,0.0,Partidas
Gabriele Zappa,it ITA,ZG,20.0,34,27,2.395,26.6,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,4.3,48.0,49.0,108.0,141.0,0.0,15.0,15.0,0.0,15.0,2.0,16.0,18.0,2.0,18.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Gabriele Zappa,it ITA,ZG,20.0,26.6,34.0,17.0,16.0,15.0,3.0,22.0,49.0,449.0,27.0,36.0,4.0,32.0,24.0,58.0,50.0,0.0,Partidas
Radja Nainggolan,be BEL,LT,32.0,22,22,1.841,20.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.5,1.5,1.9,34.0,49.0,95.0,78.0,5.0,0.0,5.0,5.0,5.0,7.0,9.0,17.0,7.0,17.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Radja Nainggolan,be BEL,LT,32.0,20.5,41.0,26.0,22.0,14.0,5.0,19.0,34.0,559.0,15.0,18.0,0.0,18.0,15.0,56.0,15.0,1.0,Partidas
Giovanni Simeone,ar ARG,AT,25.0,33,19,1.74,19.3,6.0,2.0,8.0,6.0,0.0,0.0,1.0,0.0,7.7,7.7,1.3,91.0,25.0,13.0,81.0,31.0,10.0,41.0,31.0,41.0,40.0,7.0,47.0,40.0,47.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Giovanni Simeone,ar ARG,AT,25.0,19.3,24.0,11.0,2.0,15.0,7.0,7.0,31.0,226.0,24.0,23.0,1.0,22.0,10.0,34.0,18.0,0.0,Partidas
