Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Luca Valzania,it ITA,"LT,AT",24.0,37,37,2.973,33.0,5.0,1.0,6.0,5.0,0.0,0.0,7.0,0.0,3.5,3.5,2.3,58.0,59.0,183.0,122.0,15.0,3.0,18.0,15.0,18.0,11.0,7.0,18.0,11.0,18.0,Partidas,Marco Carnesecchi,it ITA,G,20.0,20.0,20.0,1.798,20.0,18.0,90.0,66.0,50.0,727.0,9.0,6.0,5.0,6.0,300.0,0.0,0.0,0.0,0.0,,Partidas,Luca Valzania,it ITA,"LT,AT",24.0,33.0,66.0,45.0,14.0,37.0,15.0,22.0,68.0,324.0,46.0,50.0,4.0,46.0,61.0,127.0,42.0,0.0,Partidas
Matteo Bianchetti,it ITA,ZG,27.0,35,35,3.15,35.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,1.3,1.3,1.2,25.0,24.0,151.0,20.0,0.0,3.0,3.0,0.0,3.0,4.0,4.0,7.0,4.0,7.0,Partidas,Giacomo Volpe,it ITA,G,24.0,9.0,9.0,810.0,9.0,13.0,144.0,37.0,23.0,649.0,2.0,3.0,4.0,1.0,111.0,1.0,0.0,1.0,0.0,1000.0,Partidas,Matteo Bianchetti,it ITA,ZG,27.0,35.0,77.0,50.0,46.0,27.0,4.0,41.0,66.0,621.0,25.0,51.0,27.0,24.0,54.0,131.0,146.0,0.0,Partidas
Michele Castagnetti,it ITA,LT,30.0,32,28,2.342,26.0,1.0,2.0,3.0,1.0,0.0,0.0,12.0,1.0,1.6,1.6,4.4,60.0,17.0,169.0,31.0,4.0,8.0,12.0,4.0,12.0,6.0,17.0,23.0,6.0,23.0,Partidas,Enrico Alfonso,it ITA,G,32.0,8.0,8.0,720.0,8.0,11.0,137.0,34.0,24.0,676.0,1.0,3.0,4.0,1.0,125.0,0.0,0.0,0.0,0.0,,Partidas,Michele Castagnetti,it ITA,LT,30.0,26.0,66.0,37.0,27.0,28.0,11.0,26.0,65.0,400.0,39.0,33.0,3.0,30.0,47.0,113.0,57.0,1.0,Partidas
Emanuele Valeri,it ITA,ZG,21.0,33,26,2.48,27.6,2.0,1.0,3.0,2.0,0.0,0.0,8.0,1.0,2.5,2.5,4.5,70.0,129.0,137.0,142.0,7.0,4.0,11.0,7.0,11.0,9.0,16.0,25.0,9.0,25.0,Partidas,Andrea Zaccagno,it ITA,G,23.0,1.0,1.0,90.0,1.0,2.0,200.0,3.0,1.0,667.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Partidas,Emanuele Valeri,it ITA,ZG,21.0,27.6,51.0,33.0,25.0,19.0,7.0,28.0,55.0,509.0,27.0,33.0,9.0,24.0,43.0,94.0,44.0,0.0,Partidas
Gianluca Gaetano,it ITA,"LT,AT",20.0,34,24,1.892,21.0,5.0,3.0,8.0,5.0,0.0,0.0,3.0,0.0,4.8,4.8,5.2,99.0,48.0,88.0,165.0,24.0,14.0,38.0,24.0,38.0,23.0,25.0,47.0,23.0,47.0,Partidas,Total do time,,,25.9,38.0,38.0,3.418,38.0,44.0,116.0,140.0,98.0,693.0,12.0,12.0,14.0,9.0,237.0,2.0,1.0,1.0,0.0,500.0,,Gianluca Gaetano,it ITA,"LT,AT",20.0,21.0,23.0,17.0,5.0,12.0,6.0,8.0,28.0,286.0,20.0,24.0,1.0,23.0,12.0,35.0,12.0,0.0,Partidas
Daniel Ciofani,it ITA,AT,35.0,37,23,2.13,23.7,11.0,1.0,12.0,8.0,3.0,3.0,2.0,0.0,10.1,7.8,2.5,103.0,16.0,40.0,145.0,46.0,4.0,51.0,34.0,38.0,43.0,11.0,53.0,33.0,43.0,Partidas,Total de adversários,,,26.7,38.0,38.0,3.42,38.0,46.0,121.0,191.0,147.0,780.0,14.0,12.0,12.0,11.0,289.0,4.0,4.0,0.0,0.0,0.0,,Daniel Ciofani,it ITA,AT,35.0,23.7,10.0,7.0,2.0,6.0,2.0,2.0,9.0,222.0,7.0,14.0,3.0,11.0,1.0,11.0,18.0,0.0,Partidas
Nadir Zortea,it ITA,"ZG,LT",21.0,29,22,2.003,22.3,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,2.0,25.0,69.0,81.0,88.0,0.0,4.0,4.0,0.0,4.0,2.0,9.0,11.0,2.0,11.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Nadir Zortea,it ITA,"ZG,LT",21.0,22.3,27.0,18.0,15.0,11.0,1.0,15.0,33.0,455.0,18.0,20.0,2.0,18.0,32.0,59.0,53.0,1.0,Partidas
Emanuele Terranova,it ITA,ZG,33.0,23,22,1.974,21.9,1.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,2.6,1.8,0.2,21.0,5.0,73.0,4.0,5.0,0.0,5.0,0.0,0.0,12.0,1.0,13.0,8.0,9.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Emanuele Terranova,it ITA,ZG,33.0,21.9,16.0,12.0,10.0,6.0,0.0,8.0,12.0,667.0,4.0,23.0,14.0,9.0,38.0,54.0,97.0,0.0,Partidas
Marco Carnesecchi,it ITA,G,20.0,20,20,1.798,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Marco Carnesecchi,it ITA,G,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,17.0,0.0,Partidas
