Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Emanuele Valeri,it ITA,ZG,23.0,37,31,2.785,30.9,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,2.2,2.2,4.6,68.0,111.0,90.0,158.0,6.0,10.0,16.0,6.0,16.0,7.0,15.0,22.0,7.0,22.0,Partidas,Marco Carnesecchi,it ITA,G,22.0,27.0,27.0,2.43,27.0,47.0,174.0,153.0,107.0,706.0,4.0,9.0,14.0,4.0,148.0,2.0,2.0,0.0,0.0,0.0,Partidas,Emanuele Valeri,it ITA,ZG,23.0,30.9,54.0,27.0,29.0,21.0,4.0,29.0,69.0,420.0,40.0,17.0,3.0,14.0,22.0,76.0,44.0,1.0,Partidas
Charles Pickel,cd COD,LT,25.0,33,30,2.483,27.6,1.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,1.6,1.6,1.2,28.0,18.0,104.0,61.0,4.0,0.0,4.0,4.0,4.0,6.0,4.0,10.0,6.0,10.0,Partidas,Ionuț Radu,ro ROU,G,25.0,9.0,9.0,810.0,9.0,19.0,211.0,64.0,45.0,750.0,0.0,3.0,6.0,1.0,111.0,3.0,3.0,0.0,0.0,0.0,Partidas,Charles Pickel,cd COD,LT,25.0,27.6,55.0,23.0,25.0,26.0,4.0,32.0,57.0,561.0,25.0,37.0,5.0,32.0,24.0,79.0,36.0,1.0,Partidas
Soualiho Meïté,fr FRA,LT,28.0,31,28,2.366,26.3,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.5,0.5,0.7,12.0,26.0,82.0,22.0,0.0,8.0,8.0,0.0,8.0,2.0,3.0,4.0,2.0,4.0,Partidas,Mouhamadou Sarr,sn SEN,G,25.0,2.0,2.0,180.0,2.0,3.0,150.0,8.0,5.0,625.0,1.0,0.0,1.0,1.0,500.0,0.0,0.0,0.0,0.0,,Partidas,Soualiho Meïté,fr FRA,LT,28.0,26.3,47.0,31.0,25.0,15.0,7.0,22.0,46.0,478.0,24.0,27.0,6.0,21.0,27.0,74.0,36.0,0.0,Partidas
Marco Carnesecchi,it ITA,G,22.0,27,27,2.43,27.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,Partidas,Total do time,,,26.0,38.0,38.0,3.42,38.0,69.0,182.0,225.0,157.0,716.0,5.0,12.0,21.0,6.0,158.0,5.0,5.0,0.0,0.0,0.0,,Marco Carnesecchi,it ITA,G,22.0,27.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,2.0,Partidas
Leonardo Sernicola,it ITA,ZG,25.0,32,27,2.317,25.7,2.0,2.0,4.0,2.0,0.0,0.0,11.0,0.0,1.3,1.3,2.3,37.0,60.0,62.0,95.0,8.0,8.0,16.0,8.0,16.0,5.0,9.0,14.0,5.0,14.0,Partidas,Total de adversários,,,26.6,38.0,38.0,3.42,38.0,36.0,95.0,129.0,92.0,760.0,21.0,12.0,5.0,14.0,368.0,7.0,5.0,2.0,0.0,286.0,,Leonardo Sernicola,it ITA,ZG,25.0,25.7,45.0,33.0,25.0,13.0,7.0,29.0,43.0,674.0,14.0,23.0,6.0,17.0,38.0,83.0,55.0,0.0,Partidas
David Okereke,ng NGA,"AT,LT",24.0,33,25,2.266,25.2,7.0,0.0,7.0,6.0,1.0,1.0,4.0,0.0,5.9,5.2,1.1,63.0,56.0,70.0,144.0,28.0,0.0,28.0,24.0,24.0,24.0,4.0,28.0,20.0,25.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,David Okereke,ng NGA,"AT,LT",24.0,25.2,12.0,8.0,4.0,5.0,3.0,3.0,16.0,188.0,13.0,23.0,3.0,20.0,10.0,22.0,12.0,0.0,Partidas
Matteo Bianchetti,it ITA,ZG,29.0,25,22,2.132,23.7,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.8,0.8,0.5,12.0,6.0,47.0,4.0,4.0,0.0,4.0,4.0,4.0,3.0,2.0,5.0,3.0,5.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Matteo Bianchetti,it ITA,ZG,29.0,23.7,32.0,19.0,21.0,9.0,2.0,20.0,32.0,625.0,12.0,31.0,17.0,14.0,20.0,52.0,111.0,0.0,Partidas
Luka Lochoshvili,ge GEO,ZG,24.0,25,22,1.839,20.4,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,1.1,17.0,17.0,70.0,5.0,5.0,10.0,15.0,5.0,15.0,3.0,5.0,8.0,3.0,8.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Luka Lochoshvili,ge GEO,ZG,24.0,20.4,45.0,19.0,30.0,11.0,4.0,22.0,31.0,710.0,9.0,31.0,10.0,21.0,22.0,67.0,89.0,0.0,Partidas
Johan Vásquez,mx MEX,ZG,23.0,25,19,1.813,20.1,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.7,0.7,0.3,10.0,18.0,48.0,12.0,5.0,0.0,5.0,5.0,5.0,4.0,2.0,5.0,4.0,5.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Johan Vásquez,mx MEX,ZG,23.0,20.1,41.0,26.0,34.0,7.0,0.0,18.0,39.0,462.0,21.0,27.0,20.0,7.0,45.0,86.0,93.0,1.0,Partidas
