Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Leo Štulac,si SVN,LT,25.0,36,36,3.108,34.5,3.0,7.0,10.0,3.0,0.0,0.0,4.0,0.0,2.6,2.6,6.3,89.0,56.0,281.0,41.0,9.0,20.0,29.0,9.0,29.0,7.0,18.0,26.0,7.0,26.0,Partidas,Alberto Brignoli,it ITA,G,28.0,33.0,33.0,2.97,33.0,31.0,94.0,114.0,82.0,772.0,16.0,14.0,3.0,12.0,364.0,6.0,5.0,1.0,0.0,167.0,Partidas,Leo Štulac,si SVN,LT,25.0,34.5,62.0,40.0,18.0,36.0,8.0,31.0,48.0,646.0,17.0,22.0,6.0,16.0,37.0,99.0,30.0,0.0,Partidas
Alberto Brignoli,it ITA,G,28.0,33,33,2.97,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,Jacopo Furlan,it ITA,G,27.0,5.0,5.0,450.0,5.0,4.0,80.0,16.0,12.0,750.0,3.0,2.0,0.0,2.0,400.0,0.0,0.0,0.0,0.0,,Partidas,Alberto Brignoli,it ITA,G,28.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,Partidas
Leonardo Mancuso,it ITA,AT,28.0,37,32,2.657,29.5,20.0,4.0,24.0,18.0,2.0,4.0,6.0,0.0,16.3,13.0,5.1,181.0,62.0,67.0,235.0,68.0,14.0,81.0,61.0,75.0,55.0,17.0,73.0,44.0,61.0,Partidas,Total do time,,,25.1,38.0,38.0,3.42,38.0,35.0,92.0,130.0,94.0,769.0,19.0,16.0,3.0,14.0,368.0,6.0,5.0,1.0,0.0,167.0,,Leonardo Mancuso,it ITA,AT,28.0,29.5,8.0,3.0,1.0,5.0,2.0,4.0,19.0,211.0,15.0,19.0,1.0,18.0,7.0,15.0,12.0,0.0,Partidas
Simone Romagnoli,it ITA,ZG,30.0,31,31,2.749,30.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,3.0,1.1,1.1,0.9,20.0,28.0,150.0,6.0,3.0,3.0,7.0,3.0,7.0,4.0,3.0,7.0,4.0,7.0,Partidas,Total de adversários,,,26.7,38.0,38.0,3.42,38.0,68.0,179.0,211.0,144.0,697.0,3.0,16.0,19.0,6.0,158.0,6.0,4.0,1.0,1.0,200.0,,Simone Romagnoli,it ITA,ZG,30.0,30.5,24.0,13.0,17.0,7.0,0.0,7.0,15.0,467.0,8.0,41.0,30.0,11.0,47.0,71.0,125.0,0.0,Partidas
Nicolas Haas,ch SUI,LT,24.0,34,29,2.629,29.2,4.0,4.0,8.0,4.0,0.0,0.0,9.0,0.0,4.3,4.3,4.2,84.0,62.0,170.0,170.0,14.0,14.0,27.0,14.0,27.0,15.0,14.0,29.0,15.0,29.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Nicolas Haas,ch SUI,LT,24.0,29.2,63.0,37.0,20.0,36.0,7.0,24.0,61.0,393.0,37.0,43.0,6.0,37.0,38.0,101.0,26.0,0.0,Partidas
Dimitris Nikolaou,gr GRE,ZG,21.0,29,27,2.422,26.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.1,2.0,40.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Dimitris Nikolaou,gr GRE,ZG,21.0,26.9,24.0,20.0,19.0,4.0,1.0,9.0,9.0,1000.0,0.0,29.0,24.0,5.0,29.0,53.0,116.0,2.0,Partidas
Nedim Bajrami,al ALB,LT,21.0,36,25,2.147,23.9,5.0,8.0,13.0,5.0,0.0,0.0,2.0,0.0,5.6,5.6,6.5,121.0,123.0,113.0,233.0,21.0,34.0,54.0,21.0,54.0,24.0,27.0,51.0,24.0,51.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Nedim Bajrami,al ALB,LT,21.0,23.9,13.0,6.0,2.0,5.0,6.0,1.0,7.0,143.0,6.0,10.0,0.0,10.0,9.0,22.0,3.0,0.0,Partidas
Riccardo Fiamozzi,it ITA,ZG,27.0,26,24,2.131,23.7,0.0,3.0,3.0,0.0,0.0,0.0,4.0,1.0,0.2,0.2,2.6,28.0,73.0,157.0,126.0,0.0,13.0,13.0,0.0,13.0,1.0,11.0,12.0,1.0,12.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Riccardo Fiamozzi,it ITA,ZG,27.0,23.7,16.0,9.0,9.0,5.0,2.0,10.0,12.0,833.0,2.0,26.0,13.0,13.0,22.0,38.0,35.0,1.0,Partidas
Andrea La Mantia,it ITA,AT,29.0,34,23,2.027,22.5,11.0,3.0,14.0,11.0,0.0,0.0,3.0,0.0,13.7,13.7,3.1,169.0,11.0,41.0,131.0,49.0,13.0,62.0,49.0,62.0,61.0,14.0,75.0,61.0,75.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Andrea La Mantia,it ITA,AT,29.0,22.5,10.0,7.0,1.0,7.0,2.0,2.0,6.0,333.0,4.0,12.0,2.0,10.0,8.0,18.0,20.0,0.0,Partidas
