Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Sebastiano Luperto,it ITA,ZG,25.0,36,36,3.135,34.8,2.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,1.2,1.2,0.6,19.0,13.0,72.0,3.0,6.0,0.0,6.0,6.0,6.0,4.0,2.0,5.0,4.0,5.0,Partidas,Guglielmo Vicario,it ITA,G,25.0,31.0,31.0,2.783,30.9,39.0,126.0,134.0,95.0,739.0,9.0,12.0,10.0,7.0,226.0,6.0,4.0,1.0,1.0,200.0,Partidas,Sebastiano Luperto,it ITA,ZG,25.0,34.8,33.0,18.0,24.0,8.0,1.0,9.0,20.0,450.0,11.0,54.0,42.0,12.0,43.0,76.0,163.0,1.0,Partidas
Fabiano Parisi,it ITA,ZG,21.0,33,33,2.83,31.4,2.0,0.0,2.0,2.0,0.0,0.0,10.0,1.0,1.8,1.8,2.0,38.0,102.0,154.0,68.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,12.0,6.0,12.0,Partidas,Samuele Perisan,it ITA,G,24.0,7.0,7.0,630.0,7.0,9.0,129.0,24.0,15.0,625.0,1.0,1.0,5.0,2.0,286.0,0.0,0.0,0.0,0.0,,Partidas,Fabiano Parisi,it ITA,ZG,21.0,31.4,65.0,35.0,37.0,21.0,7.0,30.0,72.0,417.0,42.0,51.0,16.0,35.0,41.0,106.0,91.0,0.0,Partidas
Guglielmo Vicario,it ITA,G,25.0,31,31,2.783,30.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,Samir Ujkani,xk KVX,G,34.0,1.0,0.0,7.0,0.1,1.0,1286.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Partidas,Guglielmo Vicario,it ITA,G,25.0,30.9,1.0,1.0,1.0,0.0,0.0,1.0,2.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0,2.0,Partidas
Răzvan Marin,ro ROU,LT,26.0,33,28,2.538,28.2,2.0,4.0,6.0,2.0,0.0,0.0,7.0,0.0,1.4,1.4,4.2,55.0,35.0,118.0,27.0,7.0,14.0,21.0,7.0,21.0,5.0,15.0,20.0,5.0,20.0,Partidas,Total do time,,,25.3,38.0,38.0,3.42,38.0,49.0,129.0,159.0,110.0,717.0,10.0,13.0,15.0,9.0,237.0,6.0,4.0,1.0,1.0,200.0,,Răzvan Marin,ro ROU,LT,26.0,28.2,44.0,22.0,22.0,21.0,1.0,19.0,40.0,475.0,21.0,29.0,11.0,18.0,14.0,58.0,33.0,0.0,Partidas
Filippo Bandinelli,it ITA,LT,27.0,35,28,2.263,25.1,2.0,0.0,2.0,2.0,0.0,0.0,10.0,0.0,1.7,1.7,2.6,44.0,40.0,101.0,89.0,8.0,0.0,8.0,8.0,8.0,7.0,10.0,17.0,7.0,17.0,Partidas,Total de adversários,,,26.7,38.0,38.0,3.42,38.0,37.0,97.0,131.0,96.0,733.0,15.0,13.0,10.0,12.0,316.0,2.0,2.0,0.0,0.0,0.0,,Filippo Bandinelli,it ITA,LT,27.0,25.1,55.0,34.0,19.0,26.0,10.0,17.0,45.0,378.0,28.0,20.0,7.0,13.0,18.0,73.0,40.0,0.0,Partidas
Tommaso Baldanzi,it ITA,LT,19.0,26,24,1.772,19.7,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,2.4,2.4,1.8,42.0,57.0,69.0,94.0,20.0,0.0,20.0,20.0,20.0,12.0,9.0,21.0,12.0,21.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Tommaso Baldanzi,it ITA,LT,19.0,19.7,25.0,12.0,9.0,13.0,3.0,7.0,32.0,219.0,25.0,21.0,1.0,20.0,2.0,27.0,5.0,0.0,Partidas
Ardian Ismajli,al ALB,ZG,25.0,25,22,2.094,23.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,0.3,10.0,10.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,4.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Ardian Ismajli,al ALB,ZG,25.0,23.3,40.0,32.0,25.0,15.0,0.0,18.0,24.0,750.0,6.0,47.0,31.0,16.0,27.0,67.0,120.0,0.0,Partidas
Tyronne Ebuehi,ng NGA,ZG,26.0,26,22,1.923,21.4,2.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,3.1,3.1,1.9,50.0,31.0,41.0,42.0,9.0,19.0,28.0,9.0,28.0,14.0,9.0,23.0,14.0,23.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Tyronne Ebuehi,ng NGA,ZG,26.0,21.4,22.0,14.0,11.0,7.0,4.0,9.0,13.0,692.0,4.0,23.0,12.0,11.0,12.0,34.0,79.0,1.0,Partidas
Francesco Caputo,it ITA,AT,34.0,21,20,1.708,19.0,5.0,4.0,9.0,3.0,2.0,2.0,1.0,0.0,7.5,5.9,2.2,81.0,16.0,21.0,128.0,26.0,21.0,47.0,16.0,37.0,39.0,12.0,51.0,31.0,43.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Francesco Caputo,it ITA,AT,34.0,19.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,7.0,2.0,5.0,2.0,4.0,8.0,0.0,Partidas
