Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Cristiano Biraghi,it ITA,ZG,29.0,33,30,2.551,28.3,2.0,4.0,6.0,2.0,0.0,1.0,1.0,0.0,1.8,1.1,5.5,66.0,69.0,161.0,113.0,7.0,14.0,21.0,7.0,21.0,7.0,19.0,26.0,4.0,23.0,Partidas,Pietro Terracciano,it ITA,G,32.0,29.0,29.0,2.61,29.0,38.0,131.0,96.0,59.0,667.0,9.0,8.0,12.0,5.0,172.0,7.0,6.0,1.0,0.0,143.0,Partidas,Cristiano Biraghi,it ITA,ZG,29.0,28.3,65.0,38.0,29.0,29.0,7.0,32.0,65.0,492.0,33.0,32.0,7.0,25.0,14.0,79.0,42.0,1.0,Partidas
Pietro Terracciano,it ITA,G,32.0,29,29,2.61,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,Michele Cerofolini,it ITA,G,23.0,5.0,5.0,450.0,5.0,3.0,60.0,11.0,8.0,818.0,4.0,1.0,0.0,2.0,400.0,1.0,1.0,0.0,0.0,0.0,Partidas,Pietro Terracciano,it ITA,G,32.0,29.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,667.0,1.0,0.0,0.0,0.0,1.0,3.0,14.0,0.0,Partidas
Dodô,br BRA,ZG,23.0,33,28,2.331,25.9,1.0,3.0,4.0,1.0,0.0,0.0,5.0,1.0,0.7,0.7,2.2,29.0,72.0,141.0,104.0,4.0,12.0,15.0,4.0,15.0,3.0,9.0,11.0,3.0,11.0,Partidas,Pierluigi Gollini,it ITA,G,27.0,3.0,3.0,270.0,3.0,2.0,67.0,8.0,6.0,750.0,1.0,2.0,0.0,2.0,667.0,0.0,0.0,0.0,0.0,,Partidas,Dodô,br BRA,ZG,23.0,25.9,40.0,22.0,20.0,14.0,6.0,22.0,46.0,478.0,24.0,26.0,2.0,24.0,25.0,65.0,37.0,0.0,Partidas
Lucas Martínez Quarta,ar ARG,ZG,26.0,27,25,2.171,24.1,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,2.5,2.5,0.6,31.0,19.0,119.0,6.0,4.0,4.0,8.0,4.0,8.0,10.0,2.0,13.0,10.0,13.0,Partidas,Salvatore Sirigu,it ITA,G,35.0,1.0,1.0,90.0,1.0,0.0,0.0,5.0,5.0,1000.0,1.0,0.0,0.0,1.0,1000.0,0.0,0.0,0.0,0.0,,Partidas,Lucas Martínez Quarta,ar ARG,ZG,26.0,24.1,80.0,48.0,44.0,32.0,4.0,42.0,61.0,689.0,19.0,41.0,19.0,22.0,48.0,128.0,78.0,1.0,Partidas
Jonathan Ikone,fr FRA,AT,24.0,33,24,2.007,22.3,4.0,4.0,8.0,4.0,0.0,0.0,4.0,0.0,4.1,4.1,3.7,78.0,83.0,67.0,178.0,18.0,18.0,36.0,18.0,36.0,18.0,17.0,35.0,18.0,35.0,Partidas,Total do time,,,26.5,38.0,38.0,3.42,38.0,43.0,113.0,120.0,78.0,700.0,15.0,11.0,12.0,10.0,263.0,8.0,7.0,1.0,0.0,125.0,,Jonathan Ikone,fr FRA,AT,24.0,22.3,16.0,8.0,5.0,6.0,5.0,5.0,14.0,357.0,9.0,18.0,1.0,17.0,4.0,20.0,3.0,0.0,Partidas
Sofyan Amrabat,ma MAR,LT,25.0,29,24,1.998,22.2,0.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,0.5,0.5,1.1,16.0,36.0,176.0,24.0,0.0,5.0,5.0,0.0,5.0,2.0,5.0,7.0,2.0,7.0,Partidas,Total de adversários,,,26.4,38.0,38.0,3.42,38.0,53.0,139.0,177.0,124.0,723.0,12.0,11.0,15.0,9.0,237.0,6.0,4.0,2.0,0.0,333.0,,Sofyan Amrabat,ma MAR,LT,25.0,22.2,39.0,24.0,15.0,17.0,7.0,16.0,29.0,552.0,13.0,23.0,5.0,18.0,21.0,60.0,18.0,2.0,Partidas
Nikola Milenković,rs SRB,ZG,24.0,27,23,2.137,23.7,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.9,1.9,0.5,24.0,9.0,78.0,3.0,8.0,4.0,13.0,8.0,13.0,8.0,2.0,10.0,8.0,10.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Nikola Milenković,rs SRB,ZG,24.0,23.7,40.0,25.0,20.0,17.0,3.0,18.0,27.0,667.0,9.0,27.0,14.0,13.0,22.0,62.0,72.0,0.0,Partidas
Igor,br BRA,ZG,24.0,27,23,2.057,22.9,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.5,0.5,0.2,8.0,19.0,76.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Igor,br BRA,ZG,24.0,22.9,43.0,29.0,21.0,18.0,4.0,20.0,27.0,741.0,7.0,33.0,14.0,19.0,25.0,68.0,56.0,2.0,Partidas
Rolando Mandragora,it ITA,LT,25.0,29,22,1.95,21.7,2.0,4.0,6.0,2.0,0.0,0.0,8.0,0.0,1.5,1.5,4.9,64.0,18.0,142.0,59.0,9.0,18.0,28.0,9.0,28.0,7.0,23.0,30.0,7.0,30.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Rolando Mandragora,it ITA,LT,25.0,21.7,42.0,24.0,12.0,22.0,8.0,23.0,52.0,442.0,29.0,25.0,3.0,22.0,16.0,58.0,21.0,0.0,Partidas
