Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 33_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Penaltis,Penaltis,Penaltis,Penaltis,Penaltis,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Botes defensivos,Desafios,Desafios,Desafios,Desafios,Bloqueios,Bloqueios,Bloqueios,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,Jogador,Nação,Pos.,Idade,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas,Partidas,Jogador,Nação,Pos.,Idade,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros,Partidas
Federico Gatti,it ITA,ZG,23.0,35,35,3.085,34.3,5.0,2.0,7.0,5.0,0.0,0.0,13.0,1.0,3.5,3.5,1.5,50.0,51.0,134.0,7.0,15.0,6.0,20.0,15.0,20.0,10.0,4.0,14.0,10.0,14.0,Partidas,Federico Ravaglia,it ITA,G,21.0,27.0,27.0,2.43,27.0,30.0,111.0,98.0,68.0,724.0,10.0,11.0,6.0,9.0,333.0,3.0,3.0,0.0,0.0,0.0,Partidas,Federico Gatti,it ITA,ZG,23.0,34.3,35.0,26.0,26.0,8.0,1.0,20.0,40.0,500.0,20.0,43.0,28.0,15.0,61.0,96.0,128.0,0.0,Partidas
Przemysław Szymiński,pl POL,ZG,27.0,32,32,2.856,31.7,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,0.9,0.9,1.3,22.0,12.0,83.0,2.0,0.0,3.0,3.0,0.0,3.0,3.0,4.0,7.0,3.0,7.0,Partidas,Stefano Minelli,it ITA,G,27.0,11.0,11.0,990.0,11.0,15.0,136.0,39.0,25.0,641.0,5.0,2.0,4.0,3.0,273.0,1.0,1.0,0.0,0.0,0.0,Partidas,Przemysław Szymiński,pl POL,ZG,27.0,31.7,28.0,18.0,18.0,9.0,1.0,18.0,25.0,720.0,7.0,38.0,26.0,12.0,49.0,77.0,118.0,3.0,Partidas
Francesco Zampano,it ITA,ZG,27.0,33,31,2.727,30.3,2.0,5.0,7.0,2.0,0.0,0.0,7.0,0.0,1.6,1.6,3.5,51.0,81.0,115.0,197.0,7.0,17.0,23.0,7.0,23.0,5.0,12.0,17.0,5.0,17.0,Partidas,Total do time,,,25.6,38.0,38.0,3.42,38.0,45.0,118.0,137.0,93.0,701.0,15.0,13.0,10.0,12.0,316.0,4.0,4.0,0.0,0.0,0.0,,Francesco Zampano,it ITA,ZG,27.0,30.3,53.0,32.0,30.0,19.0,4.0,21.0,41.0,512.0,20.0,25.0,5.0,20.0,23.0,76.0,34.0,0.0,Partidas
Daniel Boloca,ro ROU,LT,22.0,36,30,2.644,29.4,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,3.1,3.1,3.2,63.0,73.0,174.0,60.0,3.0,3.0,7.0,3.0,7.0,11.0,11.0,22.0,10.0,21.0,Partidas,Total de adversários,,,26.9,38.0,38.0,3.42,38.0,58.0,153.0,177.0,122.0,701.0,10.0,13.0,15.0,10.0,263.0,8.0,5.0,2.0,1.0,286.0,,Daniel Boloca,ro ROU,LT,22.0,29.4,64.0,42.0,32.0,28.0,4.0,23.0,50.0,460.0,27.0,28.0,9.0,19.0,31.0,95.0,22.0,1.0,Partidas
Matteo Cotali,it ITA,ZG,24.0,31,29,2.544,28.3,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.4,0.4,0.6,9.0,34.0,127.0,47.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,3.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Matteo Cotali,it ITA,ZG,24.0,28.3,58.0,35.0,37.0,17.0,4.0,31.0,46.0,674.0,15.0,33.0,11.0,22.0,58.0,116.0,50.0,0.0,Partidas
Camillo Ciano,it ITA,AT,31.0,33,29,2.227,24.7,4.0,3.0,7.0,4.0,0.0,2.0,9.0,0.0,5.8,4.2,5.5,97.0,34.0,89.0,189.0,16.0,12.0,28.0,16.0,28.0,23.0,22.0,45.0,17.0,39.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Camillo Ciano,it ITA,AT,31.0,24.7,25.0,17.0,6.0,14.0,5.0,10.0,33.0,303.0,23.0,29.0,3.0,26.0,5.0,30.0,16.0,0.0,Partidas
Federico Ravaglia,it ITA,G,21.0,27,27,2.43,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Federico Ravaglia,it ITA,G,21.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,Partidas
Luca Garritano,it ITA,"LT,AT",27.0,32,27,2.248,25.0,2.0,1.0,3.0,2.0,0.0,1.0,4.0,0.0,6.7,5.9,3.6,95.0,83.0,129.0,167.0,8.0,4.0,12.0,8.0,12.0,27.0,15.0,41.0,24.0,38.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Luca Garritano,it ITA,"LT,AT",27.0,25.0,33.0,16.0,6.0,20.0,7.0,17.0,37.0,459.0,20.0,15.0,1.0,14.0,19.0,52.0,12.0,0.0,Partidas
Matteo Ricci,it ITA,LT,27.0,31,27,2.248,25.0,2.0,4.0,6.0,1.0,1.0,1.0,11.0,0.0,2.4,1.6,2.8,44.0,18.0,246.0,27.0,8.0,16.0,24.0,4.0,20.0,9.0,11.0,21.0,6.0,18.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Matteo Ricci,it ITA,LT,27.0,25.0,53.0,35.0,18.0,27.0,8.0,25.0,48.0,521.0,23.0,21.0,5.0,16.0,33.0,86.0,21.0,0.0,Partidas
Alessio Zerbin,it ITA,"AT,LT",22.0,31,26,2.069,23.0,9.0,3.0,12.0,9.0,0.0,0.0,6.0,0.0,6.6,6.6,2.7,93.0,96.0,71.0,218.0,39.0,13.0,52.0,39.0,52.0,29.0,12.0,40.0,29.0,40.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Alessio Zerbin,it ITA,"AT,LT",22.0,23.0,42.0,21.0,25.0,11.0,6.0,20.0,38.0,526.0,18.0,27.0,2.0,25.0,14.0,56.0,17.0,0.0,Partidas
Luigi Canotto,it ITA,"AT,LT",27.0,35,22,1.823,20.3,6.0,2.0,8.0,5.0,1.0,1.0,4.0,0.0,6.5,5.7,3.0,87.0,81.0,39.0,184.0,30.0,10.0,39.0,25.0,35.0,32.0,15.0,47.0,28.0,43.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Luigi Canotto,it ITA,"AT,LT",27.0,20.3,7.0,4.0,0.0,4.0,3.0,3.0,14.0,214.0,11.0,11.0,1.0,10.0,8.0,15.0,4.0,0.0,Partidas
Karlo Lulić,hr CRO,LT,25.0,26,18,1.54,17.1,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,1.2,1.2,0.6,18.0,39.0,96.0,70.0,12.0,12.0,23.0,12.0,23.0,7.0,4.0,10.0,7.0,10.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Karlo Lulić,hr CRO,LT,25.0,17.1,13.0,9.0,6.0,7.0,0.0,9.0,23.0,391.0,14.0,19.0,2.0,17.0,11.0,24.0,7.0,1.0,Partidas
Marcus Rohdén,se SWE,LT,30.0,22,15,1.184,13.2,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,2.1,2.1,0.9,30.0,20.0,67.0,67.0,15.0,0.0,15.0,15.0,15.0,16.0,7.0,23.0,16.0,23.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Marcus Rohdén,se SWE,LT,30.0,13.2,23.0,15.0,10.0,10.0,3.0,8.0,20.0,400.0,12.0,7.0,0.0,7.0,14.0,37.0,20.0,0.0,Partidas
Gabriel Charpentier,cg CGO,AT,22.0,22,12,986.0,11.0,10.0,2.0,12.0,9.0,1.0,1.0,5.0,0.0,6.7,5.9,1.5,73.0,15.0,21.0,59.0,91.0,18.0,110.0,82.0,100.0,61.0,13.0,74.0,54.0,67.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Gabriel Charpentier,cg CGO,AT,22.0,11.0,12.0,7.0,0.0,8.0,4.0,3.0,11.0,273.0,8.0,12.0,0.0,12.0,1.0,13.0,14.0,0.0,Partidas
Stefano Minelli,it ITA,G,27.0,11,11,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Stefano Minelli,it ITA,G,27.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,Partidas
Adrian Leon Barišić,ba BIH,ZG,20.0,12,9,776.0,8.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,,,,,,,,12.0,0.0,12.0,12.0,12.0,,,,,,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Adrian Leon Barišić,ba BIH,ZG,20.0,8.6,,11.0,,,,,,,,,,,14.0,,,,Partidas
Andrija Novakovich,us USA,AT,24.0,29,8,1.153,12.8,3.0,4.0,7.0,2.0,1.0,1.0,3.0,0.0,5.7,5.6,2.3,79.0,16.0,22.0,76.0,23.0,31.0,55.0,16.0,47.0,44.0,18.0,62.0,43.0,61.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Andrija Novakovich,us USA,AT,24.0,12.8,4.0,3.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,4.0,1.0,3.0,1.0,5.0,9.0,0.0,Partidas
Tiago Casasola,ar ARG,ZG,25.0,11,7,734.0,8.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.1,12.0,20.0,57.0,29.0,0.0,12.0,12.0,0.0,12.0,2.0,13.0,15.0,2.0,15.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Tiago Casasola,ar ARG,ZG,25.0,8.2,26.0,15.0,13.0,9.0,4.0,15.0,24.0,625.0,9.0,7.0,2.0,5.0,11.0,37.0,12.0,0.0,Partidas
Emanuele Cicerelli,it ITA,"AT,LT",26.0,31,6,976.0,10.8,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,2.4,2.4,1.7,41.0,59.0,39.0,110.0,28.0,0.0,28.0,28.0,28.0,22.0,16.0,38.0,22.0,38.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Emanuele Cicerelli,it ITA,"AT,LT",26.0,10.8,13.0,6.0,3.0,7.0,3.0,6.0,15.0,400.0,9.0,5.0,2.0,3.0,6.0,19.0,6.0,0.0,Partidas
Raffaele Maiello,it ITA,LT,30.0,13,6,604.0,6.7,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.1,0.3,1.3,16.0,12.0,57.0,7.0,15.0,0.0,15.0,0.0,0.0,17.0,19.0,36.0,5.0,24.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Raffaele Maiello,it ITA,LT,30.0,6.7,14.0,9.0,6.0,6.0,2.0,2.0,13.0,154.0,11.0,11.0,4.0,7.0,13.0,27.0,7.0,0.0,Partidas
Nicolò Brighenti,it ITA,ZG,31.0,9,6,505.0,5.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.6,10.0,13.0,34.0,15.0,0.0,18.0,18.0,0.0,18.0,7.0,11.0,18.0,7.0,18.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Nicolò Brighenti,it ITA,ZG,31.0,5.6,9.0,4.0,3.0,4.0,2.0,5.0,8.0,625.0,3.0,11.0,5.0,6.0,9.0,18.0,13.0,0.0,Partidas
Alessio Tribuzzi,it ITA,"AT,LT",22.0,28,2,653.0,7.3,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.6,1.6,1.6,32.0,47.0,14.0,89.0,0.0,28.0,28.0,0.0,28.0,23.0,22.0,45.0,23.0,45.0,Partidas,,,,,,,,,,,,,,,,,,,,,,,,,Alessio Tribuzzi,it ITA,"AT,LT",22.0,7.3,18.0,13.0,10.0,5.0,3.0,6.0,7.0,857.0,1.0,8.0,0.0,8.0,0.0,18.0,4.0,0.0,Partidas
